SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Thiªn V­¬ng ®ao ph¸p	Hç trî bÞ ®éng	24	105	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_df.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_daofa	attackratingenhance_p	tianwang_daofa	deadlystrikeenhance_p	tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		tianwang_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
Th¸nh V­¬ng §ao ph¸p (##) 	Hç trî bÞ ®éng	25		3	\spr\Ui\¼¼ÄÜÍ¼±ê\µ¶·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Thiªn V­¬ng chïy ph¸p	Hç trî bÞ ®éng	26	106	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_cf.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	4	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	addphysicsdamage_p	tianwang_chuifa	attackratingenhance_p	tianwang_chuifa	deadlystrikeenhance_p	tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		tianwang_chuifa		T¨ng hiÖu qu¶ sö dông chïy.
Th¸nh V­¬ng Phñ ph¸p (##) 	Hç trî bÞ ®éng	28		3	\spr\Ui\¼¼ÄÜÍ¼±ê\Ë«´¸Ì×Â·.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua																																										
Tr¶m Long quyÕt	C«ng kÝch ngo¹i c«ng  	29	103	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_62.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	0	72	0	1	10	1	12	405	-1	1	0	9	0	1	0		0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	4	1	60	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	zhanlong_jue		zhanlong_jue	deadlystrike_p	zhanlong_jue	addskilldamage1	zhanlong_jue	missle_speed_v	zhanlong_jue	skill_attackradius	zhanlong_jue	skill_cost_v	zhanlong_jue	missle_lifetime_v	zhanlong_jue	seriesdamage_p	zhanlong_jue	ignoredefense_p	zhanlong_jue	addskilldamage2	zhanlong_jue	addskilldamage3	zhanlong_jue	addskilldamage4	zhanlong_jue	addskilldamage5	zhanlong_jue	addskilldamage6	zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		Chïy ph¸p nhËp m«n, khiÕn ®èi ph­¬ng rÊt khã xoay së.
Ngò hµnh ®én		110		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_33.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	180	15	0	0	2	1	6	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0	0	0	0				0	0	0	-1	1	\script\skill\cuiyan.lua	colddamage_v		skill_cost_v																																							Thóy Yªn Cao cÊp dÞ thuËt, lîi dông ®Þa h×nh ®Ó Èn thÈn.
Thiªn Thanh §Þa Träc	Hç trî phßng ngù - chñ ®éng	173	1000	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_12.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			13	3	0	2	0	440	0	0	0	5	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	lightingres_yan_p	tianqing_dizhuo	fireres_yan_p	tianqing_dizhuo	skill_cost_v	tianqing_dizhuo	physicsres_yan_p	tianqing_dizhuo	coldres_yan_p	tianqing_dizhuo	addskilldamage1	tianqing_dizhuo	addskilldamage2	tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		Néi gia T©m ph¸p, t¨ng hiÖu qu¶ phßng thñ toµn diÖn.
Khi Hµn Ng¹o TuyÕt	Hç trî phßng ngù - bÞ  ®éng	175	1003	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_14.spr				54	3	0	2	0	440	0	0	0	5	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	castspeed_v	qihan_aoxue	skill_cost_v	qihan_aoxue	attackspeed_yan_v	qihan_aoxue	castspeed_yan_v	qihan_aoxue	skill_mintimepercast_v	qihan_aoxue	skill_desc	qihan_aoxue	anti_block_rate_buff	qihan_aoxue	skill_mintimepercastonhorse_v	qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		NhiÕp Hån t©m thuËt, khiÕn ®èi ph­¬ng (néi c«ng) gi¶m tèc ®é xuÊt chiªu.
ThÊt Tinh TrËn 		211		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_23.spr				20	2	0	2	0	180	0	0	0	5	3	92	-1	1	1	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudang.lua	attackratingenhance_p	qingxing_zhen	adddefense_v	qingxing_zhen	seriesdamage_p	qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		
Gi¸ng Long Ch­ëng 	hç trî chiÕn ®Êu- bÞ ®éng	274	704	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_32.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	lifemax_p	xianglong_zhang	manamax_p	xianglong_zhang	addfiremagic_v	xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		TrÊn bang Ch­ëng ph¸p, ChuyÓn hãa Sinh lùc thµnh néi lùc.
