SourceIndex	IndexKind	SourceRoot	RelativePath	Directory	FileName	Extension	IsLua	IsTextConfig	SizeBytes	Sha256
1	source	Server 6.0/server/home_jxser/server1/script/activitysys	activity.lua		activity.lua	lua	1	0	6778	32a345dfd9d16cba75e889e93dee8b65f58ad106b2cdb2dedb1733aa33301f33
2	source	Server 6.0/server/home_jxser/server1/script/activitysys	activitydetail.lua		activitydetail.lua	lua	1	0	4232	980a5036da0324624e8a9dd5540b573728785044a2c72ff54be6721284d95753
3	source	Server 6.0/server/home_jxser/server1/script/activitysys	ambience.lua		ambience.lua	lua	1	0	3161	4f1ed3e450e26e87671866a3f40e1ad2cb5f0cad3ad5d2e92f905de18b07970e
4	source	Server 6.0/server/home_jxser/server1/script/activitysys	answer.lua		answer.lua	lua	1	0	3432	1914b6b384ffafd6051329d425e76d69c760b2a7c100b4ac33ae15d580de87f3
5	source	Server 6.0/server/home_jxser/server1/script/activitysys	answersys.lua		answersys.lua	lua	1	0	499	1ee529d44956adffe8252d842e0f2665f68e863754a252b155682d8e22693dfb
6	source	Server 6.0/server/home_jxser/server1/script/activitysys	autotest/testitem.lua	autotest	testitem.lua	lua	1	0	3530	bd7c3b712990a519367671ec7d34a7ab16eed5078f3b3af3d544d5d2ddab012a
7	source	Server 6.0/server/home_jxser/server1/script/activitysys	autotest/testsomeitem.lua	autotest	testsomeitem.lua	lua	1	0	5454	a94ab938b7c224ded28a3bc4f7e20cc1aae0d8e10a9ec9f864490f59cf553050
8	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/0/config.lua	config/0	config.lua	lua	1	0	282	6c2895f6d44adea2645a571228b37792576766e4a18d44c4fdd9f6bed81195ca
9	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1/config.lua	config/1	config.lua	lua	1	0	1334	008949e11ea2592ba1f9f9c5e9115af28b990ccf71e1a1996912cd28ac020c6b
10	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/10/config.lua	config/10	config.lua	lua	1	0	2970	d14f3a948941d6ba14393766d69a9aba070e6b644548cf0f784eaab3994e1812
11	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/10/head.lua	config/10	head.lua	lua	1	0	321	5cb5fc68164b26a8b25b4b44a319a6214023cc9643f21bbbdb3f1d2d4863c394
12	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/10/registe.lua	config/10	registe.lua	lua	1	0	301	f9fc439ce81982c386d87976693ed2590e342f41d3b1f205b7967714c35673f4
13	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/10/variables.lua	config/10	variables.lua	lua	1	0	28	0d14c00fdfc9186207662c138cda6cd866d345b6ad558012d73d140cccf75a1d
14	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1000/config.lua	config/1000	config.lua	lua	1	0	15452	036dea9deb1a2dbb7b89fcb84c84b7f6f8a56438b5cfb417fe606d8e602f886f
15	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1000/extend.lua	config/1000	extend.lua	lua	1	0	9589	41dcd8ff14c9df1ae34750915fd97e2ef7aaeb6a88f49f760656b9499cbc0d30
16	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1000/head.lua	config/1000	head.lua	lua	1	0	342	e7df3102f62dc2ed2ccb0a1379df6b4364704f0d7012a883beb7413dd49f45dd
17	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1000/registe.lua	config/1000	registe.lua	lua	1	0	305	671cf090a97663d5563d004e8971b75561814a02153c212b99a7503daa9e366f
18	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1000/variables.lua	config/1000	variables.lua	lua	1	0	333	4286bdf2674eafb6e3dac08c21217d736f91c5b50f2ed703454b949396fd95fc
19	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1001/config.lua	config/1001	config.lua	lua	1	0	2243	c9f82d67d1df8ed23610eb9505ff7a5e4893eee5fbdf4591cde07088a684615e
20	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1001/extend.lua	config/1001	extend.lua	lua	1	0	310	cc02e612046fb9f313a14a78a669b01faf79fa5d833bd56e4c41eec707af4f5c
21	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1001/head.lua	config/1001	head.lua	lua	1	0	353	1da7169c6e3378a7384da741488bd6713e7cc3f4a4c5d5e8c1581fdf0d07bfe5
22	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1001/registe.lua	config/1001	registe.lua	lua	1	0	305	af6829ac1e944e17ceff8624146036edf71d290335138126b3983245740bbe76
23	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1001/variables.lua	config/1001	variables.lua	lua	1	0	118	4ba9df01e983a6197c4c33adfd435b4c622b1786a8fb3d681898904d0337dfb4
24	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/bronzechest.lua	config/1002	bronzechest.lua	lua	1	0	1154	6041dc931f35add3faa0dfd5e44f2fecdc270136c862f1834c57478ea5c2c9f6
25	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/config.lua	config/1002	config.lua	lua	1	0	18532	2badce897197e7a40fbfafbc57a8bee3aa8ffe0d7137b100e643ca353ba0a4a9
26	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/extend.lua	config/1002	extend.lua	lua	1	0	13774	8547f66a5dae7c2e78b487569d2d30802acfd87ea4bac062e903d83fd6e3fb1c
27	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/goldenchest.lua	config/1002	goldenchest.lua	lua	1	0	450	10fc49745eaa4a6050d842ee854fee6ffd42b4fed5794f29e317d4cf1f8c8ba5
28	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/head.lua	config/1002	head.lua	lua	1	0	344	32ebf298ffac4317f3b685069f8629182068ef06c76bba8914eda6fbef999a19
29	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/registe.lua	config/1002	registe.lua	lua	1	0	305	a64f8bff8701f38a92bffc854b73a0684008219f0ee244ed7e98c73fe01e1ea9
30	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/silverchest.lua	config/1002	silverchest.lua	lua	1	0	833	9fd605ec707957cb458b1db18f00cd8a436f5c5967b8992ba8248b1829a62469
31	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/tumangbaochau.lua	config/1002	tumangbaochau.lua	lua	1	0	458	e1a080401caefb78a057e89d8d63fd813cee6a3c106621c7555c8ab15b018ec0
32	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1002/variables.lua	config/1002	variables.lua	lua	1	0	125	2193f6cc32d4093f8d96a5aa5f2e2c941f33124d7c00107ee0e2e0989d0e4aed
33	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1003/config.lua	config/1003	config.lua	lua	1	0	9489	79a69166f5784df562478a90f78d1b82c259f7ecb610242c45e12490d8390ed8
34	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1003/extend.lua	config/1003	extend.lua	lua	1	0	8265	ad052065339bbe9125288fbfc685a02d5451c725926e29225f28962aa9a1b1e2
35	source	Server 6.0/server/home_jxser/server1/script/activitysys	config/1003/head.lua	config/1003	head.lua	lua	1	0	304	ad4597c50b831e3627b88919793766c7ea899fa7229aa30bdd40754c57017da2
