SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
C¸i Bang Bæng ph¸p	Hç trî bŞ ®éng	115	703	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_gf.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	addphysicsdamage_p	gaibang_bangfa	deadlystrikeenhance_p	gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		T¨ng hiÖu qu¶ sö dông ®ao.
C¸i Bang ch­ëng ph¸p	Hç trî bŞ ®éng	116	704	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_aq.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	addfiremagic_v	gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		T¨ng hiÖu qu¶ c«ng kİch tay kh«ng.
§Çu Th¹ch VÊn Lé 	C«ng kİch néi c«ng 	117		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	280	0	0	0	4	1	44	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	physicsdamage_v		firedamage_v		skill_cost_v																																					Vâ c«ng nhËp m«n, chØ dïng ®Ó th¨m dß h­ thùc cña ®èi ph­¬ng.
C« Méc §én L«i 	Hç trî phßng ngù - chñ ®éng	118		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_02.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	400	0	0	0	4	6	49	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	lightingres_p		skill_cost_v																																							C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng phßng L«i.
Diªn M«n Th¸c B¸t	C«ng kİch ngo¹i c«ng  	119	701	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_11.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	240	0	0	0	4	1	45	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					0	0	0	3	1	\script\skill\gaibang.lua	physicsenhance_p	yanmen_tuobo	firedamage_v	yanmen_tuobo	addskilldamage1	yanmen_tuobo	missle_speed_v	yanmen_tuobo	skill_attackradiu	yanmen_tuobo	skill_cost_v	yanmen_tuobo	seriesdamage_p	yanmen_tuobo	addskilldamage2	yanmen_tuobo	addskilldamage3	yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		Bæng ph¸p nhËp m«n, c«ng kİch ®èi ph­¬ng ®¬n lÎ.
B«n L­u §¸o H¶i	Hç trî phßng ngù - chñ ®éng	120		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_12.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	400	0	0	0	4	6	50	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	fireres_p		skill_cost_v																																							C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng phßng háa.
DiÖu Thñ Kh«ng Kh«ng		121		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_13.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	180	0	0	0	4	6	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	skill_cost_v																																									Cã thÓ lÊy trém vËt phÈm trong ng­êi ®èi ph­¬ng.
KiÕn Nh©n ThÇn Thñ 	C«ng kİch néi c«ng 	122	702	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_21.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	300	0	0	0	4	1	46	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	1	0	0	0		0					0	0	0	3	1	\script\skill\gaibang.lua	firedamage_v	jianren_shenshou	addskilldamage1	jianren_shenshou	missle_speed_v	jianren_shenshou	skill_attackradius	jianren_shenshou	skill_cost_v	jianren_shenshou	seriesdamage_p	jianren_shenshou	addskilldamage2	jianren_shenshou	addskilldamage3	jianren_shenshou	addskilldamage4	jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		Ch­ëng Ph¸p nhËp m«n, s¸t th­¬ng ®èi thñ ®¬n lÎ.
Khuª Méc Tinh ChiÕu	Hç trî phßng ngù - chñ ®éng	123		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_22.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	400	0	0	0	4	6	51	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	poisonres_p		skill_cost_v																																							C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng phßng ®éc.
§¶ CÈu bæng	Vßng trßn  hç trî c«ng kİch	124	703	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_23.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	1	0	11	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	addphysicsdamage_p	dagou_zhen	lifemax_yan_p	dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		C¸i Bang tuyÖt kü, t¨ng hiÖu qu¶ c«ng kİch Bæng ph¸p
