# PC event droprate per-entry catalog. One row per numeric [N] section.
SourceIndex	RelativePath	SectionIndex	Genre	Detail	Particular	RandRate	MinItemLevel	MaxItemLevel
1	diancangshan.ini	1	0	0	0	300	0	0
1	diancangshan.ini	2	0	0	1	300	0	0
1	diancangshan.ini	3	0	0	2	300	0	0
1	diancangshan.ini	4	0	0	3	300	0	0
1	diancangshan.ini	5	0	0	4	300	0	0
1	diancangshan.ini	6	0	0	5	300	0	0
1	diancangshan.ini	7	0	1	0	300	0	0
1	diancangshan.ini	8	0	1	1	300	0	0
1	diancangshan.ini	9	0	1	2	300	0	0
1	diancangshan.ini	10	0	2	0	500	0	0
1	diancangshan.ini	11	0	2	1	500	0	0
1	diancangshan.ini	12	0	2	2	500	0	0
1	diancangshan.ini	13	0	2	3	500	0	0
1	diancangshan.ini	14	0	2	4	500	0	0
1	diancangshan.ini	15	0	2	5	500	0	0
1	diancangshan.ini	16	0	2	6	500	0	0
1	diancangshan.ini	17	0	2	7	500	0	0
1	diancangshan.ini	18	0	2	8	500	0	0
1	diancangshan.ini	19	0	2	9	500	0	0
1	diancangshan.ini	20	0	2	10	500	0	0
1	diancangshan.ini	21	0	2	11	500	0	0
1	diancangshan.ini	22	0	2	12	500	0	0
1	diancangshan.ini	23	0	2	13	500	0	0
1	diancangshan.ini	24	0	3	0	100	0	0
1	diancangshan.ini	25	0	4	0	100	0	0
1	diancangshan.ini	26	0	4	1	100	0	0
1	diancangshan.ini	27	0	5	0	400	0	0
1	diancangshan.ini	28	0	5	1	400	0	0
1	diancangshan.ini	29	0	5	2	400	0	0
1	diancangshan.ini	30	0	5	3	400	0	0
1	diancangshan.ini	31	0	6	0	300	0	0
1	diancangshan.ini	32	0	6	1	300	0	0
1	diancangshan.ini	33	0	7	0	500	0	0
1	diancangshan.ini	34	0	7	1	500	0	0
1	diancangshan.ini	35	0	7	2	500	0	0
1	diancangshan.ini	36	0	7	3	500	0	0
1	diancangshan.ini	37	0	7	4	500	0	0
1	diancangshan.ini	38	0	7	5	500	0	0
1	diancangshan.ini	39	0	7	6	500	0	0
1	diancangshan.ini	40	0	7	7	500	0	0
1	diancangshan.ini	41	0	7	8	500	0	0
1	diancangshan.ini	42	0	7	9	500	0	0
1	diancangshan.ini	43	0	7	10	500	0	0
1	diancangshan.ini	44	0	7	11	500	0	0
1	diancangshan.ini	45	0	7	12	500	0	0
1	diancangshan.ini	46	0	7	13	500	0	0
1	diancangshan.ini	47	0	8	0	300	0	0
1	diancangshan.ini	48	0	8	1	300	0	0
1	diancangshan.ini	49	0	9	0	100	0	0
1	diancangshan.ini	50	0	9	1	100	0	0
1	diancangshan.ini	51	4	238	1	1	0	0
1	diancangshan.ini	52	4	239	1	1	0	0
1	diancangshan.ini	53	4	240	1	1	0	0
1	diancangshan.ini	54	6	1	18	0	0	0
1	diancangshan.ini	55	6	1	19	0	0	0
1	diancangshan.ini	56	4	396	1	0	0	0
1	diancangshan.ini	57	4	397	1	0	0	0
1	diancangshan.ini	58	6	1	196	10000	0	0
1	diancangshan.ini	59	6	1	206	30000	0	0
1	diancangshan.ini	60	4	508	1	20000	0	0
1	diancangshan.ini	61	6	1	432	0	0	0
1	diancangshan.ini	62	6	1	433	0	0	0
1	diancangshan.ini	63	6	1	434	0	0	0
1	diancangshan.ini	64	6	1	832	250000	0	0
2	huashan.ini	1	0	0	0	300	0	0
2	huashan.ini	2	0	0	1	300	0	0
2	huashan.ini	3	0	0	2	300	0	0
