SourceIndex	RootId	Side	SourceRoot	RelativePath	Directory	FileName	Extension	IsTextLike	SizeBytes	Sha256	EncodingProbe	DataRowCount	ColumnCount	HeaderSignature
1	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	chinesenewyear/bonuslist.txt	chinesenewyear	bonuslist.txt	txt	1	15867	3d3dff473b5dadb8af0102a635fe6c87e6988e503d5980ee2b4254d1137a8b2e	latin1	106	19	mID|Type|TypeName|Name|Worth|P1|P2|P3|P4|P5|P6|P7|P8|P9|P10|P11|P12|Message|Announce
2	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	chinesenewyear/crystal.txt	chinesenewyear	crystal.txt	txt	1	601	64cd34a0a4807cf1ea6778b2652f3025babec52a60011e2f95becefe724a0685	latin1	19	4	mID|Worth|ItemID|ItemName
3	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	chinesenewyear/giftslvlup.txt	chinesenewyear	giftslvlup.txt	txt	1	520	268f6eae1a7fee68688426ecba283d43c1c39300a5d30a64591944231a0dbae1	utf-8-sig	11	8	mID|Level|Worth|P1|P2|P3|P4|Cryptic
4	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	juanzhouhecheng/amuletlist.txt	juanzhouhecheng	amuletlist.txt	txt	1	1619	a91df95e2799ebdf7d1ab19b565b23149f717647a96c472af57486a68a6bd9fa	latin1	32	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
5	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	juanzhouhecheng/crystal.txt	juanzhouhecheng	crystal.txt	txt	1	601	64cd34a0a4807cf1ea6778b2652f3025babec52a60011e2f95becefe724a0685	latin1	19	4	mID|Worth|ItemID|ItemName
6	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	juanzhouhecheng/giftslvlup.txt	juanzhouhecheng	giftslvlup.txt	txt	1	521	e0d1187f37a25834907c164fc629be9cb6e5e378d7fb50e81ff379448d7dd095	utf-8-sig	11	8	mID|Level|Worth|P1|P2|P3|P4|Cryptic
7	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	juanzhouhecheng/pendantlist.txt	juanzhouhecheng	pendantlist.txt	txt	1	1549	cbc7e8f2b36dc02801026574c04ba8dbd33f123ae999567a36f4733e5035c0d9	latin1	31	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
8	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	juanzhouhecheng/ringlist.txt	juanzhouhecheng	ringlist.txt	txt	1	1614	e7af15027b63bf90cbff81d0f694ef30396333c661ebc23e533f60cd2325d8d1	latin1	32	12	mID|ÃèÊö|Worth|Seed|Lucky|Magic1|Magic2|Magic3|Magic4|Magic5|Magic6|ÎåÐÐ
9	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	other/shensuanzi/vn.txt	other/shensuanzi	vn.txt	txt	1	760	d821dc28ed6f738545d85e073af28e266d78b1cfeec0cc96086dbe705c44c49c	latin1	19	2	RoundStartMsg|C©u hái cña ®ît %d b¾t ®Çu
10	server_bachkim_settings_event	server	Server 6.0/server/home_jxser_bachkim_6.0/server1/settings/event	other/shensuanzi/zh.txt	other/shensuanzi	zh.txt	txt	1	578	8f46d59ce18677e704f0c3f83ff759cb75e60b54e818d28889c74f9544720a14	gb18030	19	2	RoundStartMsg|开始第%d轮的答题
