# VLTK Mobile — PC script/global source index
# Source of truth: /var/www/jx-pc/01_tinh_kiem_source/source/00.src-tinh-kiem/bin/Server/Server/script/global
# Directory rows preserve PC subdirectories; file rows preserve size/sha256. No Lua runtime semantics are claimed.
SourceIndex	EntryKind	SourceRoot	RelativePath	Directory	FileName	Extension	IsLua	SizeBytes	Sha256
1	directory	Server 6.0/server/home_jxser/server1/script/global	cn		cn		0	0	
2	directory	Server 6.0/server/home_jxser/server1/script/global	general		general		0	0	
3	directory	Server 6.0/server/home_jxser/server1/script/global	general/hotrotanthu	general	hotrotanthu		0	0	
4	directory	Server 6.0/server/home_jxser/server1/script/global	general/hotrotanthu/item	general/hotrotanthu	item		0	0	
5	directory	Server 6.0/server/home_jxser/server1/script/global	general/thunghiem	general	thunghiem		0	0	
6	directory	Server 6.0/server/home_jxser/server1/script/global	gm		gm		0	0	
7	directory	Server 6.0/server/home_jxser/server1/script/global	mel		mel		0	0	
8	directory	Server 6.0/server/home_jxser/server1/script/global	mel/feature	mel	feature		0	0	
9	directory	Server 6.0/server/home_jxser/server1/script/global	mel/feature/areatrain	mel/feature	areatrain		0	0	
10	directory	Server 6.0/server/home_jxser/server1/script/global	mel/feature/taskdaily	mel/feature	taskdaily		0	0	
11	directory	Server 6.0/server/home_jxser/server1/script/global	mel/mellebao	mel	mellebao		0	0	
12	directory	Server 6.0/server/home_jxser/server1/script/global	mel/mission	mel	mission		0	0	
13	directory	Server 6.0/server/home_jxser/server1/script/global	namcung		namcung		0	0	
14	directory	Server 6.0/server/home_jxser/server1/script/global	namcung/skillsgm	namcung	skillsgm		0	0	
15	directory	Server 6.0/server/home_jxser/server1/script/global	newworld		newworld		0	0	
16	directory	Server 6.0/server/home_jxser/server1/script/global	npc		npc		0	0	
17	directory	Server 6.0/server/home_jxser/server1/script/global	payment		payment		0	0	
18	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming		pgaming		0	0	
19	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/cauca	pgaming	cauca		0	0	
20	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/cauca/lib	pgaming/cauca	lib		0	0	
21	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/cauca/map	pgaming/cauca	map		0	0	
22	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/cauca/npc	pgaming/cauca	npc		0	0	
23	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/cobac	pgaming	cobac		0	0	
24	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/cobac/baucua	pgaming/cobac	baucua		0	0	
25	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/cobac/baucua/logs	pgaming/cobac/baucua	logs		0	0	
26	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/configserver	pgaming	configserver		0	0	
27	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/doivukhixanh	pgaming	doivukhixanh		0	0	
28	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/item	pgaming	item		0	0	
29	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/missions	pgaming	missions		0	0	
30	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/missions/bosshoangkim	pgaming/missions	bosshoangkim		0	0	
31	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/missions/bosshoangkim/bossdai	pgaming/missions/bosshoangkim	bossdai		0	0	
32	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/missions/bosshoangkim/bossdai/lib	pgaming/missions/bosshoangkim/bossdai	lib		0	0	
33	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/missions/bosshoangkim/bosstieu	pgaming/missions/bosshoangkim	bosstieu		0	0	
34	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/missions/bosshoangkim/bosstieu/lib	pgaming/missions/bosshoangkim/bosstieu	lib		0	0	
35	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/nangcapngua	pgaming	nangcapngua		0	0	
36	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/nangcapngua/lib	pgaming/nangcapngua	lib		0	0	
37	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc	pgaming	npc		0	0	
38	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/banngua	pgaming/npc	banngua		0	0	
39	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/chuongmoncacphai	pgaming/npc	chuongmoncacphai		0	0	
40	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/freepk	pgaming/npc	freepk		0	0	
41	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc	pgaming/npc	hieuthuoc		0	0	
42	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/daohoanguyen	pgaming/npc/hieuthuoc	daohoanguyen		0	0	
43	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/liendau	pgaming/npc/hieuthuoc	liendau		0	0	
44	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/macbac	pgaming/npc/hieuthuoc	macbac		0	0	
45	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/monphai	pgaming/npc/hieuthuoc	monphai		0	0	
46	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/taytuydao	pgaming/npc/hieuthuoc	taytuydao		0	0	
47	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/thanhthi	pgaming/npc/hieuthuoc	thanhthi		0	0	
48	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/thon	pgaming/npc/hieuthuoc	thon		0	0	
49	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/tongkim	pgaming/npc/hieuthuoc	tongkim		0	0	
50	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/hieuthuoc/visondao	pgaming/npc/hieuthuoc	visondao		0	0	
51	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/taphoa	pgaming/npc	taphoa		0	0	
52	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/taphoa/daohoanguyen	pgaming/npc/taphoa	daohoanguyen		0	0	
53	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/taphoa/monphai	pgaming/npc/taphoa	monphai		0	0	
54	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/taphoa/thanhthi	pgaming/npc/taphoa	thanhthi		0	0	
55	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/taphoa/thon	pgaming/npc/taphoa	thon		0	0	
56	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thoren	pgaming/npc	thoren		0	0	
57	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thoren/daohoanguyen	pgaming/npc/thoren	daohoanguyen		0	0	
58	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thoren/macbac	pgaming/npc/thoren	macbac		0	0	
59	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thoren/monphai	pgaming/npc/thoren	monphai		0	0	
60	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thoren/thanhthi	pgaming/npc/thoren	thanhthi		0	0	
61	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thoren/thon	pgaming/npc/thoren	thon		0	0	
62	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thoren/visondao	pgaming/npc/thoren	visondao		0	0	
63	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thuyenphu	pgaming/npc	thuyenphu		0	0	
64	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thuyenphu/thanhthi	pgaming/npc/thuyenphu	thanhthi		0	0	
65	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/npc/thuyenphu/thon	pgaming/npc/thuyenphu	thon		0	0	
66	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/shop	pgaming	shop		0	0	
67	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/shop/shopliendau	pgaming/shop	shopliendau		0	0	
68	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/shop/shoptongkim	pgaming/shop	shoptongkim		0	0	
69	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/trangbixanh	pgaming	trangbixanh		0	0	
70	directory	Server 6.0/server/home_jxser/server1/script/global	pgaming/xephang	pgaming	xephang		0	0	
71	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec		qsrpec		0	0	
72	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec/simcity	qsrpec	simcity		0	0	
73	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec/simcity/class	qsrpec/simcity	class		0	0	
74	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec/simcity/components	qsrpec/simcity	components		0	0	
75	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec/simcity/controllers	qsrpec/simcity	controllers		0	0	
76	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec/simcity/data	qsrpec/simcity	data		0	0	
77	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec/simcity/libs	qsrpec/simcity	libs		0	0	
78	directory	Server 6.0/server/home_jxser/server1/script/global	qsrpec/simcity/plugins	qsrpec/simcity	plugins		0	0	
79	directory	Server 6.0/server/home_jxser/server1/script/global	tw		tw		0	0	
80	directory	Server 6.0/server/home_jxser/server1/script/global	vn		vn		0	0	
81	directory	Server 6.0/server/home_jxser/server1/script/global	worldrank		worldrank		0	0	
82	directory	Server 6.0/server/home_jxser/server1/script/global	各派接引弟子		各派接引弟子		0	0	
83	directory	Server 6.0/server/home_jxser/server1/script/global	特殊用地		特殊用地		0	0	
84	directory	Server 6.0/server/home_jxser/server1/script/global	特殊用地/宋金报名点	特殊用地	宋金报名点		0	0	
85	directory	Server 6.0/server/home_jxser/server1/script/global	特殊用地/宋金报名点/npc	特殊用地/宋金报名点	npc		0	0	
