Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	ÏêÏ¸Àà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>Vozer n»m th¼ng<color> sö dông.		0	1	0	85	20	20	89	20	20	88	2	2	92	2	2										36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>Vozer n»m th¼ng<color> sö dông.		0	2	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	3	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	4	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	5	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	6	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	7	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	8	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	9	0																						36	1										
T©n thñ trang søc	0	14	0	\spr\mel\trangsuctanthu.spr	37	1	1	<color=Yellow>Trang bŞ T©n Thñ - Trang Søc!<color><enter>VËt phÈm hay ®­îc c¸c<enter><color=Green>HiÖp kh¸ch giang hå<color> sö dông.		0	10	0																						36	1										
