SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Mª Tung ¶o ¶nh		90	1003	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_33.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			64	3	0	2	0	440	0	0	0	2	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	freezetimereduce_p	mizhong_huanying	stuntimereduce_p	mizhong_huanying	skill_cost_v	mizhong_huanying	skill_mintimepercast_v	mizhong_huanying	skill_desc	mizhong_huanying	anti_block_rate_buff	mizhong_huanying	skill_mintimepercastonhorse_v	mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		mizhong_huanying		NhiÕp T©m ThuËt, gi¶m kh¶ n¨ng xoay chuyÓn cña ®èi ph­¬ng.
C«n L«n ®ao ph¸p	Hç trî bÞ ®éng	167	1004	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_df.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	addphysicsdamage_p	kunlun_daofa	deadlystrikeenhance_p	kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		kunlun_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
C«n L«n kiÕm ph¸p	Hç trî bÞ ®éng	168	1005	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_jf.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	addlightingmagic_v	kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		kunlun_jianfa		T¨ng hiÖu qu¶ sö dông kiÕm.
H« Phong Ph¸p	C«ng kÝch néi c«ng 	169	1001	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_01.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	300	0	2	1	5	1	14	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	4	1	\script\skill\kunlun.lua	physicsenhance_p	hufeng_fa	lightingdamage_v	hufeng_fa	addskilldamage1	hufeng_fa	missle_speed_v	hufeng_fa	skill_attackradius	hufeng_fa	skill_cost_v	hufeng_fa	seriesdamage_p	hufeng_fa	addskilldamage2	hufeng_fa	addskilldamage3	hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		hufeng_fa		C«n L«n ph¸p thuËt nhËp m«n, s¸t th­¬ng rÊt hiÖu qu¶ 
Thanh Phong phï 	Chñ ®éng hç trî chiÕn ®Êu	171	1000	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_03.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			17	3	0	2	0	440	0	0	0	5	6	19	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	fastwalkrun_p	qingfeng_fu	skill_cost_v	qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		qingfeng_fu		S¬ cÊp chó thuËt, t¨ng tèc ®é di chuyÓn.
Thiªn TÕ TÊn L«i  	C«ng kÝch néi c«ng 	172	1002	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_11.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	360	0	0	0	5	1	15	-1	1	1	11	1	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	399	0	0	0	0	0	0	0	30	20	0	1	0	0	0		0					0	0	0	4	1	\script\skill\kunlun.lua	lightingdamage_v	tianji_xunlei	missle_speed_v	tianji_xunlei	skill_attackradius	tianji_xunlei	skill_cost_v	tianji_xunlei	seriesdamage_p	tianji_xunlei	addskilldamage1	tianji_xunlei	addskilldamage2	tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei		tianji_xunlei				C«n L«n trung cÊp ph¸p thuËt, L«i s¸t cùc kú lîi h¹i.
Thiªn Thanh §Þa Träc	Hç trî phßng ngù - chñ ®éng	173	1000	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_12.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			13	3	0	2	0	440	0	0	0	5	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	lightingres_yan_p	tianqing_dizhuo	fireres_yan_p	tianqing_dizhuo	skill_cost_v	tianqing_dizhuo	physicsres_yan_p	tianqing_dizhuo	coldres_yan_p	tianqing_dizhuo	addskilldamage1	tianqing_dizhuo	addskilldamage2	tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		tianqing_dizhuo		Néi gia T©m ph¸p, t¨ng hiÖu qu¶ phßng thñ toµn diÖn.
Ki B¸n phï 	Chñ ®éng hç trî chiÕn ®Êu	174	1003	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_43.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			66	3	0	2	0	440	0	0	0	5	6	20	-1	1	1	11	0	0	5		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	fastwalkrun_p	jiban_fu	skill_cost_v	jiban_fu	skill_mintimepercast_v	jiban_fu	skill_desc	jiban_fu	anti_block_rate_buff	jiban_fu	skill_mintimepercastonhorse_v	jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		jiban_fu		C«n L«n trung cÊp phï ph¸p,gi¶m tèc ®é di chuyÓn cña ®èi ph­ong
Khi Hµn Ng¹o TuyÕt	Hç trî phßng ngù - bÞ  ®éng	175	1003	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_14.spr				54	3	0	2	0	440	0	0	0	5	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	castspeed_v	qihan_aoxue	skill_cost_v	qihan_aoxue	attackspeed_yan_v	qihan_aoxue	castspeed_yan_v	qihan_aoxue	skill_mintimepercast_v	qihan_aoxue	skill_desc	qihan_aoxue	anti_block_rate_buff	qihan_aoxue	skill_mintimepercastonhorse_v	qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		qihan_aoxue		NhiÕp Hån t©m thuËt, khiÕn ®èi ph­¬ng (néi c«ng) gi¶m tèc ®é xuÊt chiªu.
Cuång Phong SËu §iÖn	C«ng kÝch ngo¹i c«ng  	176	1001	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_21.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	180	0	0	0	5	1	16	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	1	1	0	0	0		0					0	0	0	4	1	\script\skill\kunlun.lua	physicsenhance_p	kuangfeng_zhoudian	lightingdamage_v	kuangfeng_zhoudian	stun_p	kuangfeng_zhoudian	addskilldamage1	kuangfeng_zhoudian	missle_speed_v	kuangfeng_zhoudian	skill_attackradius	kuangfeng_zhoudian	skill_cost_v	kuangfeng_zhoudian	seriesdamage_p	kuangfeng_zhoudian	addskilldamage2	kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		kuangfeng_zhoudian		§ao ph¸p cao cÊp, hiÖu qu¶ chiÕn ®Êu cùc cao.
