QId	Tip	Content	ChooseCount	Price	Choose1	Choose2	Choose3	Choose4	Choose5	Choose6	Choose7	Choose8	Choose9	Choose10	BeginSaleTime	EndSaleTime	BeginPayForTime	EndPayForTime	Answer	BonusRate	MaxBonus
1	14 hµo huy ch­¬ng b¶ng 	14 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408130700	408132400	408150900	408222200	0	50	10000000
3	15 hµo huy ch­¬ng b¶ng 	15 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408140700	408142400	408160900	408222200	3	50	10000000
5	16 hµo huy ch­¬ng b¶ng 	16 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408150700	408152400	408170900	408222200	7	50	10000000
7	17 hµo huy ch­¬ng b¶ng 	17 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408160700	408162400	408200900	408222200	2	50	10000000
9	18 hµo huy ch­¬ng b¶ng 	18 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408170700	408172400	408200900	408222200	3	50	10000000
11	19 hµo huy ch­¬ng b¶ng 	19 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408180700	408182400	408200900	408222200	7	50	10000000
13	20 hµo huy ch­¬ng b¶ng 	20 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408190700	408192400	408210900	408222200	7	50	10000000
15	21 hµo huy ch­¬ng b¶ng 	21 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408200700	408202400	408220900	408232200	7	50	10000000
17	22 hµo huy ch­¬ng b¶ng 	22 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408210700	408212400	408230900	408242200	6	50	10000000
19	23 hµo huy ch­¬ng b¶ng 	23 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408220700	408222400	408240900	408252200	3	50	10000000
21	24 hµo huy ch­¬ng b¶ng 	24 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408230700	408232400	408250900	408262200	7	50	10000000
23	25 hµo huy ch­¬ng b¶ng 	25 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408240700	408242400	408260900	408272200	6	50	10000000
25	26 hµo huy ch­¬ng b¶ng 	26 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408250700	408252400	408270900	408282200	3	50	10000000
27	27 hµo huy ch­¬ng b¶ng 	27 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408260700	408262400	408280900	408292200	5	50	10000000
29	28 hµo huy ch­¬ng b¶ng 	28 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408270700	408272400	408290900	408302200	5	50	10000000
31	29 hµo huy ch­¬ng b¶ng 	29 hµo Trung Hoa Trung Quèc ®éi ë A-ten thÞnh héi th­îng lÊy ®­îc vµng b¹c huy ch­¬ng ®ång sè l­îng ®an song c¹nh sai 	8	5000	ChØ cÇn ®an 	§an song ®an 	ChØ cÇn song 	Song chØ cÇn 	Song song ®an 	Song ®an song 	§an song song 	Song song song 			408280700	408282400	408300900	408312200	2	50	10000000
2	14 nhËt ®o¹t kim c¹nh sai 	N÷ tö khÝ sóng tr­êng, nam tö hai ng­êi m­êi th­íc cÇu nh¶y trËn chung kÕt qu¸n qu©n ng­êi ®o¹t gi¶i 	10	5000	TriÖu th«ng minh, ®iÒn l­îng / hå giai 	§ç lÖ, ®iÒn l­îng / hå giai 	Gia nhÜ kim na, ®iÒn l­îng / hå giai 	TriÖu th«ng minh, h¸ch ng­¬i mç / n÷u b¸ lý 	§ç lÖ, h¸ch ng­¬i mç / n÷u b¸ lý 	Gia nhÜ kim na, h¸ch ng­¬i mç / n÷u b¸ lý 	TriÖu th«ng minh, nh÷ng tuyÓn thñ kh¸c 	§ç lÖ, nh÷ng tuyÓn thñ kh¸c 	Nh÷ng tuyÓn thñ kh¸c, ®iÒn l­îng / hå giai 	C¸i kh¸c kh¶ n¨ng 	408130700	408132400	408150900	408222200	0	50	10000000
4	15 nhËt ®o¹t kim c¹nh sai 	Nam tö 100 mÔ b¬i Õch trËn chung kÕt qu¸n qu©n, nam tö cuéc ®Êu bãng rç th¾ng b¹i 	8	5000	T­ l« ®øc nÆc phu, Trung Hoa Trung Quèc th¾ng T©y Ban Nha 	B¾c ®¶o khang giíi, Trung Hoa Trung Quèc th¾ng T©y Ban Nha 	Hansen, Trung Hoa Trung Quèc th¾ng T©y Ban Nha 	T­ l« ®øc nÆc phu, Trung Hoa Trung Quèc phô T©y Ban Nha 	B¾c ®¶o khang giíi, Trung Hoa Trung Quèc phô T©y Ban Nha 	Hansen, Trung Hoa Trung Quèc phô T©y Ban Nha 	Nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc th¾ng T©y Ban Nha 	Nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc phô T©y Ban Nha 			408140700	408142400	408160900	408222200	5	50	10000000
6	16 nhËt ®o¹t kim c¹nh sai 	N÷ tö 100 mÔ b¬i Õch, nam tö thÓ thao ®oµn thÓ trËn chung kÕt qu¸n qu©n 	9	5000	La tuyÕt ®Ñp, Trung Hoa Trung Quèc thÓ thao nam ®éi 	Jones, Trung Hoa Trung Quèc thÓ thao nam ®éi 	La tuyÕt ®Ñp, MÜ Quèc thÓ thao nam ®éi 	Jones, MÜ Quèc thÓ thao nam ®éi 	La tuyÕt ®Ñp, nh÷ng quèc gia kh¸c thÓ thao nam ®éi 	Jones, nh÷ng quèc gia kh¸c thÓ thao nam ®éi 	Nh÷ng tuyÓn thñ kh¸c, Trung Hoa Trung Quèc thÓ thao nam ®éi 	Nh÷ng tuyÓn thñ kh¸c, MÜ Quèc thÓ thao nam ®éi 	C¸i kh¸c kh¶ n¨ng 		408150700	408152400	408170900	408222200	5	50	10000000
