MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	MissRate	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
1	Tứ Tượng Đồng Quy	1	0	1	18	2	1	2	14	16	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\ảởỏề\mag_em_02_ậÄẽúÍơạộ.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\ảởỏề\mag_bz_bin2_±ơếăéĐạỷ.spr	6,1,2	\sound\skill\±ự±ơ.wav													156	211	255	90
2	Nhất Diệp Tri Thu	1	0	1	10	1	0	1	0	32	20	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0				\spr\skill\ảởỏề\mag_em_03_ềằềảệêầù.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\ảởỏề\mag_bz_bin1_±ơếăéĐạỷ.spr	14,1,1	\sound\skill\sound_k041.wav													156	211	255	90
3	Bất Diệt Bất Tuyệt	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0				\spr\skill\ảởỏề\mag_em_04_²ằÃð²ằắứ.spr	64,16,1	\sound\skill\²ằÃð²ằắứ.wav				\spr\skill\ảởỏề\mag_em_bin4_±ơếăéĐạỷ.spr	6,1,1	\sound\skill\àảẵÊ´èệéẫự.wav													156	211	255	90
4	Phật Quang Phổ Chiếu	0	0	1	10	4	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ảởỏề\mag_em_05_ãðạõặếếế.spr	8,1,2					\spr\skill\ảởỏề\mag_bz_bin1_±ơếăéĐạỷ.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90
5	Từ Hàng Phổ D	0	0	0	10	5	1	5	20	19	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\ảởỏề\mag_em_12_´ẩºẵặếảẫ.spr	20,1,1					\spr\skill\ảởỏề\mag_bz_bin5_±ơếăéĐạỷ.spr	18,1,2	\sound\skill\sound_k041.wav													156	166	247	90
6	Phong Vân Đột Khởi 	1	0	1	10	1	0	1	0	20	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0				\spr\skill\´ọẹè\mag_cy_01_ãỗễặÍằặð.spr	48,16,1	\sound\skill\ãỗằăẹâễÂ.wav				\spr\skill\ảởỏề\mag_bz_bin2_±ơếăéĐạỷ.spr	6,1,2	\sound\skill\±ự±ơ.wav													156	211	255	90
7	Phong Quyển Tàn Tuyết	1	0	0	5	2	1	2	4	16	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1						\sound\skill\ãỗắớ²éẹâ.wav																			156	211	255	90
8	Vũ Đả Lê Hoa	1	0	1	450	2	1	2	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0				\spr\skill\´ọẹè\mag_cy_03_ểờ´ũÀổằă.spr	5,1,1		\spr\skill\ảởỏề\mag_bz_bin4_±ơếăéĐạỷ.spr	16,1,2		\spr\skill\ảởỏề\mag_bz_bin3_±ơếăéĐạỷ.spr	19,1,2	\sound\skill\sound_k041.wav													156	211	255	90
9	Mục Dã Lưu Tinh a	0	0	0	320	2	1	2	0	24	0	-40960	40960	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0				\spr\skill\´ọẹè\mag_cy_04_ÄÁề°Áữéầ.spr	5,1,1		\spr\skill\ảởỏề\mag_bz_bin5_±ơếăéĐạỷ.spr	18,1,2		\spr\skill\ảởỏề\mag_bz_bin5_±ơếăéĐạỷ.spr	18,1,2	\sound\skill\sound_k041.wav													156	211	255	90
10	Bích Hải Triều Sinh a	0	0	0	10	8	1	8	5	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\´ọẹè\mag_cy_05_±èºÊ³±ẫỳ_a.spr	6,1,1	\sound\skill\±èºÊ³±ẫỳ.wav																			156	211	255	90
