Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	ExpParam1	ExpParam2	ExpParam3	LifeParam	LifeParam1	LifeParam2	LifeParam3	LifeReplenish	ARParam	ARParam1	ARParam2	ARParam3	DefenseParam	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile
东北虎	0	5	0	1			43				ani001	0	0	0	0	0	28	28	20	10	20	12	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	7	7	25	25	400	50	700	3	60	30	60	40	60	10	0	0	10	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	100	\settings\item\npcdroprate.ini
华南虎	0	5	1	1			44				ani002	0	0	0	0	0	24	35	25	10	20	12	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	7	7	25	25	400	50	700	6	60	30	70	70	50	10	0	0	10	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
白虎	0	5	2	1			45				ani003	0	0	0	0	0	24	26	20	10	20	12	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	7	7	25	25	400	50	700	1	80	40	30	0	0	20	0	0	0	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	100	\settings\item\npcdroprate.ini
金钱豹	0	5	3	1			47				ani005	0	0	0	0	0	30	36	30	10	21	13	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	3	60	30	60	40	60	10	0	0	10	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	100	\settings\item\npcdroprate.ini
雪豹	0	5	4	1			48				ani006	0	0	0	0	0	28	28	31	8	14	14	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	3	60	30	60	40	60	10	0	0	10	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	100	\settings\item\npcdroprate.ini
灰狼	0	5	0	1			51				ani009	0	0	0	0	0	15	28	26	10	20	12	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	6	70	30	60	40	40	20	0	0	10	0|0	0|0.5	0|0.5	0|0.95	0|0.5	60	75	75	90	75	1440	100	\settings\item\npcdroprate.ini
火狼	0	5	1	1			52				ani010	0	0	0	0	0	18	28	26	10	12	13	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	6	60	30	60	40	60	10	0	10	0	0|0.5	0|0.5	0|0.95	0|0.5	0|0	75	75	90	75	60	1440	100	\settings\item\npcdroprate.ini
青狼	0	5	2	1			53				ani011	0	0	0	0	0	10	28	20	9	12	10	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	3	60	30	60	40	60	10	0	0	10	0|0.95	0|0.5	0|0	0|0.5	0|0.5	90	75	60	75	75	1440	100	\settings\item\npcdroprate.ini
雪狼	0	5	3	1			54				ani012	0	0	0	0	0	12	22	16	9	15	10	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	6	6	25	25	400	50	700	6	70	30	60	40	60	10	0	0	10	0|0.5	0|0	0|0.5	0|0.5	0|0.95	75	60	75	75	90	1440	100	\settings\item\npcdroprate.ini
狐狸	0	5	4	1			55				ani013	0	0	0	0	0	14	30	14	10	21	9	喷毛	1|0	喷毛	1|0	喷毛	1|0	喷毛	1|0		\script\npclevelscript\standard.lua	100	0	10	50	100	0.5	20	50	0|0.05	100	0.07	2.5	10	100	0.1	2.5	10	100	0.01	0.1	3	100	0.01	0.3	3	5	5	25	25	400	10	700	3	70	50	90	40	40	20	0	10	0	0|0.5	0|0.95	0|0.5	0|0	0|0.5	75	90	75	60	75	1440	100	\settings\item\npcdroprate.ini
