talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	ChØ ng­¬i gi¸ tam ch©n mÌo c«ng phu hoµn häc ng­êi kh¸c l­u l¹c giang hå? 	Nh©n huynh, ng­¬i thÕ nµo võa nh×n thÊy mü n÷ hai m¾t ®Ó l¹i quang. 	Ng­êi ph¸ h­ dôc lµ phi th­êng ®¸ng sî, nh­ng ®i qua tu hµnh kh¶ dÜ hãa gi¶i. 	Nga mi s¬n phong c¶nh næi tiÕng thiªn h¹, nhÊt lµ phËt quang, nh×n thÊy phËt quang héi mang ®Õn phóc khİ. 	H«m qua ta uèng ch©n thèng kho¸i, hiÖn t¹i ®Çu cã ®iÓm h«n! 	Ngµy h«m nay cña ng­¬i khİ s¾c kh«ng tÖ a!
2	Ta chØ lµ v× tiÔn c«ng t¸c. 	Ta mçi ngµy sím muén g× ®« héi dïng n­íc muèi sóc miÖng, ng­¬i còng muèn d­ìng thµnh gi¸ tËp qu¸n. 	Ai, nh©n sinh thùc sù lµ trµn ®Çy bi th­¬ng vµ thèng khæ a! 	C¸i Bang nh÷ng ®Ö tö kia thùc sù lµ v« khæng bÊt nhËp a, na ®Òu cã thÓ nh×n thÊy th©n ¶nh cña bän hä. 	MÊy ngµy tr­íc ®©y uèng say hËu, ng· vµo ven ®­êng ngñ, hiÖn t¹i ngÉu c¶m phong hµn. 	Kú thùc nhµ cña ta tæ tiªn còng ®· tõng tr¶i qua ng­êi lµm quan.
3	Ng­¬i lu«n lu«n ®øng xa nh­ vËy lµm g×? ! Ta chÕt ng­¬i còng kh«ng sèng ®­îc! 	Ta phiÒn nhÊt mïa ®«ng, mét chót tuyÕt lé tùu kÕt b¨ng, dÔ ng·. 	Ta v× sao lu«n lu«n bá qua m×nh duyªn phËn ni? 	Ta thİch nhÊt chim tr¶, mµu s¾c cña nã thŞ chãi m¾t nh­ vËy, kÎ kh¸c yªu thİch kh«ng bu«ng tay. 	Thµnh ®« con chuét bØ ®Şa ph­¬ng kh¸c ®Òu mËp, xem ra n¬i ®ã sinh ho¹t còng kh«ng tÖ l¾m. 	C¸i kia ta yªu n÷ nh©n ly khai nguyªn nh©n cña ta chØ cã mét, lµ ta lóc ®ã th¸i kh«ng hiÓu ®­îc quı träng.
4	Chí nhanh nh­ vËy, ta cÇn nghØ ng¬i mét chót. 	Trung b×nh tÊn ®Òu tr¸t bÊt æn, cßn muèn häc c«ng phu, ng­¬i tiªn luyÖn kiÕn thøc c¬ b¶n ba. 	N¨m nay ta nhÊt ®Şnh ph¶i toµn có l·o bµ b¶n, tiÕt kiÖm mçi mét ®ång tiÒn. 	§¹i ca kh«ng cã thİch n÷ tö sao? 	Võa ®i qua tiÓu n­¬ng tö lµ vŞ nµo a? 	MÊt ®i ®«ng t©y, th­êng th­êng v« ph¸p t×m vÒ.
5	Ai, cã nghe hay kh«ng, chóng ta ®¾c nghØ ng¬i mét chót! 	Ta thùc sù lµ thÊt b¹i a, l¹i bŞ n÷ hµi cÊp qu¨ng. 	Ng­¬i còng cã thÓ t×m mét chuyÖn ®Çu ı vµ c« n­¬ng, ha ha! 	ThËt lµ kú qu¸i, gÇn ®©y l·o thiªn gia lu«n lu«n kh«ng d­íi m­a! 	§· tõng ta còng yªu qu¸ mét n÷ tö, nh­ng tèi hËu nµng xa c¸ch ta. 	LÔ mõng n¨m míi ta nhÊt ®Şnh ph¶i vÒ víi «ng bµ nh×n, båi cha mÑ ta ¨n b÷a b÷a c¬m ®oµn viªn.
6	Tuy r»ng sinh chç lo¹n thÕ, l¹i cho ta cµng nhiÒu kh¶ dÜ thi triÓn b¶n lÜnh c¬ héi. 	V× sao ngùa cña ng­¬i nh­ thÕ kh«ng nghe lêi, b¶ ta ®¸ mét ®¹i bæ nhµo. 	Tr­íc ®©y ta ®µo h«n kh«ng biÕt cã ph¶i hay kh«ng lµ ®óng? 	§«n Hoµng lµ mét trµn ngËp lùc l­îng thÇn bİ ®Şa ph­¬ng, chóng ta nhÊt ®Şnh ph¶i ®i dß hái mét chót. 	B¸ch tİnh sinh ho¹t rÊt gian khæ, tè hoµng ®Õ còng nªn cÇn kiÖm mét chót. 	Ngµy h«m nay kh«ng cã g× ®Æc biÖt chuyÖn x¶y ra sinh.
7	Ng­¬i v× sao mµ hµnh tÈu giang hå ni, sÏ kh«ng chØ v× tµi phó vµ danh tiÕng ba. 	Ng­¬i ph¶i bŞ tr¸ch ta tiÒn ch÷a bÖnh, trªn ng­êi ta th­¬ng cµng ngµy cµng nhiÒu. 	§· tõng ta cã mét con d©u nu«i tõ bĞ, sau l¹i nµng bŞ mÑ ta ®Ó cho ch¹y. 	L©m vµo chiÕn lo¹n §¹i Tèng, b¸ch tİnh sinh ho¹t t¹i n­íc s«i löa báng ë gi÷a, mong muèn t¸i còng sÏ kh«ng cã chiÕn tranh råi. 	§a vµ trong thµnh tªn khÊt c¸i ®¶ giao tiÕp, bän hä biÕt rÊt nhiÒu chuyÖn. 	Ta xem ®¹i ca gÇn ®©y muèn ¨n kh«ng phÊn chÊn, ta ®i tr¶o ta thuèc tíi cho ng­¬i h¸t!
8	GÇn ®©y ®· nh×n kh«ng thÊy kim nh©n c¸i bãng. 	Chu tiªn trÊn mòi tªn, lµ ta b¸i anh em kÕt nghÜa. 	MÑ ta lµ mét phi th­êng ng­êi hiÒn lµnh. 	Chê ®¹i ca thµnh trong chèn giang hå ®¹i hiÖp, ta còng cã thÓ d­¬ng danh thiªn h¹. 	Vò §­¬ng mét lç mòi tr©u l·o ®¹o, ®· tõng khi dÔ ta yªm, ta nhÊt ®Şnh ph¶i b¸o thï. 	Mïa nµy ngän nói c¸i nÊm ®Æc biÖt nhiÒu, chóng ta còng ®i th¶i mét İt ®Õn ®©y ®i.
9	Ng­êi lµ s¾t, ph¹n thŞ thĞp, cho ¨n kh«ng ¨n ng¹ ho¶ng. 	LÇn tíi ®i ngang qua thóy yªn m«n th×, ta muèn ®a tiÒu hai m¾t, nh×n cã hay kh«ng mü n÷! 	Ngµy Êy ë kinh thµnh thÊy c¶ ng­êi biªn cã thËt nhiÒu hé vÖ n÷ tö, ch¼ng biÕt nµng lµ lai lŞch g×. 	Ta thİch ¨n nhÊt g× ®ã hay b¸nh bao råi. 	Lµm nh­ nam nh©n chóng ta h¼n lµ ch¨m chØ h¬n. 	LÇn tr­íc ta thô th­¬ng thõa M«ng ®¹i ca chiÕu cè.
10	Ngµy h«m tr­íc ®¶ nhÊt ®¸m tÆc nh©n th×, thÊy ng­¬i cÇm kh«ng İt tµi b¶o. 	Nhí n¨m ®ã ta còng tõng lµ mét ®êi ®¹i hiÖp, h«m nay lu©n l¹c tíi ®­¬ng nh©n tïy tïng. 	Ta kiÕn nghŞ ng­¬i trªn tay cÇm m¸u ®en röa ®i t¸i ¨n c¸i g× ba. 	Tuy r»ng ®¸nh b¹c bÊt h¶o, thÕ nh­ng thØnh tho¶ng ta còng sÏ ®i thö mét chót vËn may. 	N÷ nh©n th­êng th­êng nãi ph¶i g¶ cã tr¸ch nhiÖm c¶m nam nh©n, kh«ng biÕt c¸i nµy tiªu chuÈn g× d¹ng? 	ChØ cÇn cã ta ë, nhÊt ®Şnh sÏ kh«ng ®Ó cho ®¹i ca bŞ th­¬ng.
