talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	Gi÷a chóng ta kh«ng cã g× ch©n c¶m t×nh! 	Ngµy h«m nay khİ trêi tèt t­¬ng ®èi thİch hîp ¨n c¬m d· ngo¹i. 	Nãi cho ng­¬i biÕt mét bİ mËt Chu tiªn trÊn vò s­ lµ cña ta mèi t×nh ®Çu t×nh nh©n. 	Con ng­êi cña ta kú thùc rÊt ¸i nãi chuyÖn trêi ®Êt, ng­¬i c¶m thÊy thÕ nµo. 	§ang phª b×nh ng­êi kh¸c tiÒn h¼n lµ tiªn kiÓm th¶o h¹ chİnh. 	Cã thÓ cïng tû tû cïng mét chç thùc sù lµ ta trong cuéc ®êi h¹nh phóc lín nhÊt.
2	Cïng víi ng­¬i rÊt buån ch¸n. 	MÆt trêi thËt to a, ta ®Òu n¾ng ¨n ®en. 	Ng­êi Thiªn Tróc kh¶ dÜ chØ huy r¾n hæ mang khiªu vò, kh«ng biÕt cã ph¶i hay kh«ng lµ thùc sù. 	NÕu cã thÓ vµ rÊt nhiÒu cao thñ vâ l©m tô héi, tèt biÕt bao nhiªu a! 	Cã ®«i khi nh©n kh«ng nªn rÊt cè chÊp, nÕu nh­ thùc sù kh«ng ®­îc, còng muèn b¾t ch­íc sÏ bu«ng tha. 	HiÖn t¹i ta c¶m gi¸c m×nh cµng ngµy cµng m¹nh.
3	Ngo¹i trõ ®¶ qu¸i luyÖn c«ng ng­¬i còng sÏ kh«ng lµm mét chót kh¸c sao! 	NhÊt c« g¸i nhµ ng­¬i t¹i sao muèn tuyÓn tr¹ch hµnh tÈu giang hå ni? 	LÇn tr­íc ë chî thÊy hÇu tö móa hİ thËt thó vŞ. 	§Èy bµi cöu, ta kh«ng häc c¸i nµy, ®æ sÏ ®em nh©n hñy diÖt, tèi ®a h¹ h¹ song lôc kú. 	Ph­¬ng b¾c mïa ®«ng ®Òu bŞ gi¸ l¹nh vµ ®¹i tuyÕt bao trïm. 	Ta sÏ ®em hÕt toµn lùc b¶o hé tû tû.
4	Ta ®iÒu kh«ng ph¶i ng­¬i giÕt qu¸i c¬ khİ. 	Chóng ta thØnh tho¶ng còng cã thÓ nghØ ng¬i mét chót ba? 	N¨m nay kh« h¹n thiÕu n­íc m­a, hoa mÇu l¹i muèn khiÕm thu. 	Ai, ta bông hùu ®ãi bông, nghe ®­îc ba. 	Nghe nãi cã mét tõ x­a quèc gia khiÕu ®¹i TÇn, n¬i ®ã chiÕn sÜ ®Òu rÊt dòng m·nh. 	Ta ph¸t hiÖn nhÊt kiÖn chuyÖn thó vŞ, trªn c©y chim kh¸ch ë tr¸c c©y t¸o cËt.
5	Ng­¬i nÕu nh­ nÕu kh«ng ®Ó ı ta, ta sÏ ®iªn mÊt råi! 	Dõng l¹i nh×n ven ®­êng phong c¶nh còng kh«ng th¸c! 	Täa m· xa thùc sù lµ th¸i ®iªn b¸, ta thµ r»ng ®i tíi. 	Ta chØ héi tè h·m sÏ kh«ng c¶n da, lµm v»n th¾n còng t×m ta u. 	Ta phi th­êng kİnh nÓ n÷ ®Õ Vò T¾c Thiªn, nµng lµ n÷ trung hµo kiÖt. 	Quªn thŞ na n¨m, ta yÕt quan phñ lÖnh truy n·, b¾t ®­îc ph¹m nh©n th×, bän hä c­ nhiªn mét ®ång tiÒn còng kh«ng cã cho ta.
6	MÆt cña ng­¬i th­îng hiÓn hiÖn ra mÖt nhäc thÇn s¾c. 	Cßn lµ thİch ®­êng ®¹i c« g¸i phôc søc, so víi chóng ta tèng ®¹i thËt lµ tèt thÊy nhiÒu råi. 	Tû tû mét cã ng­êi thİch sao? 	Thôy tiÒn uèng s÷a t­¬i mü dung hùu an thÇn. 	Thïy ®ang lµm ®­êng thè bµi cèt, th¬m qu¸ a. 	GhĞt nhÊt bŞ kh«ng nãi tİn dông nh©n.
7	Nµy, chóng ta kh¶ dÜ nghØ ng¬i mét håi sao? 	Nga mi phong c¶nh phi th­êng mª ng­êi, bÊt qu¸ ë t¹i trªn nói c¸c ni c« ®¸o ph¶i kh«ng mæ phong t×nh. 	Mïa hÌ n­íc m­a ®a, chóng ta yÕu chuÈn bŞ cho tèt giÊy dÇu t¸n. 	Ph­¬ng b¾c t©y qua l¹i lín hùu ®iÒm, thÕ nh­ng chæ ®· bŞ kim nh©n chiÕm, kh«ng ¨n ®­îc. 	Kh«ng cã ı tø, bông cña ta l¹i b¶o, võa hoµn ¨n mét b¸nh ch­ng ni. 	ThËt lµ th¬m a, dÇu võng vŞ ®¹o.
8	Ng­¬i h¼n lµ gia t¨ng luyÖn c«ng, lo¹i nµy th©n thñ kh«ng ®­îc. 	Ngµy h«m nay ta ch¶i mét t©n kiÓu tãc, lóc nµo ta còng gióp ng­¬i s¬ mét ba. 	Tr­íc ®©y ta häc qua vÏ mét chót, nh­ng tæng sÏ kh«ng bøc tranh phong c¶nh. 	Pearl phÊn thŞ lo¹i hi h÷u thuèc bæ, nghe nãi kh¶ dÜ mü da tr¾ng phu. 	N¨m nay trêi thu nhµ gia gia c©y t¸o cai chİn, thËt muèn ¨n mÊy ng­êi. 	Vµ ta trß chuyÖn ba, tû tû, ta cã ta muén a!
9	? buæi tèi ch¹y ®i rÊt nguy hiÓm. 	Cã chót rÊt c« g¸i xinh ®Ñp còng ra gia s¶n ni c«, thùc sù lµ ®¸ng tiÕc ni. 	Ta cuèi cïng thŞ tïy th©n mang theo nhÊt l­ìng b¶n Kinh Thi, buån ch¸n th× më ra nh×n. 	NÕu nh­ buæi tèi ngñ kh«ng yªn nãi, kh¶ dÜ uèng chót t¶o trµ. 	Cïng nhau ®i tíi, thÊy kh«ng İt c« gia mé phÇn, thËt kh«ng biÕt bän hä v× sao chÕt ë hoang d·. 	Vò khİ cña ta tùa nh­ c¸nh tay cña m×nh nh­ nhau, nhÊt kh¾c còng kh«ng cã thÓ rêi khái ng­êi.
10	GÇn ®©y s¬n tÆc tæng ë phô cËn th­êng lui tíi. 	LÇn tr­íc ta ë cöa th«n thÊy mét cËu bĞ ch©n t­íng nhiÒu kh«ng gÆp biÓu ®Ö. 	Ta sÏ ®¹n tú bµ, thİch nhÊt biªn ®¹n biªn h¸t. 	Ngäc m«n quan ngo¹i ng­êi Hå héi s¶n xuÊt mét lo¹i mµu ®á r­îu nho, nghe nãi d÷ vËy mïi r­îu nãi bÊt ®ång. 	Trong l÷ ®iÕm cã ®«i khi cã ®¹o tÆc th­êng lui tíi, nghe nãi cßn lµ h¸i hoa ®¹o tÆc. 	Ta ®ang suy nghÜ, lÔ mõng n¨m míi cho ta n­¬ng sao vËt g× vËy trë l¹i.
