# PC partner/pet source index. Catalog only; no runtime behavior claim.
# Source of truth: /var/www/vltksource_new/vl_update_27 scoped to settings/partner, settings/petsys, and partner/pet Lua script roots listed in SourceRoot.
SourceIndex	SourceRoot	RelativePath	Directory	FileName	Extension	Category	IsConfig	IsLua	SizeBytes	Sha256
1	Client 6.0/settings/partner	aptitude_mode.txt		aptitude_mode.txt	txt	partner-config	1	0	1692	0fae297c69c78ab8fe009bc642081bc944ece9bf10fc586397450fceba0f89ae
2	Client 6.0/settings/partner	aptitude_range.txt		aptitude_range.txt	txt	partner-config	1	0	845	90ff2048756d941f73c608f107b3823370b6837921028c96d0ab94bc0d5ef6da
3	Client 6.0/settings/partner	attrib_range.txt		attrib_range.txt	txt	partner-config	1	0	1070	c88af98e4a5bd3b08c3a3ee3d7a245a6fa8bffcaaf49331c03cef6d3c0beb6f2
4	Client 6.0/settings/partner	character.txt		character.txt	txt	partner-config	1	0	424	2df927631e17d6725b046e7623306e6394d6d70589348ff246a96781b464c309
5	Client 6.0/settings/partner	feature.txt		feature.txt	txt	partner-config	1	0	183	7ca6e0438a6823ab2b600e39bbc62250d74d370df878a5efd488707ac81da5f0
6	Client 6.0/settings/partner	init_skill.ini		init_skill.ini	ini	partner-config	1	0	1842	d61852f3e9916d21fe0315e0cec80be9c04f82c44026dd8509676e588a0356b4
7	Client 6.0/settings/partner	level_exp.txt		level_exp.txt	txt	partner-config	1	0	1147	b64944e1ab565cb9a6a99ef1623b2ff1d49ae2d846d50608c523977d86ef1b05
8	Client 6.0/settings/partner	partner_bag.ini		partner_bag.ini	ini	partner-config	1	0	481	d0e029275d254567c1ad38b52f97310ab99e274d3a9c50e491ba60508b901eea
9	Client 6.0/settings/partner	partner_event.ini		partner_event.ini	ini	partner-config	1	0	23526	da9ba7c8a2ffc349ad7972c12a4717ee3c6aa103f6aebc54362eac7df64009a4
10	Client 6.0/settings/partner	partner_setting.ini		partner_setting.ini	ini	partner-config	1	0	554	f679f459b85a14eda7436ace3bdceb48bdf6b950c2eb0cace1242df6bf125bc7
11	Client 6.0/settings/partner	resist.txt		resist.txt	txt	partner-config	1	0	398	20cf84e495aa1b00e6de1c68b6aeb84c287684dc630e662278eefefdde6c3a77
12	Client 6.0/settings/partner	skill_requirement.txt		skill_requirement.txt	txt	partner-config	1	0	907	437b68b128dbdfe4920f239ed896bc96e611f242957b1c719527e31cbd0c3484
13	Client 6.0/settings/partner	talk/man_m.txt	talk	man_m.txt	txt	partner-config	1	0	21663	1f798536c099971e26380f72ba92959a1acfbac7afe1c68ea208fd49df45ef19
14	Client 6.0/settings/partner	talk/man_m.txt.bak	talk	man_m.txt.bak	bak	partner-config	1	0	11918	7ff9900e237900d21012da11fb6238ce9a9cfe918c5a0a014f23d3e8d3c8c69f
15	Client 6.0/settings/partner	talk/man_w.txt	talk	man_w.txt	txt	partner-config	1	0	19524	e7f67f81a7b7701687b3171c829222bce13c0850d319451838454b82fbe63554
16	Client 6.0/settings/partner	talk/man_w.txt.bak	talk	man_w.txt.bak	bak	partner-config	1	0	10964	5b8e25f5455fa26ce277d896c3cd2562c63bfac07f352c91e24d7dcc13aad6ec
17	Client 6.0/settings/partner	talk/partner_sex.txt	talk	partner_sex.txt	txt	partner-config	1	0	147	589aea9c0071813d9f91c99da5a6e012bffeba61bd1d9168f17f5c1492d23da8
18	Client 6.0/settings/partner	talk/woman_m.txt	talk	woman_m.txt	txt	partner-config	1	0	17778	60785da5823fabcb092bcb38763ded189c406a31f41891598d10cd7787d176e4
19	Client 6.0/settings/partner	talk/woman_m.txt.bak	talk	woman_m.txt.bak	bak	partner-config	1	0	9994	d6c7dd2d3444e349a26a5fad1bdd577b440dcd76d4cc5c3954247ff2942d5ce3
20	Client 6.0/settings/partner	talk/woman_w.txt	talk	woman_w.txt	txt	partner-config	1	0	22600	a0055a94f2455d4e77329e53bfe3e8d2ba28cee4332a59488b5add38fb30210c
21	Client 6.0/settings/partner	talk/woman_w.txt.bak	talk	woman_w.txt.bak	bak	partner-config	1	0	12424	5ef0e6dec934faf9d2e4bf8095782b93ad07eeadb553dc9b8469ca3e1d3629a6
22	Client 6.0/settings/petsys	pet_skill_def.txt		pet_skill_def.txt	txt	pet-config	1	0	2955	5320f7d57386e9aeaff8d59d3daeb978ed4a6f8fe369ef3d70273f5d8842c057
23	Server 6.0/server/home_jxser/server1/settings/partner	aptitude_mode.txt		aptitude_mode.txt	txt	partner-config	1	0	1692	0fae297c69c78ab8fe009bc642081bc944ece9bf10fc586397450fceba0f89ae
24	Server 6.0/server/home_jxser/server1/settings/partner	aptitude_range.txt		aptitude_range.txt	txt	partner-config	1	0	845	90ff2048756d941f73c608f107b3823370b6837921028c96d0ab94bc0d5ef6da
25	Server 6.0/server/home_jxser/server1/settings/partner	attrib_range.txt		attrib_range.txt	txt	partner-config	1	0	1070	c88af98e4a5bd3b08c3a3ee3d7a245a6fa8bffcaaf49331c03cef6d3c0beb6f2
26	Server 6.0/server/home_jxser/server1/settings/partner	character.txt		character.txt	txt	partner-config	1	0	424	2df927631e17d6725b046e7623306e6394d6d70589348ff246a96781b464c309
27	Server 6.0/server/home_jxser/server1/settings/partner	feature.txt		feature.txt	txt	partner-config	1	0	183	7ca6e0438a6823ab2b600e39bbc62250d74d370df878a5efd488707ac81da5f0
28	Server 6.0/server/home_jxser/server1/settings/partner	init_skill.ini		init_skill.ini	ini	partner-config	1	0	1842	d61852f3e9916d21fe0315e0cec80be9c04f82c44026dd8509676e588a0356b4
