EQUIPNAME	PLATINAID	GOLDID	TASKRATE	RECOIN	
[Thiªn Tø] Méng Long ChÝnh Hång T¨ng M·o	1	1	4	2	
[Thiªn Tø] Méng Long Kim Ti ChÝnh Hång Cµ Sa	2	2	2	2	
[Thiªn Tø] Méng Long HuyÒn Ti Ph¸t ®¸i	3	3	2	2	
[Thiªn Tø] Méng Long PhËt Ph¸p HuyÒn Béi	4	4	7	5	fixnew
[Thiªn Tø] Phôc Ma Tö Kim C«n	6	6	3	2	
[Thiªn Tø] Phôc Ma ¤ Kim NhuyÔn §iÒu	8	8	2	2	
[Thiªn Tø] Phôc Ma PhËt T©m NhuyÔn KhÊu	9	9	7	5	fixnew
[Thiªn Tø] Phôc Ma Phæ §é T¨ng hµi	10	10	7	5	fixnew
[Thiªn Tø] Tø Kh«ng Gi¸ng Ma Giíi §ao	11	11	6	5	
[Thiªn Tø] Tø Kh«ng Hé ph¸p Yªu ®¸i	13	13	3	3	
[Thiªn Tø] Tø Kh«ng NhuyÔn B× Hé UyÓn	14	14	7	5	fixnew
[Thiªn Tø] Tø Kh«ng Giíi LuËt Ph¸p giíi	15	15	7	5	fixnew
[Thiªn Tø] H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	16	16	8	6	
[Thiªn Tø] H¸m Thiªn Uy Vò Thóc yªu ®¸i	18	18	7	5	fixnew
[Thiªn Tø] H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	19	19	3	1	
[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa	20	20	3	3	
[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	21	21	8	5	
[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	22	22	3	3	
[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song khÊu	23	23	4	4	
[Thiªn Tø] KÕ NghiÖp Háa V©n Kú L©n Thñ 	24	24	7	5	fixnew
[Thiªn Tø] Ngù Long L­îng Ng©n B¶o §ao	26	26	6	3	
[Thiªn Tø] Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	27	27	7	5	fixnew
[Thiªn Tø] Ngù Long Thiªn M«n Thóc Yªu hoµn	28	28	3	3	
[Thiªn Tø] Ngù Long TuyÖt MÖnh ChØ hoµn	30	30	7	5	fixnew
[Thiªn Tø] V« Gian û Thiªn KiÕm	31	31	5	4	
[Thiªn Tø] V« Gian PhÊt V©n Ti ®¸i	33	33	2.5	3	
[Thiªn Tø] V« Gian CÇm VËn Hé UyÓn	34	34	2.5	3	
[Thiªn Tø] V« Gian B¹ch Ngäc Bµn ChØ 	35	35	7	5	fixnew
[Thiªn Tø] V« Ma Ma Ni qu¸n	36	36	7	5	fixnew
[Thiªn Tø] V« Ma B¨ng Tinh ChØ Hoµn	38	38	2.5	1	
[Thiªn Tø] V« Ma TÈy T­îng Ngäc KhÊu	39	39	5	4	
[Thiªn Tø] V« Ma Hång Truy NhuyÔn Th¸p hµi	40	40	2.5	3	
[Thiªn Tø] V« TrÇn Tõ Bi Ngäc Ban ChØ 	43	43	7	5	fixnew
[Thiªn Tø] Tª Hoµng Phông Nghi §ao	46	46	5	5	
[Thiªn Tø] Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	48	48	2.5	3	
[Thiªn Tø] Tª Hoµng B¨ng Tung CÈm uyÓn	49	49	2.5	3	
[Thiªn Tø] Tª Hoµng Thóy Ngäc ChØ Hoµn	50	50	7	5	fixnew
[Thiªn Tø] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	51	51	3	2	
[Thiªn Tø] BÝch H¶i Hång Linh Kim Ti ®¸i	53	53	2	2	
[Thiªn Tø] BÝch H¶i Hång L¨ng Ba	54	54	2	2	
[Thiªn Tø] BÝch H¶i Khiªn TÕ ChØ hoµn	55	55	7	5	fixnew
[Thiªn Tø] U Lung Kim Xµ Ph¸t §¸i	56	56	2.5	2	
[Thiªn Tø] U Lung Thanh Ng« TriÒn yªu	58	58	7	5	fixnew
[Thiªn Tø] U Lung Ng©n ThÒm Hé UyÓn	59	59	7	5	fixnew
[Thiªn Tø] U Lung MÆc Thï NhuyÔn Lý 	60	60	5	2	
[Thiªn Tø] Minh ¶o Tµ S¸t §éc NhËn	61	61	4	3	
[Thiªn Tø] Minh ¶o U §éc ¸m Y	62	62	2.5	3	
[Thiªn Tø] Minh ¶o §éc YÕt ChØ Hoµn	63	63	7	5	fixnew
