SourceIndex	SourceRoot	RelativePath	Directory	FileName	Extension	IsLua	IsCvsMetadata	SizeBytes	Sha256
1	Server 6.0/server/home_jxser/server1/script/event	2006vm_nationalday/event.lua	2006vm_nationalday	event.lua	lua	1	0	3759	69b609cc961e1cf6d5c37d0e131b0eefda5c3154cb90f88a046ad26b9b9eab67
2	Server 6.0/server/home_jxser/server1/script/event	act2years_yn/baibaoxiang.lua	act2years_yn	baibaoxiang.lua	lua	1	0	3225	a2e3f8b007e105434a2118573386356414a620e39330bcefcc0e5ad160e7c2b1
3	Server 6.0/server/home_jxser/server1/script/event	act2years_yn/head.lua	act2years_yn	head.lua	lua	1	0	733	84f61988c53dc3b11059dadb56036ef665998448f8ae1e56451fb2f832360261
4	Server 6.0/server/home_jxser/server1/script/event	act2years_yn/wulin_shizhe.lua	act2years_yn	wulin_shizhe.lua	lua	1	0	7176	f65708bfc77f49c515f1fef139dba53476d1b402e8648e7858c9a1515e337c0b
5	Server 6.0/server/home_jxser/server1/script/event	anniversary_ten/event.lua	anniversary_ten	event.lua	lua	1	0	1648	f3a07732ccc630a2a6030d660a872da963b69d2d0b48e5c5147b5730f249aae7
6	Server 6.0/server/home_jxser/server1/script/event	beidouchuangong/head.lua	beidouchuangong	head.lua	lua	1	0	810	46483eb2de77d2ff28dc69c47cc02957cd3c1a4d9e0b87a7cb1fd010377ad2f0
7	Server 6.0/server/home_jxser/server1/script/event	beidouchuangong/lib/addaward.lua	beidouchuangong/lib	addaward.lua	lua	1	0	1474	b647268869f64b9f2ed343176de8cb3239358e6c8bd93ccda3b835e44ceee99a
8	Server 6.0/server/home_jxser/server1/script/event	beidouchuangong/lib/compose.lua	beidouchuangong/lib	compose.lua	lua	1	0	2091	fcd6a0e89f18c19fbf6bedcaf1a03103a315b87b1e13fab1791532eca1c47291
9	Server 6.0/server/home_jxser/server1/script/event	beidouchuangong/zhizuochuangongwan.lua	beidouchuangong	zhizuochuangongwan.lua	lua	1	0	7202	54c99d2360b60e5dcddd2e1afe7dc20adfa5b834ae277529aa82c6a8010b1732
10	Server 6.0/server/home_jxser/server1/script/event	bingo_machine/bingo_machine_bigaward_box.lua	bingo_machine	bingo_machine_bigaward_box.lua	lua	1	0	2375	93802c90a1c44a69742c564daf2bbeb0579a9f85e652314485709da3c3781960
11	Server 6.0/server/home_jxser/server1/script/event	bingo_machine/bingo_machine_box.lua	bingo_machine	bingo_machine_box.lua	lua	1	0	22960	1c2c4a36a00b1b83819be45ba7d166941e2cba29af6f446660a50699f46b77fa
12	Server 6.0/server/home_jxser/server1/script/event	bingo_machine/bingo_machine_c.lua	bingo_machine	bingo_machine_c.lua	lua	1	0	3645	614fbcf21e6f871ef05ae6e860d563f1baff822ef57a71ae25e335f43cb2078f
13	Server 6.0/server/home_jxser/server1/script/event	bingo_machine/bingo_machine_def.lua	bingo_machine	bingo_machine_def.lua	lua	1	0	6961	0b4f66971a59bd3a7df40a02a997dfb80ecddad5aa3b558af78ca265af2a6016
14	Server 6.0/server/home_jxser/server1/script/event	bingo_machine/bingo_machine_gs.lua	bingo_machine	bingo_machine_gs.lua	lua	1	0	11544	587b91d0185ba5e5b0b12c22a1263b5104f91dab8839dae2ef48e30c35683fe0
15	Server 6.0/server/home_jxser/server1/script/event	bingo_machine/gambler.lua	bingo_machine	gambler.lua	lua	1	0	2354	e11080ef3c57609d053ddd1714db1e7ebad4fd491d14fd9bdf275f1b91dd58b1
16	Server 6.0/server/home_jxser/server1/script/event	bingo_machine/test.lua	bingo_machine	test.lua	lua	1	0	4339	ae13189ec0b6e92e0e1bead5a0f8fb2d3ddaffea9ce3f456ec83eecffc30ba07
17	Server 6.0/server/home_jxser/server1/script/event	bingo_machine1/bingo_machine_bigaward_box.lua	bingo_machine1	bingo_machine_bigaward_box.lua	lua	1	0	2375	93802c90a1c44a69742c564daf2bbeb0579a9f85e652314485709da3c3781960
18	Server 6.0/server/home_jxser/server1/script/event	bingo_machine1/bingo_machine_box.lua	bingo_machine1	bingo_machine_box.lua	lua	1	0	22960	1c2c4a36a00b1b83819be45ba7d166941e2cba29af6f446660a50699f46b77fa
