SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc	
Tµn D­¬ng Nh­ HuyÕt npc		233		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_01.spr		\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	0	0	0	0	0	270	0	0	0	4	1	54	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\²ĞÑôÈçÑª.lua	firedamage_v		skill_cost_v																																							"Vâ c«ng nhËp m«n, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ."	
§éc Sa ch­ëng npc		234		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	180	0	0	0	3	1	30	-1	1	1	11	0	0	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\¶¾É°ÕÆ.lua	physicsdamage_v		poisondamage_v		skill_cost_v																																					"Ngò §éc vâ c«ng nhËp m«n, s¸t th­¬ng ®èi ph­¬ng ®¬n lÎ."	
Truy T©m TiÔn npc		235		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_11.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	450	0	0	0	3	1	36	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	20	100	1	80	0	0		0					0	0	0	-1	1	\script\skill\npc\¶á»ê¼ı.lua	physicsenhance_p		skill_cost_v																																							"Trung cÊp chiªu thøc, cÇn trang bŞ ¸m khİ Phi tiªu."	
Phong Hoa TuyÕt NguyÖt npc		236		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_01.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k006.wav	0	0	0	0	0	360	15	0	0	2	1	6	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0	0	0	0				0	0	0	-1	1	\script\skill\npc\·çÔÆÍ»Æğ.lua	colddamage_v		skill_cost_v																																							"Thóy Yªn nhËp m«n, dïng b¨ng s¸t th­¬ng ®èi ph­¬ng."	
H« Phong Ph¸p npc		237		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_01.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	2	0	300	0	2	1	5	1	14	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\ºô·ç·¨.lua	lightingdamage_v		physicsdamage_v		skill_cost_v																																					"C«n L«n ph¸p thuËt nhËp m«n, s¸t th­¬ng rÊt hiÖu qu¶ "	
Kinh L«i Tr¶m npc		238		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_11.spr		\sound\skill\sound_k003.wav		0	0	0	0	0	72	0	0	0	1	1	73	-1	1	1	9	0	1	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	20	-2	0	80	0	0		0					0	0	0	-1	1	\script\skill\npc\¾ªÀ×Õ¶.lua	physicsenhance_p		lightingdamage_v		skill_cost_v																																					"trung cÊp chiªu thøc, dïng L«i s¸t th­¬ng ®èi ph­¬ng"	
Né L«i ChØ npc		239		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_01.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	400	0	0	0	5	1	24	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\Å­À×Ö¸.lua	lightingdamage_v		skill_cost_v																																							"Vâ §ang vâ c«ng nhËp m«n,tÊn c«ng ®èi ph­¬ng ®¬n lÎ."	
Tİch LŞch ®¬n npc		240		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	320	0	0	0	3	1	35	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\Åùö¨µ¯.lua	firedamage_v		skill_cost_v																																							"Vâ c«ng nhËp m«n, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ."	
Phiªu TuyÕt Xuyªn V©n npc		241		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_01.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k006.wav	0	0	0	0	0	180	15	0	0	2	1	68	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0	Gian c¸c	5	0				0	0	0	-1	1	\script\skill\npc\Æ®Ñ©´©ÔÆ.lua	physicsdamage_v		colddamage_v		skill_cost_v																																					"Nga Mi vâ c«ng nhËp m«n, dïng b¨ng s¸t th­¬ng ®èi ph­¬ng."	
Tr¶m Long quyÕt npc		242		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_01.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	0	72	0	0	0	1	1	74	-1	1	1	9	0	1	0		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	0	80	0	0		0					0	0	0	-1	1	\script\skill\npc\Õ¶Áú¾ö.lua	physicsenhance_p		firedamage_v		skill_cost_v																																					"vâ c«ng nhËp m«n, dïng háa s¸t th­¬ng ®èi ph­¬ng."	
