SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc	
C«ng kİch vËt lı  	C«ng kİch ngo¹i c«ng  	1	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	0	100	0	0	0	0	1	64	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\³¤±øÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kİch vËt lı 	
C«ng kİch vËt lı gÇn 	C«ng kİch ngo¹i c«ng  	2	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_at.spr				0	0	0	0	0	320	0	0	0	0	1	65	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kİch vËt lı 	
C«ng kİch vËt lı 	C«ng kİch ngo¹i c«ng  	53		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\½ü³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kİch vËt lı 	
NĞm ®¸		196		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr				0	0	0	0	0	180	0	0	0	0	1	87	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																						
NĞm l«ng 		197		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr		0	0	0	0	0	0	0	180	0	0	0	4	1	88	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					0	
Thæi l«ng 		198		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr		0	0	0	0	0	0	0	180	0	0	0	0	1	89	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					0	
Phun n­íc bät 		199		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr		0	0	0	0	0	0	0	180	0	0	0	0	1	90	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\¶¾¹¥»÷.lua	poisondamage_v		skill_cost_v																																								
Phun n­íc ®éc 		200		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr		0	0	0	0	0	0	0	180	0	0	0	0	1	91	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\¶¾¹¥»÷.lua	poisondamage_v		skill_cost_v																																								
B¾n tªn 		201		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr		0	0	0	0	0	0	0	180	0	0	0	0	1	93	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	0	80	0	0		0					0	0	0	-1	1	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																						
Khinh c«ng 		210		1	\spr\Ui\¼¼ÄÜÍ¼±ê\Çá¹¦.spr				0	0	0	0	0	400	0	0	0	1	9	0	-1	1	0	13	0	0	5		0	1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-2	1	0	0	0		0					1	0	0	-1	1	\script\skill\special\Çá¹¦.lua	skill_cost_v																																										
