SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
§­êng M«n ¸m khÝ 	Hç trî bÞ ®éng	43	306	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_aq.spr				0	0	0	3	0	0	0	0	0	3	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tangmen.lua	addphysicsdamage_p	tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		tangmen_anqi		t¨ng kh¶ n¨ng xö dông  ¸m khÝ.
TÝch LÞch ®¬n	C«ng kÝch néi c«ng 	45	305	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	400	0	0	0	3	1	35	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	1	1	\script\skill\tangmen.lua	physicsenhance_p	pili_dan	deadlystrike_p	pili_dan	addskilldamage1	pili_dan	addskilldamage2	pili_dan	addskilldamage3	pili_dan	skill_cost_v	pili_dan	poisondamage_v	pili_dan	seriesdamage_p	pili_dan	addskilldamage4	pili_dan	addskilldamage5	pili_dan	addskilldamage6	pili_dan	addskilldamage7	pili_dan	addskilldamage8	pili_dan	addskilldamage9	pili_dan		pili_dan		pili_dan		pili_dan		pili_dan		pili_dan		pili_dan		Vâ c«ng nhËp m«n, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ.
§o¹t Hån Tiªu	C«ng kÝch ngo¹i c«ng  	47	301	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_11.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	450	0	0	0	3	1	116	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	100	1	80	0	0		0					0	0	0	1	1	\script\skill\tangmen.lua	physicsenhance_p	duohun_biao	poisondamage_v	duohun_biao	addskilldamage1	duohun_biao	poisondamage_v	duohun_biao	missle_speed_v	duohun_biao	skill_attackradius	duohun_biao	skill_cost_v	duohun_biao	seriesdamage_p	duohun_biao	addskilldamage2	duohun_biao	addskilldamage3	duohun_biao	addskilldamage4	duohun_biao		duohun_biao		duohun_biao		duohun_biao		duohun_biao		duohun_biao		duohun_biao		duohun_biao		duohun_biao		duohun_biao		Trung cÊp chiªu thøc, cÇn trang bÞ ¸m khÝ Phi tiªu.
T©m Nh·n 	Hç trî bÞ ®éng	48	9999	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_13.spr				0	0	0	3	0	0	0	0	0	3	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tangmen.lua	addcolddamage_v	xinyan	addpoisondamage_v	xinyan	poisonenhance_p	xinyan	deadlystrikeenhance_p	xinyan	attackspeed_v	xinyan	addphysicsdamage_p	xinyan	lifemax_yan_p	xinyan	do_hurt_p	xinyan	me2earthdamage_p	xinyan	earth2medamage_p	xinyan	anti_do_stun_p	xinyan	anti_block_rate	xinyan	fastwalkrun_p	xinyan		xinyan		xinyan		xinyan		xinyan		xinyan		xinyan		xinyan		TrÊn ph¸i t©m ph¸p, t¨ng kh¶ n¨ng c«ng kÝch chÝnh x¸c b»ng ¸m khÝ 
Truy T©m TiÔn	C«ng kÝch ngo¹i c«ng  	50	302	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_22.spr		\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	360	0	2	4	3	1	37	-1	2	1	11	0	0	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	101	1	0	0	0		0					0	0	0	1	1	\script\skill\tangmen.lua	physicsenhance_p	zhuixin_jian	deadlystrike_p	zhuixin_jian	addskilldamage1	zhuixin_jian	missle_speed_v	zhuixin_jian	skill_attackradius	zhuixin_jian	skill_cost_v	zhuixin_jian	poisondamage_v	zhuixin_jian	seriesdamage_p	zhuixin_jian	addskilldamage2	zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		zhuixin_jian		Trung cÊp chiªu thøc, cÇn trang bÞ phi ®ao.
M¹n Thiªn Hoa Vò 	C«ng kÝch néi c«ng 	54	303	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_32.spr	\spr\skill\Îå¶¾½Ì\wdu_13_Ä§·¨Ê©·Å.spr	0	0	0	0	0	0	0	400	0	0	0	3	6	38	-1	1	1	11	1	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	102	1	0	0	0		0					0	0	0	1	1	\script\skill\tangmen.lua	physicsenhance_p	mantian_huayu	deadlystrike_p	mantian_huayu	addskilldamage1	mantian_huayu	skill_attackradius	mantian_huayu	skill_cost_v	mantian_huayu	poisondamage_v	mantian_huayu	seriesdamage_p	mantian_huayu	addskilldamage2	mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		mantian_huayu		Chiªu thøc cao cÊp,dïng ¸m khÝ tÊn c«ng ®èi ph­¬ng trªn diÖn réng.
Thiªn La §Þa Vâng	C«ng kÝch ngo¹i c«ng  	58	303	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tm_43.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	0	520	0	0	0	3	1	67	-1	1	1	11	1	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	227	0	0	60	20	102	0	0	0	0		0					0	0	0	1	1	\script\skill\tangmen.lua	physicsenhance_p	tianluo_diwang	deadlystrike_p	tianluo_diwang	addskilldamage1	tianluo_diwang	missle_speed_v	tianluo_diwang	skill_attackradius	tianluo_diwang	skill_cost_v	tianluo_diwang	poisondamage_v	tianluo_diwang	seriesdamage_p	tianluo_diwang	addskilldamage2	tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		tianluo_diwang		§éc m«n ¸m khÝ, tÊn c«ng ®èi ph­¬ng trªn diÖn réng.
TiÓu Lý Phi §ao	C«ng kÝch néi c«ng 	249	302	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_Ð¡Àî·Éµ¶.spr		\sound\skill\sound_k004.wav	\sound\skill\sound_k009.wav	0	0	0	0	0	480	0	0	0	3	6	106	-1	1	1	11	1	0	0		0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	101	1	38	0	0		0					0	0	0	1	1	\script\skill\tangmen.lua	physicsenhance_p	xiaoli_feidao	deadlystrike_p	xiaoli_feidao	addskilldamage1	xiaoli_feidao	skill_cost_v	xiaoli_feidao	poisondamage_v	xiaoli_feidao	seriesdamage_p	xiaoli_feidao	skill_dohurt	xiaoli_feidao	addskilldamage2	xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		xiaoli_feidao		§­êng M«n tuyÖt kü, cÇn trang bÞ phi ®ao.
B¹o Vò Lª Hoa	C«ng kÝch néi c«ng 	302	303	0	\spr\Ui\skill\±©ÓêÀæ»¨.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	0	470	0	0	0	3	6	96	-1	1	1	11	1	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	301	30	0	0	0	0	80	20	102	0	0	0	1		0					0	0	1	1	1	\script\skill\tangmen.lua	physicsenhance_p	baoyu_lihua	skill_cost_v	baoyu_lihua	missle_lifetime_v	baoyu_lihua	skill_attackradius	baoyu_lihua	addskillexp1	baoyu_lihua	skill_skillexp_v	baoyu_lihua	skill_eventskilllevel	baoyu_lihua	skill_flyevent	baoyu_lihua	skill_showevent	baoyu_lihua	seriesdamage_p	baoyu_lihua	poisondamage_v	baoyu_lihua	addskilldamage1	baoyu_lihua		baoyu_lihua		baoyu_lihua		baoyu_lihua		baoyu_lihua		baoyu_lihua		baoyu_lihua		baoyu_lihua		baoyu_lihua		§éc m«n ¸m khÝ, dïng ¸m khÝ s¸t th­¬ng trªn diÖn réng.
§éc ThÝch Cèt 	C«ng kÝch néi c«ng 	303	304	0	\spr\Ui\skill\¶¾´Ì¹Ç.spr		\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	0	50	0	0	0	3	7	127	-1	1	1	11	1	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	304	0	0	20	20	-2	1	0	0	0		0					0	0	0	1	1	\script\skill\tangmen.lua	poisondamage_v	duci_gu	skill_cost_v	duci_gu	seriesdamage_p	duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		duci_gu		BÉy ®éc 
