SourceIndex	SourceGroup	SourceKind	SourceRoot	RelativePath	Directory	FileName	Extension	IsLua	IsCvsMetadata	SizeBytes	Sha256
1	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	npcpos.txt	.	npcpos.txt	txt	0	0	3121	75715302fa709ec78d128063bc7a3b7f0c288b005a3817addd638d86c790d5e1
2	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	task/controlhelp_task_def.txt	task	controlhelp_task_def.txt	txt	0	0	14953	643350a4fb29666b1b1efd7c12392335c036248474d9cf58be44a1fc70e66f28
3	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	task/member_task_def.txt	task	member_task_def.txt	txt	0	0	207	424a550d8f46516083c528cbba1aca00e755e93284b12b6e0ee45dacb7f558fa
4	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	task/tong_task_def.txt	task	tong_task_def.txt	txt	0	0	600	93fefe057d91f8d0ded371d6ce4a737a1e9d9f8d09956621fc53f135c97a6b1a
5	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	task/workshop_task_def.txt	task	workshop_task_def.txt	txt	0	0	207	424a550d8f46516083c528cbba1aca00e755e93284b12b6e0ee45dacb7f558fa
6	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	tong_level_data.txt	.	tong_level_data.txt	txt	0	0	283	e265515c7e6160ca7de66185b83b72977a2c7510a749be97e686c5b05c798034
7	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	tong_setting.ini	.	tong_setting.ini	ini	0	0	4182	9b757d43d27a5b84332e90a9760cba8468835ae974cc1427f88c3e0ac168406c
8	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	tongset.ini	.	tongset.ini	ini	0	0	38	9b174b7f65edc22577615977ad0fe4c536d9dcbf660bcffbfbd4352c664ea769
9	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	tongstunt_setting.txt	.	tongstunt_setting.txt	txt	0	0	1315	1ccb53b725ef68aeb6e599bb1ee015b0d0fbe415b0373e926b7282efb612989a
10	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	workshop/bingjia_level_data.txt	workshop	bingjia_level_data.txt	txt	0	0	338	6ab197b287fbc644b114a9a2bf8c039fece569496f029983cc4550f1475a764c
11	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	workshop/huodong_level_data.txt	workshop	huodong_level_data.txt	txt	0	0	555	13fc7ea0b770ff3292c7eb783d80a19b761ff8892fdff9ab160f6d6e746a92ac
12	config	config	Server 6.0/server/home_jxser/gateway/s3relay/settings/tong	workshop/liwu_level_data.txt	workshop	liwu_level_data.txt	txt	0	0	249	3c9fec75eb055b2235577d7890688b25d0af12e9b88f243631f1376d5776e5db
