Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	1	164	0	0	0	1	0	9900000000
Nhu T×nh C©n Quèc Nghª Th­êng	1	190	0	2	11	1	0	9000000000
An Bang Kª HuyÕt Th¹ch Giíi ChØ 	1	167	0	0	0	1	0	3600000000
An Bang §iÒn Hoµng Th¹ch Ngäc Béi	1	166	0	0	0	1	0	3000000000
An Bang Cóc Hoa Th¹ch ChØ hoµn	1	165	0	0	0	1	0	3000000000
L­u Tinh. §ao ph¸p	0	6	1	36	0	1	0	2400000000
Th¸i Cùc QuyÒn Phæ. QuyÓn 3	0	6	1	33	0	1	0	1900000000
C¸i Bang Ch­ëng Ph¸p	0	6	1	54	0	1	0	1800000000
HiÖp Cèt T×nh ý KÕt	1	189	0	9	0	1	0	1800000000
§Þnh Quèc ¤ Sa Ph¸t Qu¸n	1	160	0	0	0	1	0	1800000000
Th¸i Cùc KiÕm Phæ. QuyÓn 2	0	6	1	34	0	1	0	1700000000
Nga Mi  PhËt Quang Ch­ëng MËt TÞch	0	6	1	43	0	1	0	1700000000
Nhu T×nh  TuÖ T©m Ngäc Béi	1	193	0	9	0	1	0	1600000000
Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	0	6	1	38	0	1	0	1600000000
DiÖt KiÕm MËt TÞch	0	6	1	42	0	1	0	1600000000
C¸i Bang C«n ph¸p	0	6	1	55	0	1	0	1500000000
§Þnh Quèc Thanh Sa Tr­êng Sam	1	159	0	0	0	1	0	1500000000
Tô TiÔn thuËt. B¹o Vò Lª Hoa	0	6	1	27	0	1	0	1400000000
Phi §ao thuËt. NhiÕp Hån NguyÖt ¶nh	0	6	1	45	0	1	0	1300000000
HuyÒn Tinh cÊp 8	0	6	1	147	0	8	0	1260400000
Vâ L©m MËt TÞch	0	6	1	26	0	1	0	1200000000
§Þnh Quèc Tö §»ng Hé uyÓn	1	162	0	0	0	1	0	1200000000
Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	0	6	1	37	0	1	0	1100000000
Thóy Yªn §ao ph¸p	0	6	1	40	0	1	0	1000000000
Thóy Yªn Song ®ao	0	6	1	41	0	1	0	1000000000
Phi Tiªu thuËt. Cöu Cung Phi Tinh	0	6	1	46	0	1	0	1000000000
