Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Ng­u B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash01.spr	32	2	1	<color><enter>§ai L­ng - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		25	1	0	30	7	7	31																		36	1										
Lang B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash02.spr	32	2	1	<color><enter>§ai L­ng - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		150	2	0	30	12	12	31																		36	8										
¤ §»ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash03.spr	32	2	1	<color><enter>§ai L­ng - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		400	3	0	30	18	18	31																		36	14										
M·ng B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash04.spr	32	2	1	<color><enter>§ai L­ng - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	4	0	30	24	24	31																		36	20										
Ng¹c B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash05.spr	32	2	1	<color><enter>§ai L­ng - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1500	5	0	30	30	30	31																		36	27										
T­îng B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	<color><enter>§ai L­ng - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2250	6	0	30	36	36	31																		36	33										
Sa B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	<color><enter>§ai L­ng - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2700	7	0	30	42	42	31																		36	40										
Tª Gi¸c Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	<color><enter>§ai L­ng - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3500	8	0	30	48	48	31																		36	47										
Long L©n Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	<color><enter>§ai L­ng - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		4750	9	0	30	54	54	31																		36	54										
Thiªn Tµm Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	<color><enter>§ai L­ng - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		6000	10	0	30	60	60	31																		36	60										
Tinh §ång Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash11.spr	33	2	1	<color><enter>§ai L­ng - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		165	1	0	30	17	17	31																		36	1										
Tİch Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash12.spr	33	2	1	<color><enter>§ai L­ng - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		450	2	0	30	28	28	31																		36	8										
Hoµng §ång Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash13.spr	33	2	1	<color><enter>§ai L­ng - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1200	3	0	30	42	42	31																		36	14										
ThiÕt Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash14.spr	33	2	1	<color><enter>§ai L­ng - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1850	4	0	30	56	56	31																		36	20										
Tinh §ång Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash15.spr	33	2	1	<color><enter>§ai L­ng - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2700	5	0	30	70	70	31																		36	27										
Ng©n Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	<color><enter>§ai L­ng - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3700	6	0	30	84	84	31																		36	33										
MËt Ng©n Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	<color><enter>§ai L­ng - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		4900	7	0	30	98	98	31																		36	40										
Kim Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	<color><enter>§ai L­ng - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		7000	8	0	30	112	112	31																		36	47										
¤ Ng©n Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash19.spr	33	2	1	<color><enter>§ai L­ng - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		8500	9	0	30	126	126	31																		36	54										
B¹ch Kim Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	<color><enter>§ai L­ng - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		10000	10	0	30	140	140	31																		36	60										
