ÈÛÁ¶²ÄÁÏÃû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	ÏêÏ¸Àà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	Æ·ÖÊ	Ä§·¨ÊôĞÔË÷Òı1	¿ÉÈÛÁ¶×°±¸ÀàĞÍ1	¿ÉÈÛÁ¶×°±¸ÀàĞÍ2	¿ÉÈÛÁ¶×°±¸ÀàĞÍ3	¿ÉÈÛÁ¶×°±¸ÀàĞÍ4	¿ÉÈÛÁ¶×°±¸ÀàĞÍ5	¿ÉÈÛÁ¶×°±¸ÀàĞÍ6	ÌáÁ¶ºóÊÇ·ñÓÀ¾Ã°ó¶¨
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 1]	8	1	1	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	1	3147	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 2]	8	1	2	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	2	3148	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 3]	8	1	3	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	3	3149	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 4]	8	1	4	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	4	3150	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 5]	8	1	5	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	5	3151	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 6]	8	1	6	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	6	3152	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 7]	8	1	7	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	7	3153	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 8]	8	1	8	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	8	3154	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 9]	8	1	9	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	9	3155	1	4	8				0
Th­¬ng Long V¨n C­¬ng- Gi¸p [CÊp 10]	8	1	10	\spr\item\fusion\ÁúÎÆ¸Ö.spr	41	1	1	V¨n C­¬ng thİ luyÖn tõ Tinh ThiÕt Kho¸ng cã thÓ gia t¨ng søc m¹nh trang bŞ.	0	0	1	0	10	3156	1	4	8				0
