LEVEL	MAGICPOINT1	PROP1	RESIST1	SKILLLIMIT1	MAGICPOINT2	PROP2	RESIST2	SKILLLIMIT2	MAGICPOINT3	PROP3	RESIST3	SKILLLIMIT3	MAGICPOINT4	PROP4	RESIST4	SKILLLIMIT4	MAGICPOINT5	PROP5	RESIST5	SKILLLIMIT5	MAGICPOINT6	PROP6	RESIST6	SKILLLIMIT6	MAGICPOINT7	PROP7	RESIST7	SKILLLIMIT7
160	0	50	5	1																								
161	0	50	5	1																								
162	0	50	5	1																								
163	0	50	5	1																								
164	0	50	5	1																								
165	0	50	5	1																								
166	0	50	5	1																								
167	0	50	5	1																								
168	0	50	5	1																								
169	0	50	5	1																								
170	0	50	5	1	0	50	1	1																				
171	0	50	5	1	0	50	1	1																				
172	0	50	5	1	0	50	1	1																				
173	0	50	5	1	0	50	1	1																				
174	0	50	5	1	0	50	1	1																				
175	0	50	5	1	0	50	1	1																				
176	0	50	5	1	0	50	1	1																				
177	0	50	5	1	0	50	1	1																				
178	0	50	5	1	0	50	1	1																				
179	0	50	5	1	0	50	1	1																				
180	0	50	5	1	0	50	1	1	0	50	1	1																
181	0	50	5	1	0	50	1	1	0	50	1	1																
182	0	50	5	1	0	50	1	1	0	50	1	1																
183	0	50	5	1	0	50	1	1	0	50	1	1																
184	0	50	5	1	0	50	1	1	0	50	1	1																
185	0	50	5	1	0	50	1	1	0	50	1	1																
186	0	50	5	1	0	50	1	1	0	50	1	1																
187	0	50	5	1	0	50	1	1	0	50	1	1																
188	0	50	5	1	0	50	1	1	0	50	1	1																
189	0	50	5	1	0	50	1	1	0	50	1	1																
190	0	50	5	1	0	50	1	1	0	50	1	1																
191	0	50	5	1	0	50	1	1	0	50	1	1																
192	0	50	5	1	0	50	1	1	0	50	1	1																
193	0	50	5	1	0	50	1	1	0	50	1	1																
194	0	50	5	1	0	50	1	1	0	50	1	1																
195	0	50	5	1	0	50	1	1	0	50	1	1																
196	0	50	5	1	0	50	1	1	0	50	1	1																
197	0	50	5	1	0	50	1	1	0	50	1	1																
198	0	50	5	1	0	50	1	1	0	50	1	1																
199	0	50	5	1	0	50	1	1	0	50	1	1																
200	0	50	5	1	0	50	1	1	0	50	1	1	0	50	2	1	0	50	1	1	0	50	1	1	0	50	1	1
