MAPPATTERN_ID	BATTLE_MAP_ID	RULE_1	RULE_2	RULE_3	RULE_4	RULE_5	RULE_6	RULE_7	RULE_8	RULE_9	RULE_10
1	1	6	6	6	6	6	6	6	6	6	6
2	1	6	6	6	6	6	6	6	6	6	6
3	1	6	6	6	6	6	6	6	6	6	6
4	1	6	6	6	6	6	6	6	6	6	6
5	1	6	6	6	6	6	6	6	6	6	6
6	1	6	6	6	6	6	6	6	6	6	6
7	1	6	6	6	6	6	6	6	6	6	6
8	1	6	6	6	6	6	6	6	6	6	6
9	1	6	6	6	6	6	6	6	6	6	6
10	1	6	6	6	6	6	6	6	6	6	6
11	1	6	6	6	6	6	6	6	6	6	6
12	1	6	6	6	6	6	6	6	6	6	6
13	1	6	6	6	6	6	6	6	6	6	6
14	1	6	6	6	6	6	6	6	6	6	6
15	1	6	6	6	6	6	6	6	6	6	6
16	1	6	6	6	6	6	6	6	6	6	6
17	1	6	6	6	6	6	6	6	6	6	6
18	1	6	6	6	6	6	6	6	6	6	6
19	1	6	6	6	6	6	6	6	6	6	6
20	1	6	6	6	6	6	6	6	6	6	6
21	1	6	6	6	6	6	6	6	6	6	6
22	1	6	6	6	6	6	6	6	6	6	6
23	1	6	6	6	6	6	6	6	6	6	6
24	1	6	6	6	6	6	6	6	6	6	6
