MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
1			1	1	1	1	1	1		1							凤翔
2			3	3	5	5	5	5		5							华山
3			3	3	5	5	5	5		5							剑阁西北
4			3	3	5	5	5	5		5							金光洞迷宫
5			3	3	5	5	5	5		5							经皇洞迷宫
6			3	3	5	5	5	5		5							锁云洞迷宫
7			3	3	5	5	5	5		5							秦陵
8			3	3	5	5	5	5		5							秦始皇陵地下
9			1	1	1	1	1	1		1							长江源头
10			1	1	1	1	1	1		1							雁石洞迷宫
11			1	1	1	1	1	1		1							成都
12			1	1	1	1	1	1		1							信相寺后院地道迷宫
13			1	1	1	1	1	1		1							峨嵋派
14			1	1	1	1	1	1		1							猛虎洞穴迷宫
15			1	1	1	1	1	1		1							讲经堂
16			1	1	1	1	1	1		1							前殿
17			1	1	1	1	1	1		1							正殿
18			1	1	1	1	1	1		1							左偏殿
19			1	1	1	1	1	1		1							剑阁西南
20			1	1	1	1	1	1		1							江津村
21			1	1	1	1	1	1		1							青城山
22			1	1	1	1	1	1		1							白云洞迷宫
23			1	1	1	1	1	1		1							神仙洞迷宫
24			1	1	1	1	1	1		1							响水洞迷宫
25			1	1	1	1	1	1		1							唐门
26			1	1	1	1	1	1		1							竹丝洞一层
27			1	1	1	1	1	1		1							竹丝洞二层
28			1	1	1	1	1	1		1							竹丝洞三层
29			1	1	1	1	1	1		1							暗器房
30			1	1	1	1	1	1		1							火器房
31			1	1	1	1	1	1		1							武功房
32			1	1	1	1	1	1		1							医药房
33			1	1	1	1	1	1		1							会客大厅
34			1	1	1	1	1	1		1							议事大厅
35			1	1	1	1	1	1		1							正房
36			1	1	1	1	1	1		1							祭祖厅
37			1	1	1	1	1	1		1							汴京
38			3	3	4	6	6	6		6							铁塔迷宫第一层
39			3	3	4	6	6	6		6							铁塔迷宫第二层
40			3	3	4	6	6	6		6							铁塔迷宫第三层
41			2	2	3	3	3	3		3							伏牛山西
42			2	2	3	3	3	3		3							天心洞迷宫
43			2	2	3	3	3	3		3							剑阁中原
44			2	4	1	1	7	7		7							宋金战场
45			3	3	2	6	6	6		6							天忍教室外
46			3	3	2	6	6	6		6							天忍教室内第一层
47			3	3	2	6	6	6		6							天忍教室内第二层左室
48			3	3	2	6	6	6		6							天忍教室内第二层右室
49			3	3	2	6	6	6		6							天忍教室内第三层
50			3	3	2	6	6	6		6							七杀洞迷宫
51			3	3	2	6	6	6		6							天忍教圣洞第一层
52			3	3	2	6	6	6		6							天忍教圣洞第二层
53			1	1	1	1	1	1		1							巴陵县
54			2	4	1	1	7	7		7							南岳镇
55			2	4	1	1	7	7		7							桃花源
56			2	4	1	1	7	7		7							衡山派
57			1,2,3	1,2,3,4	1,2,3,4,5	1,2,3,4,5,6	1,2,3,4,5,6,7	1,2,3,4,5,6,7,8		1,2,3,4,5,6,7,8							衡山大厅
58			2	4	1	1	7	7		7							独孤剑卧室
59			2	4	1	1	7	7		7							天王帮
60			2	4	1	1	7	7		7							前殿
61			2	4	1	1	7	7		7							天王大殿
62			2	4	1	1	7	7		7							寝宫
63			2	4	1	1	7	7		7							帮众家1
64			2	4	1	1	7	7		7							帮众家2
65			2	4	1	1	7	7		7							天王岛山洞
66			2	4	1	1	7	7		7							洞庭湖底山洞第一层
67			2	4	1	1	7	7		7							洞庭湖底山洞第二层
68			2	4	1	1	7	7		7							青螺岛
69			2	4	1	1	7	7		7							青螺岛山洞
70			3	3	5	5	5	5		5							武陵山
71			3	3	5	5	5	5		5							白水洞迷宫
72			3	3	5	5	5	5		5							大酋洞迷宫
73			3	3	5	5	5	5		5							伏流洞迷宫
74			3	3	5	5	5	5		5							苗岭
75			3	3	5	5	5	5		5							蚩尤洞迷宫
76			3	3	5	5	5	5		5							山宝洞迷宫
