等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验	6转附加经验	7转附加经验
1	20								
2	100								
3	200								
4	300								
5	400								
6	500								
7	600								
8	700								
9	800								
10	1000								
11	2000								
12	3000								
13	4000								
14	5000								
15	6000								
16	7000								
17	8000								
18	9000								
19	10000								
20	12000								
21	13000								
22	14000								
23	15000								
24	16000								
25	17000								
26	18000								
27	19000								
28	20000								
29	30000								
30	40000								
31	44000								
32	48000								
33	52000								
34	56000								
35	60000								
36	64000								
37	68000								
38	72000								
39	76000								
40	80000								
41	84000								
42	88000								
43	92000								
44	96000								
45	100000								
46	104000								
47	108000								
48	112000								
49	116000								
50	120000								
51	140000								
52	160000								
53	180000								
54	200000								
55	240000								
56	280000								
57	320000								
58	360000								
59	400000								
60	440000								
61	480000								
62	520000								
63	560000								
64	600000								
65	640000								
66	680000								
67	720000								
68	760000								
69	800000								
70	1000000								
71	1200000								
72	1400000								
73	1600000								
74	1800000								
75	2000000								
76	2400000								
77	2800000								
78	3200000								
79	3600000								
80	4000000								
81	6000000								
82	8000000								
83	10000000								
84	12000000								
85	14000000								
86	16000000								
87	18000000								
88	20000000								
89	22000000								
90	24000000								
91	26000000								
92	28000000								
93	30000000								
94	32000000								
95	34000000								
96	36000000								
97	38000000								
98	40000000								
99	50000000								
100	60000000								
101	70000000								15000
102	80000000								15000
103	90000000								15000
104	100000000								15000
105	110000000								15000
106	120000000								15000
107	130000000								15000
108	140000000								15000
109	150000000								15000
110	160000000								15000
111	170000000								34000
112	180000000								34000
113	190000000								34000
114	200000000								34000
115	220000000								34000
116	240000000								34000
117	260000000								34000
118	280000000								34000
119	300000000								34000
120	320000000								34000
121	340000000								50000
122	360000000								50000
123	380000000								50000
124	400000000								50000
125	600000000								50000
126	600000000								68000
127	600000000								68000
128	600000000								68000
129	600000000								68000
130	600000000								68000
131	600000000								224000
132	600000000								224000
133	600000000								224000
134	600000000								224000
135	600000000								220000
136	600000000								280000
137	600000000								280000
138	600000000								280000
139	600000000								280000
140	800000000								270000
141	800000000								395000
142	800000000								395000
143	800000000								395000
144	800000000								395000
145	800000000								375000
146	800000000								625000
147	800000000								625000
148	800000000								625000
149	800000000								625000
150	1000000000								595000
151	1100000000								945000
152	1200000000								945000
153	1300000000								945000
154	1400000000								945000
155	1500000000								905000
156	1600000000								1355000
157	1700000000								1355000
158	1800000000								1355000
159	1900000000								1355000
160	2000000000								1295000
161	2000000000	10000							1940000
162	2000000000	20000							1940000
163	2000000000	30000							1940000
164	2000000000	40000							1940000
165	2000000000	50000							1940000
166	2000000000	60000							2980000
167	2000000000	70000							2980000
168	2000000000	80000							2980000
169	2000000000	90000							3980000
170	2000000000	100000							3980000
171	2000000000	110000							4980000
172	2000000000	120000							4980000
173	2000000000	130000							4980000
174	2000000000	140000							4980000
175	2000000000	150000							4980000
176	2000000000	160000							6200000
177	2000000000	170000							6200000
178	2000000000	180000							6200000
179	2000000000	190000							6200000
180	2000000000	200000							6200000
181	2000000000	210000							8200000
182	2000000000	220000							8200000
183	2000000000	230000							8200000
184	2000000000	240000							8200000
185	2000000000	250000							8200000
186	2000000000	260000							10200000
187	2000000000	270000							10200000
188	2000000000	280000							10200000
189	2000000000	290000							10200000
190	2000000000	300000							10200000
191	2000000000	310000							19800000
192	2000000000	320000							19800000
193	2000000000	330000							19800000
194	2000000000	340000							19800000
195	2000000000	350000							19800000
196	2000000000	360000							39800000
197	2000000000	370000							39800000
198	2000000000	380000							39800000
199	2000000000	400000							39800000
200	2000000000	400000							39800000
