Status	文件名	类型	播放方式	主角身后开始帧	主角身后结束帧	动画总帧数	动画总方向数	动画帧间隔	图分几瓣	说明：图只能分1、2、3瓣
Status1	Special	Head	Loop			8	1	50	1	Cho竛g
Status2	Special	Foot	Loop			8	1	50	1	Tr髇g c
Status3	Special	Body	Loop	0	29	8	1	50	1	ng b╪g 
Status4	Special	Body	Loop	10	20	8	1	50	1	t 
Status5	Special	Body				8	1	50	1	h鏽 lo筺
Status6	\spr\skill\五毒教\wdu_06_无形蛊.spr	Foot	Loop	0	0	30	1	18	1	V?H譶h чc
Status7	\spr\skill\五毒教\wdu_07_毒盾.spr	Body	Loop	0	15	20	1	12	1	чc thu蒼
Status8	\spr\skill\五毒教\wdu_08_冰蓝玄晶.spr	Head	Loop	0	0	30	1	18	1	B╪g Lam Huy襫 Tinh
Status9	\spr\skill\五毒教\wdu_09_雷动九天.spr	Head	Loop	0	0	30	1	18	1	L玦 ng C鰑 Thi猲 
Status10	\spr\skill\五毒教\wdu_10_赤焰蚀天.spr	Head	Loop	0	0	30	1	18	1	X輈h Di謒 Th鵦 Thi猲
Status11	\spr\skill\五毒教\wdu_11_万蛊蚀心.spr	Head	Loop	0	0	30	1	18	1	V筺 чc Th鵦 T﹎
Status12	\spr\skill\五毒教\wdu_12_移花接玉.spr	Head	Loop	0	0	20	1	12	1	Di Hoa Ti誴 Ng鋍
Status13	\spr\skill\昆仑\kl_06_大浪蚀空.spr	Body	Loop	5	15	20	1	12	1	Чi L穘g Th鵦 Kh玭g
Status14	\spr\skill\昆仑\kl_07_引雷遁地.spr	Body	Loop	7	22	30	1	18	1	D蒼 L玦 чn мa
Status15	\spr\skill\昆仑\kl_08_烈火红尘.spr	Body	Loop	7	22	30	1	18	1	Li謙 H醓 H錸g Tr莕
Status16	\spr\skill\昆仑\kl_09_木珠兵解.spr	Body	Loop	40	40	40	1	16	1	M閏 Ch﹗ Binh Gi秈
Status17	\spr\skill\昆仑\kl_10_滑不留手.spr	Body	Loop	4	12	15	1	12	1	Ho箃 B蕋 L璾 Th?
Status18	\spr\skill\武当\wd_08_人剑合一.spr	Body	Loop	7	22	30	1	18	1	Nh﹏ Ki誱 H頿 Nh蕋  
Status19	\spr\skill\武当\wd_06_坐忘无我.spr	Head	Loop	0	0	36	1	21	1	T鋋 V鋘g V?Ng?
Status20	\spr\skill\武当\wd_07_七星阵.spr	Foot	Loop	0	0	30	1	24	1	Th蕋 Tinh Tr薾
Status21	\spr\skill\天忍\mag_tr_06_火盾.spr	Body	Loop	4	12	15	1	18	1	H醓 Thu蒼
Status22	\spr\skill\天忍\mag_tr_07_偷天换日.spr	Head	Loop	0	0	15	1	3	1	Th﹗ Thi猲 Ho竛 Nh藅
Status23	\spr\skill\天忍\mag_tr_08_吸星大法.spr	Head	Loop	0	0	15	1	3	1	H蕄 Tinh Чi Ph竝
Status24	\spr\skill\天忍\mag_tr_09_借力打力.spr	Head	Loop	0	0	15	1	3	1	T?L鵦 Ф L鵦
Status25	\spr\skill\天忍\mag_tr_10_蚀骨血仞.spr	Head	Loop	0	0	15	1	30	1	Th鵦 C鑤 Huy誸 Nh蒼 
Status26	\spr\skill\天忍\mag_tr_11_幻影飞狐.spr	Head	Loop	0	0	15	1	12	1	秓 秐h Phi H?
Status27	\spr\skill\天忍\mag_tr_12_飞鸿无迹.spr	Head	Loop	0	0	15	1	12	1	Phi H錸g V?T輈h
Status28	\spr\skill\天忍\mag_tr_13_厉魔夺魂.spr	Head	Loop	0	0	15	1	12	1	L辌h Ma 箃 H錸
Status29	\spr\skill\天忍\mag_tr_14_五行阵.spr	Foot	Loop	0	0	15	1	18	1	Ng?h祅h tr薾
Status30	\spr\skill\天忍\mag_tr_15_天魔解体.spr	Head	Loop	0	0	15	1	15	1	Thi猲 Ma Gi秈 Th?
Status31	\spr\skill\翠烟\mag_cy_06_雪盾.spr	Body	Loop	4	12	16	1	18	1	Tuy誸 Thu蒼
Status32	\spr\skill\翠烟\mag_cy_07_冰盾.spr	Body	Loop	4	12	16	1	18	1	B╪g Thu蒼
Status33	\spr\skill\翠烟\mag_cy_09_雪影.spr	Body	Loop	16	16	16	1	15	1	Tuy誸 秐h
Status34	\spr\skill\翠烟\mag_cy_12_摄心术.spr	Head	Loop	0	0	18	1	6	1	Nhi誴 T﹎ Thu藅
Status35	\spr\skill\唐门\tm_01_毒附加.spr	Head	Loop	0	0	30	1	18	1	T╪g c
Status36	\spr\skill\唐门\tm_02_冰附加.spr	Head	Loop	0	0	30	1	18	1	T╪g b╪g
Status37	\spr\skill\峨嵋\mag_em_06_秋风叶.spr	Foot	Loop	0	0	16	1	16	1	Thu Phong Di謕
Status38	\spr\skill\峨嵋\mag_em_07_醉仙望月.spr	Foot	Loop	0	0	16	1	16	1	T髖 Ti猲 V鋘g Nguy謙
Status39	\spr\skill\峨嵋\mag_em_08_流水.spr	Foot	Loop	0	0	16	1	16	1	L璾 Th駓 
Status40	\spr\skill\峨嵋\mag_em_09_梦蝶.spr	Foot	Loop	0	0	16	1	16	1	M閚g 謕 
Status41	\spr\skill\峨嵋\mag_em_10_佛心慈佑.spr	Foot	Loop	0	0	15	1	15	1	Ph藅 T﹎ T?H鱱
Status42	\spr\skill\峨嵋\mag_em_11_风雨飘香.spr	Head	Loop	0	0	4	1	6	1	Phong V?Phi猽 Hng
Status43	\spr\skill\丐帮\mag_gb_11_醉蝶狂舞.spr	Body	Loop	4	12	16	1	19	1	T髖 謕 Cu錸g V?
Status44	\spr\skill\丐帮\mag_gb_12_打狗阵.spr	Foot	Loop	0	0	8	1	19	1	Ф C萿 b鎛g
Status45	\spr\skill\少林\sl_07_罗汉阵.spr	Foot	Loop	0	0	10	1	8	1	La H竛 Tr薾
Status46	\spr\skill\天王\tw_01_火眼金睛.spr	Head	Loop	0	0	10	1	16	1	H醓 Nh穘 Kim T譶h
Status47	\spr\skill\天王\tw_02_天王战意.spr	Body	Loop	20	20	20	1	40	1	Thi猲 Vng Chi課 ?
