ROUTE_ID	NODE_0	NODE_1	NODE_2	NODE_3	NODE_4	NODE_5	NODE_6	NODE_7	NODE_8	NODE_9	DESCRIPTION
0	37,1648,3024,1648,3024	38,1712,3120,1592,3216	39,1680,3008,1664,3120	40,1672,3120,1672,3120							<汴京,铁塔迷宫一层,铁塔迷宫二层,铁塔迷宫三层>
1	37,1120,3232,1120,3232	41,1952,2960,2096,2800	42,1640,3104,1672,2880	43,1672,2688,1688,3184	6,1656,3184,1472,3120	5,1840,3456,1840,3456					<汴京,伏牛山西,天心洞,剑阁中原,锁云洞,经皇洞>
2	37,2088,2464,2088,2464	319,2040,3296,1592,3616	320,1384,2208,1104,3184	322,1560,3120,1560,3120							<汴京,临渝关,长白山,长白山北麓>
3	37,2088,2464,2088,2464	319,2040,3296,1592,3616	320,1392,3184,1104,3184	321,952,2272,952,2272							<汴京,临渝关,长白山,长白山南麓>
4	176,1744,3488,1744,3488	179,1760,2928,1760,2960	180,1616,3200,1568,2976	196,1496,3152,1496,3152							<临安,罗霄山,龙宫洞,羊角洞>
5	176,1744,3488,1744,3488	179,1760,2928,1760,2960	180,1752,2928,1568,2976	195,1640,3280,1640,3072							<临安,罗霄山,龙宫洞,雁荡山>
6	176,1744,3488,1744,3488	179,1840,3248,1760,2528	182,2000,3584,2000,3584								<临安,罗霄山,孽龙洞>
7	176,1744,3488,1744,3488	179,1680,2944,1760,2528	181,1616,2880,1616,2880								<临安,罗霄山,两水洞>
8	78,1648,3184,1648,3184	79,1584,3216,1584,3216									<襄阳,襄阳衙门密道>
9	78,1648,2976,1648,2976	90,1784,3520,1656,3296	91,1808,2800,1808,2800								<襄阳,伏牛山东,鸡冠洞>
10	1,1928,3232,1928,3232	7,2440,2608,2224,2848	8,1672,3216,1608,3488	206,1800,3257,1584,3200	207,1600,3200,1600,3200						<凤翔,秦始皇陵,皇陵地下迷宫一层,皇陵地下迷宫二层,皇陵地下迷宫三层>
