Type	Chat
fighting	Ngon nhµo v«!
fighting	§­êng nµy do ta më!
fighting	Mau ®ãng tiÒn b¶o kª!
fighting	Cho xin tİ b¸nh m×!
fighting	A th»ng nµy l¸o!
fighting	Th»ng nµo d¸m ®¸nh tao!
fighting	§øa nµo c¾n lĞn «ng!
fighting	Nguy hiÓm! Ch¹y lÑ!
fighting	Mµy h¶ nhãc!
fighting	§øa nµo d¸m qua ®©y kiÕm ¨n!
fighting	Anh em ®©u x«ng lªn !
fighting	Hèt nã!
fighting	Trªn ®êi nµy kh«ng cã thuèc hèi hËn!
fighting	Qu¸nh chÕt cô mµi
fighting	Cmm
fighting	§İt t nÌ, c¾n ®i
fighting	Anh ¬i, nã qu¸nh em
fighting	Móc!
fighting	Th»ng nµy l¸o
fighting	ChÕt mµi víi anh
fighting	CóT
fighting	Kh«ng cÇn nãi nhiÒu!
fighting	D¸m mãc lèp tau h¶
fighting	Tau thİch, mµi lµm g× tau?
fighting	Ngon th× kĞo c¶ bang mµi ®Õn ®©y
fighting	Mµi th¾ng ®­îc anh sao?
fighting	İ da! Sî qu¸ c¬!
fighting	Tr©u vl
fighting	HÊp nã
fighting	§¹i ca, tha em
fighting	Tha m¹ng
fighting	Ch¾c tau sî
fighting	Bè chÊp c¶ hä nhµ mµi
fighting	D¸m giµnh g¸i víi bè
fighting	ChÕt nÌ
fighting	Xem chiªu!
fighting	BiÕt bè mµi lµ ai kh«ng
fighting	Xuèng ®Şa ngôc ®i
fighting	Nµy thi c¾n
fighting	Bá tËt nghe ch­a
fighting	Thİch th× cø nhİch
fighting	Thİch th× chiÒu
fighting	KS = ®å cmn s¸t
fighting	Th»ng nµy l¸o
fighting	Ngu mµ cßn nguy hiÓm
fighting	Qu¸nh tao h¶ m¹i
fighting	Bít nghe ch­a
fighting	L¸o nha l¸o nh¸o
fighting	Nhí mÆt tao nghe ch­a
fighting	Lµm g× nhau?
fighting	ThiÕn nã!
fighting	§­êng nµy lµ do ta më
fighting	Mét lêi kh«ng hîp, khai lµm
fighting	Bµy ®Æt nµy nä
fighting	Sèng cho tö tÕ vµo
fighting	M×nh anh chÊp hÕt
fighting	Gµ!
fighting	§Ëp vµo mÆt
fighting	§õng cã chäc tao
fighting	§Şnh mÖnh
fighting	§å s¸t!
fighting	Coi chõng tao µ
fighting	§õng Ğp ta
fighting	§õng cã giìn mÆt
fighting	YÕu mµ cßn ra giã
fighting	Ta kh«ng vµo ®Şa ngôc, ai d¸m vµo?
fighting	Anh mµi thİch
fighting	Råi sao?
fighting	Nµy th× qu¸nh em tao
fighting	§õng nãi n÷a
fighting	ChÊp 10 th»ng nh­ mµi
fighting	SÏ dïng m¹ng cña m×nh ®æi m¹ng cña h¾n
fighting	§¸nh phñ ®Çu, kh«ng cho ®Şch kŞp ph¶n øng
fighting	ThËp tö v« sinh
fighting	Cßn kĞm rÊt xa
fighting	Ng­¬i lµ rôt ®Çu « quy
fighting	Ch­a hÒ thua ai
fighting	Kh«ng d¸m lã ®Çu
fighting	ThËt béi phôc
fighting	§Õn! TiÕp tôc!
fighting	Kh«ng d¸m lªn tiÕng?
fighting	Qu¸ mÑ nã quû dŞ
fighting	Ra luyÖn 1 chót a
fighting	Ngu xuÈn
fighting	Kim c­¬ng bÊt ho¹i
fighting	Cµng ®¸nh cµng thuËn tay
fighting	Kh«ng chØ mét lÇn ¨n thiÖt thßi
fighting	Kh«ng thÓ chèng l¹i
fighting	Kh«ng cã chót nµo ®au ®ín
fighting	Ai chŞu, ai khã chŞu?
fighting	§¹o h÷u, n¾m ®Êm cña ta cøng h¬n
fighting	VÉn lµ kh«ng ng¨n ®­îc b­íc tiÕn cña h¾n
