ActivityId	ActivityName	CountTask	MaxCount	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	Param9	Param10	WeekResetFlag
1	BOSS	2862	1	5	0	0	0	0	0	0	0	0	0	0
2	ThuyÒn Phong L¨ng §é	2863	2	5	5	0	0	0	0	0	0	0	0	0
3	Thêi gian khiªu chiÕn	2864	2	5	5	0	0	0	0	0	0	0	0	0
4	Tèng Kim	2865	1	3	0	0	0	0	0	0	0	0	0	0
5	B¶o tµng Viªm §Õ	2866	2	5	5	0	0	0	0	0	0	0	0	0
6	C«ng Thµnh	2867	1	10	0	0	0	0	0	0	0	0	0	1
7	Vâ l©m liªn ®Êu	2868	3	10	5	2	0	0	0	0	0	0	0	0
8	Huy Hoµng Chi Qu¶	2869	1	5	0	0	0	0	0	0	0	0	0	0
9	§è ®Ìn Hoa S¬n	3167	2	2	1	0	0	0	0	0	0	0	0	0
10	NhiÖm vô TÝn Sø 	2870	2	5	2	0	0	0	0	0	0	0	0	0
11	NhiÖm vô S¸t thñ 	2871	2	3	3	0	0	0	0	0	0	0	0	0
12	NhiÖm vô D· TÈu	3168	5	1	1	1	1	1	0	0	0	0	0	0
13	Phong Háa Liªn Thµnh	2872	1	5	0	0	0	0	0	0	0	0	0	0
14	Thiªn Tö Quèc ChiÕn	2873	1	6	0	0	0	0	0	0	0	0	0	1
15	NhiÖm vô Danh Nh©n §­êng	2874	1	5	0	0	0	0	0	0	0	0	0	0
16	Thu nhÆt thuèc hîp thµnh	2875	2	5	2	0	0	0	0	0	0	0	0	0
17	Thiªn Tr× MËt C¶nh	2876	2	1	1	0	0	0	0	0	0	0	0	0
18	Ngò Th¸i KÕt Tinh	2877	2	1	1	0	0	0	0	0	0	0	0	0
19	Ho¹t ®éng hµng th¸ng	2878	5	5	4	3	2	1	0	0	0	0	0	0
20	NhiÖm vô hµng ngµy	2879	5	5	2	0	0	0	0	0	0	0	0	0
21	Online nhËn hµnh hiÖp lÖnh	2822	1	5	0	0	0	0	0	0	0	0	0	0
22	Méc Nh©n	3169	2	1	1	0	0	0	0	0	0	0	0	0
23	NhiÖm vô Long m¹ch	2883	1	5	0	0	0	0	0	0	0	0	0	0
24	KiÕm Gia Mª Cung.	3158	2	3	3	0	0	0	0	0	0	0	0	0
25	Lo¹n ChiÕn Cöu Ch©u Cèc	3156	3	5	2	1	0	0	0	0	0	0	0	0
26	Hoµng Thµnh T­ huÊn luyÖn cung	3160	2	5	2	0	0	0	0	0	0	0	0	0
27	ThÝ LuyÖn §­êng	3151	2	1	1	0	0	0	0	0	0	0	0	0
28	Hµnh HiÖp Kú	3152	1	5	0	0	0	0	0	0	0	0	0	0
29	Phó quý cÈm h¹p	3153	1	5	0	0	0	0	0	0	0	0	0	0
30	Vi s¬n ®¶o	3155	1	1	0	0	0	0	0	0	0	0	0	0
31	§¨ng nhËp cã quµ	4113	1	5	0	0	0	0	0	0	0	0	0	0
32	Long M«n Tiªu Côc	4114	3	5	5	5	0	0	0	0	0	0	0	0
33	ChiÕn Long §éng Qña Hoµng Kim	4115	1	5	0	0	0	0	0	0	0	0	0	0
34	Thµnh B¶o Bang Héi	4116	1	8	0	0	0	0	0	0	0	0	0	1
35	Vâ L©m Minh Chñ	4117	1	3	0	0	0	0	0	0	0	0	0	0
36	ChiÕn Phï Ly	4118	1	7	0	0	0	0	0	0	0	0	0	0
37	Th¨m may m¾n	4119	1	5	0	0	0	0	0	0	0	0	0	0
38	C©y Thiªn Léc	4120	1	5	0	0	0	0	0	0	0	0	0	0
39	T­ Qu¸ Nhai	4121	1	3	0	0	0	0	0	0	0	0	0	0
40	NhiÖm vô B¾c §Èu L·o Nh©n	4122	3	2	2	2	0	0	0	0	0	0	0	0
41	HuyÕt ChiÕn Th­¬ng Lang	4171	1	10	0	0	0	0	0	0	0	0	0	0
