Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Sa Di phôc	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	50	50	31																		36	1							38	0		
T¨ng y	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	2	0	30	100	100	31																		36	7							38	0		
B¸ch N¹p y	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		400	3	0	30	150	150	31																		36	13							38	0		
An ®µ héi	0	2	0	\spr\item\equip\armor\obj-ma-cloth01-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	4	0	30	200	200	31																		36	19							38	0		
UÊt §a La T¨ng	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1000	5	0	30	250	250	31																		36	26							38	0		
T¨ng Hµi 	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1500	6	0	30	300	300	31																		36	33							38	0		
NguyÖn B¹ch Cµ Sa 	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2000	7	0	30	250	250	31																		36	40							38	0		
Minh TÜnh Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	<color><enter>¸o Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	8	0	30	400	400	31																		36	46							38	0		
Kim L« Cµ Sa 	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	<color><enter>¸o Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3750	9	0	30	450	450	31																		36	53							38	0		
ThÊt B¶o Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	<color><enter>¸o Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5000	10	0	30	500	500	31																		36	60							38	0		
