DES_GOLDNAME	DES_GENRE	DES_DETAILTYPE	MAR_FIRST_DETAIL	MAR_COUNT	DES_BADVALUES	DES_STANDARDVALUES
Méng Long ChÝnh Hång T¨ng M·o	0	1	998	6	3000000000	5000000000
Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	789	6	3000000000	5000000000
Méng Long HuyÒn Ti Ph¸t ®¸i	0	3	1122	6	3000000000	5000000000
Phôc Ma Tö Kim C«n	0	6	576	9	3000000000	5000000000
Phôc Ma ¤ Kim NhuyÔn §iÒu	0	8	1128	6	3000000000	5000000000
Phôc Ma Phæ §é T¨ng hµi	0	10	1019	6	3000000000	5000000000
Tø Kh«ng Gi¸ng Ma Giíi ®ao	0	11	585	9	3000000000	5000000000
Tø Kh«ng Hé ph¸p Yªu ®¸i	0	13	1134	6	3000000000	5000000000
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	14	1025	6	3000000000	5000000000
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	16	594	9	3000000000	5000000000
H¸m Thiªn Uy Vò Thóc yªu ®¸i	0	18	1140	6	3000000000	5000000000
H¸m Thiªn Thõa Long ChiÕn Ngoa	0	20	1031	6	3000000000	5000000000
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	0	21	603	9	3000000000	5000000000
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	22	795	6	3000000000	5000000000
KÕ NghiÖp B¹ch Hæ V« Song khÊu	0	23	1146	6	3000000000	5000000000
Ngù Long L­îng Ng©n B¶o ®ao	0	26	612	9	3000000000	5000000000
Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	0	27	1037	6	3000000000	5000000000
Ngù Long Thiªn M«n Thóc Yªu hoµn	0	28	1152	6	3000000000	5000000000
V« Gian û Thiªn KiÕm	0	31	621	9	3000000000	5000000000
V« Gian PhÊt V©n Ti ®¸i	0	33	1158	6	3000000000	5000000000
V« Gian CÇm VËn Hé UyÓn	0	34	1043	6	3000000000	5000000000
V« Ma Ma Ni qu¸n	0	36	1164	6	3000000000	5000000000
V« Ma TÈy T­îng Ngäc KhÊu 	0	39	801	6	3000000000	5000000000
V« Ma Hång Truy NhuyÔn Th¸p hµi	0	40	807	6	3000000000	5000000000
V« TrÇn Ngäc N÷ Tè T©m qu¸n	0	41	1170	6	3000000000	5000000000
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	42	813	6	3000000000	5000000000
V« TrÇn PhËt Quang ChØ Hoµn	0	45	1049	6	3000000000	5000000000
Tª Hoµng Phông Nghi ®ao	0	46	630	9	3000000000	5000000000
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	48	1176	6	3000000000	5000000000
Tª Hoµng B¨ng Tung CÈm uyÓn	0	49	1055	6	3000000000	5000000000
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	0	51	639	9	3000000000	5000000000
BÝch H¶i Hång Linh Kim Ti ®¸i	0	53	1182	6	3000000000	5000000000
BÝch H¶i Hång L¨ng Ba	0	54	819	6	3000000000	5000000000
U Lung Kim Xµ Ph¸t ®¸i	0	56	825	6	3000000000	5000000000
U Lung Thanh Ng« TriÒn yªu	0	58	1188	6	3000000000	5000000000
U Lung MÆc Thï NhuyÔn Lý 	0	60	831	6	3000000000	5000000000
Minh ¶o Tµ S¸t §éc NhËn	0	61	648	9	3000000000	5000000000
Minh ¶o U §éc ¸m Y	0	62	1061	6	3000000000	5000000000
Minh ¶o Hñ Cèt Hé uyÓn	0	64	1194	6	3000000000	5000000000
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	66	1067	6	3000000000	5000000000
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	67	837	6	3000000000	5000000000
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	69	1200	6	3000000000	5000000000
B¨ng Hµn §¬n ChØ Phi §ao	0	71	980	9	3000000000	5000000000
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	72	1073	6	3000000000	5000000000
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	73	1206	6	3000000000	5000000000
