Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Kim TiÒn tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		10	1	1	28	4	4	29	9	9	167	0	0	31												36	0										
ThiÕu L©m T¸o Nh©n Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		15	2	1	28	7	7	29	18	18	167	0	0	31												36	9										
YÕn tö Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		20	3	1	28	12	12	29	28	28	167	0	0	31												36	18										
ThËp tù tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		30	4	1	28	15	15	29	36	36	167	0	0	31												36	27										
LiÔu DiÖp tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		40	5	1	28	19	19	29	44	44	167	0	0	31												36	36										
Phi Hoµng Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	6	1	28	23	23	29	54	54	167	0	0	31												36	45										
ThiÕu L©m L­îng Ng©n Phi Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		70	7	1	28	27	27	29	63	63	167	0	0	31												36	54										
Hå §iÖp Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		90	8	1	28	31	31	29	72	72	167	0	0	31												36	63										
Kim Tiªu 	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		125	9	1	28	34	34	29	81	81	167	0	0	31												36	72										
B¸ V­¬ngTiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	<color><enter>Phi Tiªu - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		165	10	1	28	38	38	29	89	89	167	0	0	31												36	81										
Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	<color><enter>Phi §ao - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		10	1	1	28	6	6	29	11	11	167	-20	-20	31												36	0										
Cang Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	<color><enter>Phi §ao - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		15	2	1	28	9	9	29	20	20	167	-20	-20	31												36	9										
LiÔu DiÖp §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	<color><enter>Phi §ao - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		20	3	1	28	14	14	29	30	30	167	-20	-20	31												36	18										
Nh¹n VÜ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	<color><enter>Phi §ao - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		30	4	1	28	17	17	29	38	38	167	-20	-20	31												36	27										
§¸i Y §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart11.spr	15	1	1	<color><enter>Phi §ao - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		40	5	1	28	21	21	29	46	46	167	-20	-20	31												36	36										
§µo Hoa §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	<color><enter>Phi §ao - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	6	1	28	25	25	29	56	56	167	-20	-20	31												36	45										
Quang C¸n §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	<color><enter>Phi §ao - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		70	7	1	28	29	29	29	65	65	167	-20	-20	31												36	54										
T©m ı §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	<color><enter>Phi §ao - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		90	8	1	28	33	33	29	74	74	167	-20	-20	31												36	63										
§éc C¬ §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	<color><enter>Phi §ao - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		150	9	1	28	36	36	29	83	83	167	-20	-20	31												36	72										
To¸i NguyÖt §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	<color><enter>Phi §ao - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		165	10	1	28	40	40	29	91	91	167	-20	-20	31												36	81										
Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	<color><enter>Tô TiÔn - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		75	1	0	28	8	8	29	13	13	167	0	0	31												36	0										
Tóc §Ó Ch©m	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	<color><enter>Tô TiÔn - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		200	2	0	28	11	11	29	22	22	167	0	0	31												36	9										
Tinh Trang Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart21.spr	17	1	3	<color><enter>Tô TiÔn - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	3	0	28	16	16	29	32	32	167	0	0	31												36	18										
Thanh Phong §inh	0	1	2	\spr\item\equip\rangeweapon\obj-adart24.spr	17	2	2	<color><enter>Tô TiÔn - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		800	4	0	28	19	19	29	40	40	167	0	0	31												36	27										
