Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
Méng Long ChÝnh Hång T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	360	360	31																		36	90	39	0									2	171	46	311	6	155	1									
Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	720	720	31																		36	99	39	0									2	40	170	307	6	324	1									
Méng Long HuyÒn Ti Ph¸t §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	160	160	31																		36	95	39	0									418	309	172	311	416	417	1									
Méng Long PhËt Ph¸p HuyÒn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0																						36	80	39	0									129	130					1									
Méng Long §¹t Ma T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	160	160	31																		36	85	39	0									2	104	6	311			1									
Phôc Ma Tö Kim C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	28	69	69	29	128	128	167	-10	-10	31												36	99	39	0									48	43	52	71	113	155	2									
Phôc Ma HuyÒn Hoµng Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	720	720	31																		36	90	39	0									2	306	175	307			2									
Phôc Ma ¤ Kim NhuyÔn §iÒu	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	160	160	31																		36	85	39	0									418	309	177	311	416	417	2									
Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	80	39	0									129	130					2									
Phôc Ma Phæ §é T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	160	160	31																		36	95	39	0									2	325	320	88	6	437	2									
Tø Kh«ng Gi¸ng Ma Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	0									2	43	48	71	113	155	3									
Tø Kh«ng Tö Kim Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	720	720	31																		36	90	39	0									2	306	178	317			3									
Tø Kh«ng Hé ph¸p Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	160	160	31																		36	85	39	0									2	309	177	311	416	425	3									
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	135	135	31																		36	95	39	0									2	417	326	311	6	179	3									
Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0																						36	80	39	0									129	130					3									
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	28	55	55	29	165	165	167	-30	-30	31												36	99	39	1									135	50	46	69	110	73	4									
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	720	720	31																		36	90	39	1									2	306	180	311			4									
H¸m Thiªn Uy Vò Thóc Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0	30	160	160	31																		36	95	39	1									2	309	191	311	416	156	4									
H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	135	135	31																		36	80	39	1									129	130					4									
H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0	30	160	160	31																		36	85	39	1									2	320	192	419	319	190	4									
KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	28	18	18	29	158	158	167	30	30	31												36	99	39	1									57	51	46	69	110	73	5									
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim M«n Ph¸i<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	720	720	31																		36	95	39	1									2	40	185	79			5									
