Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Hoµng Ngäc Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	<color><enter>NhÉn - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		150	1	0																						36	1										
C¶m L·m Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring02.spr	37	1	1	<color><enter>NhÉn - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		600	2	0																						36	7										
Phï Dung Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	<color><enter>NhÉn - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1350	3	0																						36	14										
PhØ Thóy Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring04.spr	37	1	1	<color><enter>NhÉn - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2400	4	0																						36	20										
Thóy Lùu Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring05.spr	37	1	1	<color><enter>NhÉn - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3750	5	0																						36	27										
Tæ MÉu Lôc Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	<color><enter>NhÉn - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		5400	6	0																						36	34										
H¶i Lam B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	<color><enter>NhÉn - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		7350	7	0																						36	40										
Hång B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	<color><enter>NhÉn - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		9600	8	0																						36	47										
Lam B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<color><enter>NhÉn - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		12150	9	0																						36	54										
Toµn Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<color><enter>NhÉn - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		15000	10	0																						36	60										
