Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Sa Di Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	25	25	31																		36	1							38	0		
T¨ng Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		125	2	0	30	50	50	31																		36	7							38	0		
PhËt Ên Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		250	3	0	30	75	75	31																		36	13							38	0		
T¨ng Giµ Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		400	4	0	30	100	100	31																		36	19							38	0		
Kh«n Léc m·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		600	5	0	30	125	125	31																		36	26							38	0		
L©m Liªn M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		900	6	0	30	150	150	31																		36	33							38	0		
Phï Dung M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	7	0	30	175	175	31																		36	40							38	0		
ThÈm Lu©n M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-1.spr	28	2	2	<color><enter>Nãn Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1600	8	0	30	200	200	31																		36	46							38	0		
NiÖm Ninh M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-2.spr	28	2	2	<color><enter>Nãn Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2000	9	0	30	225	225	31																		36	53							38	0		
Tú L« m·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	<color><enter>Nãn Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	10	0	30	250	250	31																		36	60							38	0		
Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	<color><enter>Nãn Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		50	1	0	30	20	20	31																		36	1							38	0	37	4
