√˚≥∆	ItemGenre	DetailType	ParticularType	∂Øª≠Œƒº˛√˚	∂‘”¶ŒÔº˛À˜“˝	øÌ∂»	∏ﬂ∂»	Àµ√˜Œƒ◊÷	ŒÂ–– Ù–‘	º€∏Ò	µ»º∂	 «∑Òµ˛∑≈	ª˘¥° Ù–‘1¿‡–Õ	ª˘¥° Ù–‘1◊Ó–°÷µ	ª˘¥° Ù–‘1◊Ó¥Û÷µ	ª˘¥° Ù–‘2¿‡–Õ	ª˘¥° Ù–‘2◊Ó–°÷µ	ª˘¥° Ù–‘2◊Ó¥Û÷µ	ª˘¥° Ù–‘3¿‡–Õ	ª˘¥° Ù–‘3◊Ó–°÷µ	ª˘¥° Ù–‘3◊Ó¥Û÷µ	ª˘¥° Ù–‘4¿‡–Õ	ª˘¥° Ù–‘4◊Ó–°÷µ	ª˘¥° Ù–‘4◊Ó¥Û÷µ	ª˘¥° Ù–‘5¿‡–Õ	ª˘¥° Ù–‘5◊Ó–°÷µ	ª˘¥° Ù–‘5◊Ó¥Û÷µ	ª˘¥° Ù–‘6¿‡–Õ	ª˘¥° Ù–‘6◊Ó–°÷µ	ª˘¥° Ù–‘6◊Ó¥Û÷µ	ª˘¥° Ù–‘7¿‡–Õ	ª˘¥° Ù–‘7◊Ó–°÷µ	ª˘¥° Ù–‘7◊Ó¥Û÷µ	–Ë«Û Ù–‘1¿‡–Õ	–Ë«Û Ù–‘1 ˝÷µ	–Ë«Û Ù–‘2¿‡–Õ	–Ë«Û Ù–‘2 ˝÷µ	–Ë«Û Ù–‘3¿‡–Õ	–Ë«Û Ù–‘3 ˝÷µ	–Ë«Û Ù–‘4¿‡–Õ	–Ë«Û Ù–‘4 ˝÷µ	–Ë«Û Ù–‘5¿‡–Õ	–Ë«Û Ù–‘5 ˝÷µ	–Ë«Û Ù–‘6¿‡–Õ	–Ë«Û Ù–‘6 ˝÷µ
Thi’t TrÒy thÒ 	0	0	0	\spr\item\equip\closeweapon\obj-sword01.spr	9	1	3	<color><enter>Ki’m - C p 1<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		50	1	0	28	4	4	29	7	7	167	0	0	31												36	0										
Cang Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword02.spr	9	1	3	<color><enter>Ki’m - C p 2<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		600	2	0	28	8	8	29	15	15	167	0	0	31												36	9										
Thanh Phong Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword03.spr	9	1	3	<color><enter>Ki’m - C p 3<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		1350	3	0	28	12	12	29	23	23	167	0	0	31												36	18										
Long Tuy“n Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword04.spr	9	1	3	<color><enter>Ki’m - C p 4<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		2400	4	0	28	16	16	29	31	31	167	0	0	31												36	27										
Tr∑m M∑ Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword05.spr	9	1	3	<color><enter>Ki’m - C p 5<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		3750	5	0	28	21	21	29	39	39	167	0	0	31												36	36										
§ Kim Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword06.spr	9	1	3	<color><enter>Ki’m - C p 6<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		5400	6	0	28	25	25	29	46	46	167	0	0	31												36	45										
Xÿ Khi’p	0	0	0	\spr\item\equip\closeweapon\obj-sword23.spr	9	1	3	<color><enter>Ki’m - C p 7<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		7500	7	0	28	29	29	29	54	54	167	0	0	31												36	54										
Th t X›ch Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword21.spr	9	1	3	<color><enter>Ki’m - C p 8<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		10000	8	0	28	33	33	29	62	62	167	0	0	31												36	63										
Thi™n NhÀn Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	<color><enter>Ki’m - C p 9<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		12500	9	0	28	37	37	29	70	70	167	0	0	31												36	72										
Huy“n Thi’t Ki’m	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	<color><enter>Ki’m - C p 10<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		15000	10	0	28	42	42	29	78	78	167	0	0	31												36	81										
Y™u ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade01.spr	10	1	2	<color><enter>ßao - C p 1<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		50	1	0	28	3	3	29	11	11	167	-20	-20	31												36	0										
ß¨n ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade03.spr	10	1	2	<color><enter>ßao - C p 2<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		600	2	0	28	7	7	29	21	21	167	-20	-20	31												36	9										
Qu˚ ß«u ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade12.spr	10	1	3	<color><enter>ßao - C p 3<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		1350	3	0	28	10	10	29	30	30	167	-20	-20	31												36	18										
Nhπn Linh ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade12.spr	10	1	3	<color><enter>ßao - C p 4<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		2400	4	0	28	14	14	29	42	42	167	-20	-20	31												36	27										
Nguy÷t Nha ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade13.spr	10	1	3	<color><enter>ßao - C p 5<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		3750	5	0	28	18	18	29	51	51	167	-20	-20	31												36	36										
Ph∏ Phong ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade14.spr	10	1	3	<color><enter>ßao - C p 6<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		5400	6	0	28	21	21	29	63	63	167	-20	-20	31												36	45										
CÊn Ch©u B∂o Æao	0	0	1	\spr\item\equip\closeweapon\obj-blade21.spr	10	1	4	<color><enter>ßao - C p 7<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		7500	7	0	28	25	25	29	72	72	167	-20	-20	31												36	54										
Y”n Nguy÷t ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade22.spr	10	1	4	<color><enter>ßao - C p 8<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		10000	8	0	28	28	28	29	84	84	167	-20	-20	31												36	63										
Thanh Long ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade23.spr	10	1	4	<color><enter>ßao - C p 9<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		12500	9	0	28	32	32	29	93	93	167	-20	-20	31												36	72										
ßπi Phong ßao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	<color><enter>ßao - C p 10<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		15000	10	0	28	36	36	29	105	105	167	-20	-20	31												36	81										
Thi™u H·a C´n 	0	0	2	\spr\item\equip\closeweapon\obj-staff01.spr	11	2	3	<color><enter>BÊng - C p 1<enter><enter><color=white><bclr=pink>V‚ L©m Offline<bclr><color>		50	1	0	28	6	6	29	11	11	167	-10	-10	31												36	0										
