Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	Ò©Æ·ÊôÐÔ1	ÊôÐÔ1ÊýÖµ	ÊôÐÔ1Ê±¼ä(ÓÎÏ·Ñ­»·Êý£©	Ò©Æ·ÊôÐÔ2	ÊôÐÔ2ÊýÖµ	ÊôÐÔ2Ê±¼ä	Ò©Æ·ÊôÐÔ3	ÊôÐÔ3ÊýÖµ	ÊôÐÔ3Ê±¼ä	Ò©Æ·ÊôÐÔ4	ÊôÐÔ4ÊýÖµ	ÊôÐÔ4Ê±¼ä	Ò©Æ·ÊôÐÔ5	ÊôÐÔ5ÊýÖµ	ÊôÐÔ5Ê±¼ä
Kim S¸ng D­îc (tiÓu) 	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	<enter>Håi phôc chót Ýt khÝ huyÕt<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		50	1	0	153	10	100												
Kim S¸ng D­îc (trung) 	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	<enter>Håi phôc khÝ huyÕt t­¬ng ®èi nhanh.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	2	0	153	25	100												
Kim S¸ng D­îc (®¹i) 	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	<enter>Håi phôc khÝ huyÕt cùc nhanh.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		250	3	0	153	25	200												
Håi Thiªn ®an	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	"<enter>ThÇn d­îc ch÷a th­¬ng, c¶i tö hoµn sinh<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		500	4	0	153	50	200												
Cöu ChuyÓn Hoµn Hån ®an	1	0	0	\spr\item\medecine\obj-potion03.spr	310	1	1	<enter>LËp tøc håi phôc 5000 ®iÓm sinh lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		2000	5	0	153	500	100												
Ng­ng ThÇn ®an (tiÓu) 	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	<enter>Cã thÓ håi phôc chót Ýt Néi lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		50	1	0	154	5	200												
Ng­ng ThÇn ®an (trung) 	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	<enter>Håi phôc Néi lùc t­¬ng ®èi nhanh.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	2	0	154	10	200												
Ng­ng ThÇn ®an (®¹i) 	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	<enter>Håi phôc Néi lùc côc nhanh<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		250	3	0	154	20	250												
§¹i Bæ t¸n	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	<enter>Håi phôc Néi lôc trong nh¸y m¾t<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		500	4	0	154	50	200												
¤ ®Çu Hoµn thÇn ®an	1	1	0	\spr\item\medecine\obj-potion08.spr	312	1	1	<enter>LËp tøc håi phôc 5000 ®iÓm Néi lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		2000	5	0	154	500	100												
Thõa Tiªn MËt (tiÓu) 	1	2	0	\spr\item\medecine\obj-potion11.spr	19	1	1	<enter>§ång thêi håi phôc chót Ýt Sinh lùc vµ Néi lùc.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		80	1	0	153	10	100	154	6	100									
Thõa Tiªn MËt (trung) 	1	2	0	\spr\item\medecine\obj-potion11.spr	19	1	1	<enter>§ång thêi håi phôc nhanh Sinh lùc vµ Néi lùc <enter><enter><bclr=pink>Vâ L©m Offline<bclr>		150	2	0	153	25	100	154	6	250									
Thõa Tiªn MËt (®¹i) 	1	2	0	\spr\item\medecine\obj-potion12.spr	308	1	1	<enter>§ång thêi håi phôc cùc nhanh Sinh lùc vµ Néi lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		375	3	0	153	25	200	154	15	200									
ThÊt KhiÕu Bæ t©m ®an	1	2	0	\spr\item\medecine\obj-potion12.spr	308	1	1	<enter>LËp tøc håi phôc Sinh lùc vµ Néi lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		750	4	0	153	50	200	154	30	200									
Ngò Hoa Ngäc Lé Hoµn	1	2	0	\spr\item\medecine\obj-potion13.spr	311	1	1	<enter>§ång thêi håi phôc 5000 ®iÓm Sinh lùc vµ Néi lùc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		3000	5	0	153	500	100	154	500	100									
Tam Hoa T¸n 	1	3	0	\spr\item\medecine\obj-potion16.spr	19	1	1	<enter>Cã thÓ håi phôc 1000 ®iÓm thÓ lùc.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		50	1	0	95	50	200												
§ïi gµ 	1	3	0	\spr\item\questkey\taskobj106.spr	41	1	1	<enter>Cã thÓ bæ sung khÝ huyÕt.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		50	2	0	153	500	100												
B¸nh Trung Thu h­ 	1	3	0	\spr\item\special\ÔÂ±ý.spr	329	1	1	<enter>Sö dông v« hiÖu.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		50	3	0	153	-10	100	154	-10	100									
Toµn Qu¶ hoµn	1	3	0	\spr\item\medecine\obj-potion17.spr	19	1	1	<enter>Cã thÓ håi phôc 5000 ®iÓm thÓ lùc.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	4	0	95	200	200												
Toµn Qu¶ hoµn	1	3	0	\spr\item\medecine\obj-potion17.spr	19	1	1	<enter>Cã thÓ håi phôc 5000 ®iÓm thÓ lùc.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	5	0	95	200	200												
Thanh Ng­u Gi¶i ®éc t¸n	1	4	0	\spr\item\medecine\obj-potion23.spr	19	1	1	"<enter>Lo¹i bæ d­îc th«ng th­êng, t¸c dông kh«ng cao.<enter><enter><bclr=pink>Vâ L©m Offline<bclr>"		10	1	0	109	100	200												
Ho¾c H­¬ng ChÝnh khÝ hoµn	1	4	0	\spr\item\medecine\obj-potion24.spr	19	1	1	<enter>Cã chót Ýt t¸c dông gi¶i ®éc<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		20	2	0	109	200	200												
Tam ThuËn t¸n	1	4	0	\spr\item\medecine\obj-potion25.spr	19	1	1	<enter>Gi¶i ®éc rÊt hiÖu qu¶ <enter><enter><bclr=pink>Vâ L©m Offline<bclr>		50	3	0	109	400	200												
Ng©n KiÒu Khø ®éc ®an	1	4	0	\spr\item\medecine\obj-potion26.spr	19	1	1	<enter>Gi¶i ®éc cùu kú hiÖu qu¶ <enter><enter><bclr=pink>Vâ L©m Offline<bclr>		100	4	0	109	800	200												
Long §µm Hãa §éc ®an	1	4	0	\spr\item\medecine\obj-potion27.spr	19	1	1	<enter>Kh«ng ®éc kh«ng thÓ gi¶i<enter><enter><bclr=pink>Vâ L©m Offline<bclr>		200	5	0	109	1200	200												
