Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Th¶o Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes01.spr	26	2	2	<color><enter>Giµy Nam - CÊp 1<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		35	1	0	30	7	7	31																		36	1							38	0		
Bè Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes01.spr	26	2	2	<color><enter>Giµy Nam - CÊp 2<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		130	2	0	30	12	12	31																		36	8							38	0		
Thiªn tÇng bè Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes02.spr	26	2	2	<color><enter>Giµy Nam - CÊp 3<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		325	3	0	30	18	18	31																		36	14							38	0		
C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes02.spr	26	2	2	<color><enter>Giµy Nam - CÊp 4<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		500	4	0	30	24	24	31																		36	20							38	0		
Th­¬ng C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes03.spr	26	2	2	<color><enter>Giµy Nam - CÊp 5<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		800	5	0	30	30	30	31																		36	27							38	0		
B¸ch Niªn Th­¬ng C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes03.spr	26	2	2	<color><enter>Giµy Nam - CÊp 6<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1250	6	0	30	36	36	31																		36	33							38	0		
TrÜ VÜ Tèng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	<color><enter>Giµy Nam - CÊp 7<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1650	7	0	30	42	42	31																		36	40							38	0		
Giao Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	<color><enter>Giµy Nam - CÊp 8<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		1925	8	0	30	48	48	31																		36	47							38	0		
Phong VÜ Tèng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<color><enter>Giµy Nam - CÊp 9<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		2500	9	0	30	54	54	31																		36	54							38	0		
Cöu TiÕt X­¬ng VÜ Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<color><enter>Giµy Nam - CÊp 10<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		3200	10	0	30	60	60	31																		36	60							38	0		
