Name	Type	Genre	Detail	Particular	Serise	Level	Param1	Param2	Param3	Param4	Param5	Param6	Proba	Costly	Msg	Log
Tiªn Th¶o Lé 	1	6	1	71	0	1	0						200000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
§Şnh Quèc Thanh Sa Tr­êng Sam	2	159	0	0	0	1	0						1000	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
§Şnh Quèc ¤ Sa Ph¸t Qu¸n	2	160	0	0	0	1	0						1000	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
§Şnh Quèc Xİch Quyªn NhuyÔn Ngoa	2	161	0	0	0	1	0						1000	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
§Şnh Quèc Tö §»ng Hé uyÓn	2	162	0	0	0	1	0						1000	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
§Şnh Quèc Ng©n Tµm Yªu ®¸i	2	163	0	0	0	1	0						1000	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	2	164	0	0	0	1	0						500	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
An Bang Cóc Hoa Th¹ch ChØ hoµn	2	165	0	0	0	1	0						500	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
An Bang §iÒn Hoµng Th¹ch Ngäc Béi	2	166	0	0	0	1	0						500	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
An Bang Kª HuyÕt Th¹ch Giíi ChØ 	2	167	0	0	0	1	0						500	1	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
Thiªn Hoµng Long Long §µi	2	168	0	0	0	1	0						2000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
Thiªn Hoµng Long B¹ch Long Tøc	2	169	0	0	0	1	0						2000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
Thiªn Hoµng Long TrÊn Minh Liªn	2	170	0	0	0	1	0						2000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
Thiªn Hoµng Long Cöu HiÖn chØ 	2	171	0	0	0	1	0						2000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
Thiªn Hoµng Long Ngäc Tiªu Diªu	2	172	0	0	0	1	0						2000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
Thiªn Hoµng Long Hoµng Kim L©n	2	173	0	0	0	1	0						2000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
Thiªn Hoµng Long Bµn Long c«i	2	174	0	0	0	1	0						2000	0	<player> më ThÇn bİ §¹i Hång Bao, nhËn ®­îc 1 <name>.	1
