Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	ÏêÏ¸Àà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Trang Søc T©n Thñ	0	14	0	\spr\mel\trangsuc\trangsuctanthu.spr	37	1	1	<enter><color=green>Trang Søc T©n Thñ<color><enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	1	0	85	100	100	89	100	100																											
Vâ L©m Trang Søc - S¬ CÊp	0	14	0	\spr\mel\trangsuc\volamtrangsucsocap.spr	37	1	1	<enter><color=green>Vâ L©m Trang Søc - S¬ CÊp<color><enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	2	0	85	200	200	89	200	200																											
Kh«ng sö dông	0	14	0	\spr\mel\trangsuc\trangsuctanthu.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	10										
Kh«ng sö dông	0	14	0	\spr\mel\trangsuc\trangsuctanthu.spr	37	1	1	Kh«ng sö dông		100	4	0																																	
Kh«ng sö dông	0	14	0	\spr\mel\trangsuc\trangsuctanthu.spr	37	1	1	Kh«ng sö dông		100	5	0																																	
Vâ L©m Trang Søc - Trung CÊp	0	14	0	\spr\mel\trangsuc\volamtrangsuctrungcap.spr	37	1	1	<enter><color=green>Vâ L©m Trang Søc - Trung CÊp<color><enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	6	0	85	400	400	89	400	400	114	5	5	190	25	25																					
Kh«ng sö dông	0	14	0	\spr\mel\trangsuc\trangsuctanthu.spr	37	1	1	Kh«ng sö dông		100	7	0																																	
Kh«ng sö dông	0	14	0	\spr\mel\trangsuc\trangsuctanthu.spr	37	1	1	Kh«ng sö dông		100	8	0																																	
Kh«ng sö dông	0	14	0	\spr\mel\trangsuc\trangsuctanthu.spr	37	1	1	Kh«ng sö dông		100	9	0																																	
Vâ L©m Trang Søc - Cao CÊp	0	14	0	\spr\mel\trangsuc\volamtrangsuccaocap.spr	37	1	1	<enter><color=green>Vâ L©m Trang Søc - Cao CÊp<color><enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	10	0	85	600	600	89	600	600	114	10	10	190	50	50																					
