Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Ên T©n Thñ	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	<enter><color=green>Ên T©n Thñ<color><enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	1	0	85	100	100	89	100	100																											
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	1										
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	3	0																																	
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	4	0																																	
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	5	0																																	
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	6	0																																	
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	7	0																																	
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	8	0																																	
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	9	0																																	
Kh«ng sö dông	0	13	0	\spr\mel\an\antanthu.spr	37	1	1	Kh«ng sö dông		100	10	0																																	
ThiÕu L©m Ên - S¬ CÊp	0	13	1	\spr\mel\an\thieulaman.spr	37	1	1	<color><enter>ThiÕu L©m Ên - S¬ CÊp<enter><enter><color=white><bclr=pink>Vâ L©m Offline<bclr><color>		100	1	0	85	200	200	89	200	200	121	10	10	126	50	50												39	0								
Kh«ng sö dông	0	13	1	\spr\mel\an\thieulaman.spr	37	1	1	Kh«ng sö dông		100	2	0																								39	0								
Kh«ng sö dông	0	13	1	\spr\mel\an\thieulaman.spr	37	1	1	Kh«ng sö dông		100	3	0																								39	0								
Kh«ng sö dông	0	13	1	\spr\mel\an\thieulaman.spr	37	1	1	Kh«ng sö dông		100	4	0																								39	0								
