MAP_TYPE	MAP_ID	FORBIT_ITEM_TYPE	DESCRIPTION
Lo¹i h×nh khu vùc	Sè hiÖu khu vùc	Kh«ng ®­îc phÐp sö dông lo¹i vËt phÈm nµy	Miªu t¶ 
SONGJIN	44,323|331,344|386,605,606,607	TRANSFER,MATE,CALLNPC,PK	ChiÕn tr­êng Tèng Kim, ®iÓm b¸o danh Tèng Kim
CHRISTMAS	582,583,821,822	TRANSFER,MATE,CALLNPC	Ho¹t ®éng Gi¸ng Sinh
SPRING	584,585,823,824,849,850,845,846,892,893,894,895,901,926	TRANSFER,MATE,CALLNPC	Ho¹t ®éng n¨m míi
FENGHUO	516,517,518,519,580,581	TRANSFER,MATE,CALLNPC,SONGJIN_SP,ADDEXP	Phong Háa Liªn Thµnh
JIANLAO	208	TRANSFER,MATE,CALLNPC	§¹i lao
YANWUCHANG	209,210,211	TRANSFER,MATE,CALLNPC	L«i ®µi quÇn chiÕn
TONGLEITAI	212|220	TRANSFER,MATE,CALLNPC	L«i ®µi bang héi
TONGGONGCHENG	221,222,223	TRANSFER,MATE,CALLNPC	C«ng thµnh chiÕn
TAOHUADAO	235|241	TRANSFER,MATE	§µo Hoa §¶o
XISUIDAO	242|318	TRANSFER,MATE	§¶o TÈy Tñy
LEAGUEMATCH	334,335,396|415,527|538,540|579	TRANSFER,MATE,CALLNPC,PK,SPECIAL	Khu vùc liªn ®Êu
FENGLING	336,341,342	MATE	Phong L¨ng §é - khu vùc s¨n b¸u
FERRY	337,338,339	TRANSFER,MATE	§é ThuyÒn
XINSHI	387|395	TRANSFER,MATE,CALLNPC	NhiÖm vô TÝn Sø 
DRAGONBOAT	416|463	TRANSFER,MATE,CALLNPC	Ho¹t ®éng ThuyÒn rång
SHILIAN	461|511	TRANSFER,MATE,CALLNPC	Thö th¸ch s¸t thñ (thö th¸ch thêi gian)
TONGBAN	513|515	TRANSFER,MATE,CALLNPC	NhiÖm vô Hoµng Kim §ång hµnh
MINGYUE	520|526	MATE	Minh NguyÖt TrÊn
DIYIBANG	608|613	TRANSFER,MATE,CALLNPC	Thiªn H¹ §Ö NhÊt Bang
QUFUYONGDI	614|650	TRANSFER,MATE	Khu vùc vâ l©m ®¹i héi
GUANZHANCHANG	651|660	TRANSFER,MATE	Kh¸n khu vâ l©m ®¹i héi
WULINDAHUI	661|820	TRANSFER,MATE,CALLNPC	Khu vùc vâ l©m ®¹i héi
DUANWUJIE	825,826,827,828	TRANSFER,MATE,CALLNPC	<<Î´·­Òë>>
JINDI	539,829|834	TRANSFER,MATE,CALLNPC	Tr­êng Ca M«n cÊm ®Þa
TOPMANMATCH	841|848	TRANSFER,MATE,CALLNPC	°ï»á¾«Ó¢ÀÞÌ¨
YANDIBAOZANG	851|862	TRANSFER,MATE,CALLNPC	B¶o tµng Viªm §Õ
CAIYAO	871|874,892	TRANSFER,MATE,CALLNPC,SPECIAL	Éú»î¼¼ÄÜ²ÉÒ©
RACEGAME	863	TRANSFER,MATE,CALLNPC	Cuéc ®ua bèn mïa
SONGJIN_NONE	868|870,876|878,886|891,970|971	TRANSFER,MATE,CALLNPC,PK	ËÎ½ðÕ½³¡[½ûÖ¹PKÒ©]
DATUSHA	896	TRANSFER,MATE,CALLNPC,PK,SPECIAL,YAOXIANG	Khu vùc liªn ®Êu
BAIRENLEITAI	960	TRANSFER,MATE,CALLNPC,PK,SPECIAL	»Ê³ÇË¾ÀÞÌ¨
GUOZHAN	898,899,900	PK	Quèc chiÕn tèng kim
FUBEN	905,925	TRANSFER,MATE,CALLNPC,EXPBONUS	Phã b¶n
SEVENCITY	927|933	TRANSFER,MATE	Æß³Ç´óÕ½µØÍ¼
