map_ID	nPosX	nPosY
322	1734	3626
322	1739	3633
322	1731	3635
322	1736	3641
322	1745	3632
322	1743	3641
322	1750	3638
322	1753	3646
322	1749	3653
322	1741	3649
322	1735	3658
322	1733	3647
322	1726	3642
322	1727	3652
322	1729	3664
322	1721	3658
322	1719	3646
322	1718	3635
322	1712	3641
322	1713	3653
322	1722	3668
322	1728	3672
322	1735	3667
322	1715	3663
322	1705	3647
322	1705	3658
322	1708	3667
322	1716	3674
322	1709	3676
322	1723	3677
322	1728	3680
322	1723	3688
322	1715	3685
322	1742	3658
322	1754	3654
322	1711	3630
322	1742	3669
322	1749	3665
322	1747	3673
322	1698	3651
322	1701	3664
322	1702	3673
322	1708	3686
322	1712	3692
322	1718	3694
322	1725	3697
322	1730	3689
322	1718	3623
322	1754	3672
