map_ID	nPosX	nPosY
321	1311	2426
321	1317	2423
321	1322	2429
321	1316	2433
321	1308	2433
321	1312	2440
321	1322	2437
321	1317	2445
321	1305	2441
321	1308	2448
321	1313	2452
321	1324	2446
321	1320	2454
321	1297	2439
321	1299	2447
321	1305	2456
321	1310	2460
321	1316	2461
321	1327	2456
321	1323	2464
321	1317	2472
321	1309	2470
321	1301	2464
321	1293	2453
321	1331	2446
321	1334	2456
321	1331	2467
321	1326	2475
321	1319	2481
321	1311	2481
321	1302	2475
321	1293	2463
321	1337	2447
321	1334	2437
321	1331	2426
321	1340	2453
321	1338	2460
321	1338	2471
321	1332	2477
321	1326	2484
321	1315	2489
321	1304	2483
321	1308	2490
321	1294	2470
321	1320	2489
321	1332	2487
321	1326	2494
321	1339	2439

