XPOS	YPOS
58720	84608
58720	84704
58848	84704
58784	84736
58624	84800
58720	84832
58848	84864
58592	84960
59744	84832
59840	84864
59776	84928
61216	84640
61312	84672
61120	84704
61216	84800
61312	84800
58624	85984
59200	85152
59296	85152
59360	85152
59200	85248
59296	85248
59360	85248
60096	85120
60224	85184
60064	85248
60288	85248
60192	85312
60352	85312
60224	85888
60288	85888
60384	85888
60160	85952
60448	85376
60864	85600
60832	85696
60480	85888
60928	85472
61888	84992
61920	85088
61568	85344
61664	85440
61728	85504
61984	85120
62016	85248
58560	86016
58592	86176
58688	86176
58720	86272
58656	86304
58592	86336
59136	86272
59232	86272
59328	86272
59232	86432
59328	86432
59168	86528
59392	86304
59776	86464
59744	86560
59680	86656
59648	86720
60096	86016
59168	87360
59040	87424
59296	87456
59232	87488
59136	87520
59008	87584
59680	87872
59744	87904
59808	87968
61824	87456
61760	87584
61696	87712
62112	87680
62048	87744
61984	87808
62208	87808
62144	87872
62080	87904
59872	88064
59456	88288
59520	88384
59616	88480
59680	88576
59776	88672
59936	88160
60288	88608
60384	88704
60192	88800
60064	88896
60256	88960
60128	89056
60448	88800
61344	88672
61440	88448
61536	88544
61440	88608
61600	88640
61536	88704
61664	88736
61440	88768
61504	88832
61568	88896
62400	88160
62336	88256
62240	88352
64320	88480
64096	88512
64128	88608
64352	88640
64384	88736
60096	89824
60064	89920
60160	89952
60128	90080
60672	89344
60768	89408
60544	89536
60672	89536
60864	89536
60736	89600
60640	89664
60800	89696
60704	89760
60768	89856
60928	89632
63968	89280
63936	89408
64032	89216
64096	89312
64032	89440
64192	89440
64128	89536
60224	90112
60544	90560
60672	90592
60736	90624
60576	90688
60672	90752
61152	90400
61088	90496
61248	90528
61184	90624
61504	90912
61504	91008
61568	91008
63552	90112
63520	90240
63872	90240
63840	90368
63552	90400
63808	90496
63552	90528
63776	90592
61600	91136
61536	91168
61664	91776
61440	91840
61696	91904
61472	91968
61728	92032
61504	92128
61792	92128
63840	91136
63904	91232
63776	91744
63872	91744
63968	91744
63808	91872
63904	91872
64064	91744
64000	91872
61536	92224
62048	92480
62112	92480
62080	92576
62144	92576
62112	92672
62208	92672
64352	92320
64320	92448
64160	92672
64096	92736
64160	92800
64032	92864
64096	92864
64544	92320
64544	92480
64576	93120
64640	93120
62112	93504
62080	93568
62208	93568
62176	93632
62272	93632
62272	93696
62912	94144
63680	93344
63776	93344
63584	93472
63712	93472
63808	93472
63616	93600
63744	93600
63872	93600
64224	93920
64288	93920
64224	94016
64192	94080
64288	94080
64544	93312
64672	93312
64608	93472
64544	93920
64640	93920
64704	93920
64544	94080
64640	94080
62688	94464
62752	94528
62816	94624
62880	94720
62976	94240
63040	94336
63072	94400
63648	94496
63776	94496
63872	94496
63648	94624
63776	94624
63872	94624
64000	94496
64000	94656
64544	94240
