Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	9900000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	9000000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	3600000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	3000000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	3000000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	2400000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1900000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1800000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1800000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1800000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1700000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1700000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1600000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1600000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1600000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1500000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1500000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1400000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1300000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1260400000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1200000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1200000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1100000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1000000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1000000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1000000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1000000000
LÖnh bµi vinh dù Hoµng Kim	0	6	1	1254	0	1	0	1000000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	900000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	900000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	900000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	900000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	900000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	700000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	700000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	700000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	700000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	600000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	600000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	600000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	600000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	600000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	560000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	560000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	367700000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	240000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	200000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	113140000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	60000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	40000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	40000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	40000000
LÖnh bµi vinh dù B¹ch Ng©n	0	6	1	1255	0	1	0	40000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	33000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	24000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	15000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	9000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	4000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	3500000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	3000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	3000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	3000000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	2250000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	1200000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	1200000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	1200000
LÖnh bµi vinh dù Thanh ®ång	0	6	1	1256	0	1	0	1000000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	800000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	800000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	800000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	800000
LÖnh bµi vinh dù Hµn thiÕt	0	6	1	1257	0	1	0	800000
