Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
100	ßπi Thµnh B› K›p 120	0	6	1	2425	0	1	0	10000
200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
500	Nh t K˚ Cµn Kh´n PhÔ	0	6	1	2126	0	1	0	10000
600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
1000	Cµn Kh´n Song Tuy÷t BÈi	0	6	1	2219	0	1	0	10000
1100	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
1200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
1300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
1400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
1500	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
1600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
1700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
1800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
1900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
2000	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
2000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
2100	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
2200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
2300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
2400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
2500	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
2600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
2700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
2800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
2900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
3000	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
3000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
3100	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
3200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
3300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
3400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
3500	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
3600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
3700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
3800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
3900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
4000	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
4000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
4100	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
4200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
4300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
4400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
4500	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
4600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
4700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
4800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
4900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
5000	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
5000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
5100	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
5200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
5300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
5400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
5500	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
5600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
5700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
5800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
5900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
6000	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
6000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
6100	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
6200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
6300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
6400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
6500	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
6600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
6700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
6800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
6900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
7000	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
7000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
7100	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
7200	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
7300	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
7400	L‘ Bao D∑ T»u (Ti”u)	0	6	1	4960	0	1	0	10000
7500	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
7600	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
7700	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
7800	L‘ Bao D∑ T»u (Trung)	0	6	1	4961	0	1	0	10000
7900	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
8000	L‘ Bao D∑ T»u (ßπi)	0	6	1	4962	0	1	0	10000
8000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
8000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
8000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
8000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
8000	Tuy÷t ßÿnh Ti™n ß¨n	0	6	1	4912	0	1	0	10000
