index_Name	index_ItemGenre	index_DetailType	index_ParticualrType	index_taskid	index_level	index_content
MËt ®å "§ång hµnh luyÖn cÊp" 1	6	1	447	6	15	§Õn Ph­îng T­êng giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 2	6	1	448	7	15	§Õn Ph­îng T­êng giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 3	6	1	449	8	15	§Õn Ph­îng T­êng giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 4	6	1	450	9	15	§Õn Hoa s¬n  giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 5	6	1	451	10	15	§Õn Hoa s¬n  giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 6	6	1	452	11	15	§Õn Hoa s¬n  giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 5 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 7	6	1	453	12	25	§Õn KiÕm C¸c T©y B¾c giÕt 50 con Sãi ®á, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 8	6	1	454	13	25	§Õn KiÕm C¸c T©y B¾c giÕt 100 con Sãi ®á, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 9	6	1	455	14	25	§Õn KiÕm C¸c T©y B¾c giÕt 150 con Sãi ®á, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 10	6	1	456	15	35	§Õn Kim Quang ®éng giÕt 50 tªn Th¶o KhÊu Gi¸p, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 11	6	1	457	16	35	§Õn Kim Quang ®éng giÕt 100 tªn Th¶o KhÊu Gi¸p, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 12	6	1	458	17	35	§Õn Kim Quang ®éng giÕt 150 tªn Th¶o KhÊu Gi¸p, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 13	6	1	459	18	45	§Õn Kinh Hoµng ®éng giÕt 50 tªn Thæ PhØ Gi¸p, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 14	6	1	460	19	45	§Õn Kinh Hoµng ®éng giÕt 100 tªn Thæ PhØ Gi¸p, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 15	6	1	461	20	45	§Õn Kinh Hoµng ®éng giÕt 150 tªn Thæ PhØ Gi¸p, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 16	6	1	462	21	45	§Õn Táa V©n ®éng giÕt 50 tªn s¬n  tÆc Êt, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 17	6	1	463	22	45	§Õn Táa V©n ®éng giÕt 100 tªn s¬n  tÆc Êt, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 18	6	1	464	23	45	§Õn Táa V©n ®éng giÕt 150 tªn s¬n  tÆc Êt, §ång hµnh ®¼ng cÊp tõ 35 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 19	6	1	465	24	25	§Õn TÇn L¨ng giÕt 50 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 20	6	1	466	25	25	§Õn TÇn L¨ng giÕt 100 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 21	6	1	467	26	25	§Õn TÇn L¨ng giÕt 150 con nhİm, §ång hµnh ®¼ng cÊp tõ 15 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 22	6	1	468	27	35	§Õn tÇng 1 TÇn L¨ng giÕt 50 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 23	6	1	469	28	35	§Õn tÇng 1 TÇn L¨ng giÕt 100 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
MËt ®å "§ång hµnh luyÖn cÊp" 24	6	1	470	29	35	§Õn tÇng 1 TÇn L¨ng giÕt 150 tªn ThiÕt Tr¶o, §ång hµnh ®¼ng cÊp tõ 25 trë lªn
