Name	Quality	Genre	Detail	Particular	Level	GoodsFive	ItemRate	IsPublic
Tªn	PhÈm chÊt	Ph©n lo¹i vËt phÈm	DetailType	ParticularType	®¼ng cÊp	Ngò Hµnh	Tû lÖ 	Cã b¸o c¸o hay kh«ng?
Nh· §iÓn Chi Hån	1	141	3	0	1	1	10	1
B¾c Kinh Chi Méng	1	142	3	0	1	1	10	1
B¸nh ch­ng H¹t dÎ 	0	6	0	60	1	1	20000	0
B¸nh ch­ng ThŞt heo	0	6	0	61	1	1	50000	0
B¸nh ch­ng ThŞt bß 	0	6	0	62	1	1	20000	0
B¸nh ch­ng ThËp cÈm	0	6	1	63	1	1	7000	0
B¸nh ch­ng ThËp cÈm MËt ong	0	6	1	64	1	1	8000	0
B¸nh ch­ng ThËp cÈm B¸t böu	0	6	1	65	1	1	10000	0
B¸nh ch­ng ThËp cÈm B¸ch qu¶ 	0	6	1	66	1	1	30000	0
B¸nh ch­ng ThËp cÈm Th­îng h¹ng	0	6	1	67	1	1	80020	0
B¸nh ch­ng ThËp cÈm KhuÊt Nguyªn	0	6	1	68	1	1	2300	1
QuÕ Hoa Töu	0	6	1	125	1	1	10000	0
B¸nh Trung thu	0	6	1	126	1	1	80000	0
Phông NguyÖt Qu¶ Dung	0	6	1	127	1	1	10000	1
Cèng NguyÖt Phï Dung	0	6	1	128	1	1	10000	1
B¸nh ch­ng nh©n ®Ëu	0	6	1	435	1	1	10000	0
B¸nh ch­ng nÊm h­¬ng	0	6	1	436	1	1	10000	0
B¸nh ch­ng trøng	0	6	1	437	1	1	60000	0
MÆt n¹ - ¤ng Giµ Noel	0	0	11	70	1	1	5000	0
MÆt n¹ - Thiªn Sø Gi¸ng Sinh	0	0	11	71	1	1	5000	0
MÆt n¹ - §Çu «ng ®Şa	0	0	11	72	1	1	5000	0
MÆt n¹ - Nam S­ 	0	0	11	73	1	1	5000	0
MÆt n¹ - B¾c S­ 	0	0	11	74	1	1	5000	0
MÆt n¹ - Long Ch©u	0	0	11	75	1	1	5000	0
MÆt n¹ - §Çu Rång	0	0	11	76	1	1	5000	0
MÆt n¹ - Th©n Rång	0	0	11	77	1	1	5000	0
MÆt n¹ - §u«i Rång	0	0	11	78	1	1	5000	0
MÆt n¹ - TuyÕt B¸o	0	0	11	27	1	1	5000	0
MÆt n¹ - Thanh lang	0	0	11	30	1	1	5000	0
MÆt n¹ - Nhİm	0	0	11	35	1	1	5000	0
MÆt n¹ - GÊu n©u	0	0	11	38	1	1	5000	0
MÆt n¹ -Tr©u rõng	0	0	11	40	1	1	5000	0
MÆt n¹ - Nh·n Kİnh M·ng xµ 	0	0	11	43	1	1	5000	0
MÆt n¹ - Kim §iªu	0	0	11	47	1	1	1000	0
MÆt n¹ - Kim Miªu	0	0	11	54	1	1	5000	0
MÆt n¹ - Kim T¬ HÇu	0	0	11	61	1	1	5000	0
MÆt n¹ - H­¬u ®èm	0	0	11	65	1	1	5000	0
MÆt n¹ - Heo tr¾ng	0	0	11	66	1	1	5000	0
S«c«la t×nh yªu	0	6	1	833	1	1	100000	0
B¸nh Trung thu h¹t sen 	0	6	1	892	1	1	34960	0
B¸nh Trung thu sen trøng	0	6	1	894	1	1	100000	0
Tµng B¶o §å	0	6	2	3	1	1	200000	0
TrÊn Ngôc Ph¸ Thiªn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	839	2	1	3500	1
§¹i Bi Chó. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	840	2	1	3500	1
LuyÖn Ngôc Hñ Cæ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	841	2	1	3500	1
Thùc Cèt HuyÕt NhËn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	842	2	1	3500	1
NghŞch ChuyÓn T©m Kinh. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	843	2	1	3500	1
HuyÒn B¨ng ¢m Khİ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	844	2	1	3500	1
TrÇn Kh«ng Ph¹m TÉn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	845	2	1	3500	1
Háa Phông Khinh Ng©m. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	846	2	1	3500	1
ThuÇn D­¬ng V« Cùc. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	847	2	1	3500	1
V©n Sinh KÕt H¶i. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	848	2	1	3500	1
TrÊn Ngôc Ph¸ Thiªn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	839	3	1	1200	1
§¹i Bi Chó. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	840	3	1	1200	1
LuyÖn Ngôc Hñ Cæ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	841	3	1	1200	1
Thùc Cèt HuyÕt NhËn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	842	3	1	1200	1
NghŞch ChuyÓn T©m Kinh. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	843	3	1	1200	1
HuyÒn B¨ng ¢m Khİ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	844	3	1	1200	1
TrÇn Kh«ng Ph¹m TÉn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	845	3	1	1200	1
Háa Phông Khinh Ng©m. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	846	3	1	1200	1
ThuÇn D­¬ng V« Cùc. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	847	3	1	1200	1
V©n Sinh KÕt H¶i. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	848	3	1	1200	1
TrÊn Ngôc Ph¸ Thiªn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	839	4	1	350	1
§¹i Bi Chó. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	840	4	1	350	1
LuyÖn Ngôc Hñ Cæ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	841	4	1	350	1
Thùc Cèt HuyÕt NhËn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	842	4	1	350	1
NghŞch ChuyÓn T©m Kinh. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	843	4	1	350	1
HuyÒn B¨ng ¢m Khİ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	844	4	1	350	1
TrÇn Kh«ng Ph¹m TÉn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	845	4	1	350	1
Háa Phông Khinh Ng©m. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	846	4	1	350	1
ThuÇn D­¬ng V« Cùc. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	847	4	1	350	1
V©n Sinh KÕt H¶i. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	848	4	1	350	1
TrÊn Ngôc Ph¸ Thiªn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	839	5	1	120	1
§¹i Bi Chó. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	840	5	1	120	1
LuyÖn Ngôc Hñ Cæ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	841	5	1	120	1
Thùc Cèt HuyÕt NhËn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	842	5	1	120	1
NghŞch ChuyÓn T©m Kinh. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	843	5	1	120	1
HuyÒn B¨ng ¢m Khİ. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	844	5	1	120	1
TrÇn Kh«ng Ph¹m TÉn. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	845	5	1	120	1
Háa Phông Khinh Ng©m. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	846	5	1	120	1
ThuÇn D­¬ng V« Cùc. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	847	5	1	120	1
V©n Sinh KÕt H¶i. §ång hµnh MËt tŞch (TuyÖt kü) 	0	6	1	848	5	1	120	1
ÎäÁÖÃØ¼®	0	6	1	22	1	0	12000	1
Ï´Ëè¾­	0	6	1	26	1	0	12000	1
¶¨¹úÖ®ÇàÉ´³¤ÉÀ	1	159	1	1	1	0	1000	1
¶¨¹úÖ®ÎÙÉ°·¢¹Ú	1	160	1	1	1	0	1000	1
¶¨¹úÖ®³à¾îÈíÑ¥	1	161	1	1	1	0	1000	1
¶¨¹úÖ®×ÏÌÙ»¤Íó	1	162	1	1	1	0	1000	1
¶¨¹úÖ®Òø²ÏÑü´ø	1	163	1	1	1	0	1000	1
°²°îÖ®±ù¾§Ê¯ÏîÁ´	1	164	1	1	1	0	1000	1
°²°îÖ®¾Õ»¨Ê¯Ö¸»·	1	165	1	1	1	0	1000	1
°²°îÖ®Ìï»ÆÊ¯ÓñÅå	1	166	1	1	1	0	1000	1
°²°îÖ®¼¦ÑªÊ¯½äÖ¸	1	167	1	1	1	0	1000	1
