SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Nga Mi kiÕm ph¸p	Hç trî bÞ ®éng	77	504	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_jf.spr				0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0		0					0	0	0	-1	1	\script\skill\emei.lua	addphysicsdamage_p	emei_jianfa	deadlystrikeenhance_p	emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		emei_jianfa		T¨ng hiÖu qu¶ sö dông kiÕm.
Nga Mi ch­ëng ph¸p	Hç trî bÞ ®éng	79	505	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_aq.spr				0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\emei.lua	addcoldmagic_v	emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		emei_zhangfa		T¨ng hiÖu qu¶ c«ng kÝch tay kh«ng.
Phiªu TuyÕt Xuyªn V©n 	C«ng kÝch néi c«ng 	80	502	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_01.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k006.wav	0	0	0	0	0	240	15	0	0	2	1	68	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0	Gian c¸c	5	0				0	0	0	2	1	\script\skill\emei.lua	seriesdamage_p	piaoyun_chuanxue	colddamage_v	piaoyun_chuanxue	addskilldamage2	piaoyun_chuanxue	missle_speed_v	piaoyun_chuanxue	skill_attackradius	piaoyun_chuanxue	skill_cost_v	piaoyun_chuanxue	addskilldamage1	piaoyun_chuanxue	addskilldamage3	piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		piaoyun_chuanxue		Nga Mi vâ c«ng nhËp m«n, dïng b¨ng s¸t th­¬ng ®èi ph­¬ng.
Thu Phong DiÖp	Vßng trßn  håi phôc thuéc tÝnh	81		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_02.spr				37	2	1	2	0	0	0	0	0	2	7	204	-1	1	0	14	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\emei.lua	staminareplenish_v																																									Nga Mi §éc M«n T©m ph¸p, t¨ng tèc ®é håi phôc thÓ lùc cho ®ång ®éi.
Tø T­îng §ång Quy	C«ng kÝch néi c«ng 	82	502	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_11.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr	0	\sound\skill\sound_k007.wav	0	0	0	0	0	570	0	1	0	2	6	101	-1	1	1	11	1	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	243	0	0	0	0	0	0	0	30	20	-2	1	0	0	20	0	0	0				0	0	0	2	1	\script\skill\emei.lua		sixiang_tonggui	colddamage_v	sixiang_tonggui	addskilldamage1	sixiang_tonggui	skill_attackradius	sixiang_tonggui	skill_cost_v	sixiang_tonggui	seriesdamage_p	sixiang_tonggui	addskilldamage2	sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		sixiang_tonggui		Trung cÊp chiªu thøc, B¨ng s¸t trªn diÖn réng 
Väng NguyÖt	Vßng trßn  håi phôc thuéc tÝnh	83		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_12.spr				38	2	1	2	0	180	0	0	0	2	7	205	-1	1	0	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\emei.lua	lifereplenish_v																																									§éc M«n T©m ph¸p, gióp ®ång ®éi t¨ng tèc ®é håi phôc Sinh lùc.
Phong Vò Phiªu H­¬ng	Chñ ®éng hç trî chiÕn ®Êu	84		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_13.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			42	3	0	2	0	180	0	0	0	2	6	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\emei.lua	slowmissle_b		skill_cost_v																																							Kú thuËt, gi¶m hiÖu qu¶ sö dông phi tiªu cña ®èi ph­¬ng.
NhÊt DiÖp Tri Thu	C«ng kÝch néi c«ng 	85	501	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_21.spr	0		\sound\skill\sound_k008.wav	0	0	0	0	0	180	15	0	5	2	1	2	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	1	0	0	2	0	0	0				0	0	0	2	1	\script\skill\emei.lua	physicsenhance_p	yiye_zhiqiu	colddamage_v	yiye_zhiqiu	deadlystrike_p	yiye_zhiqiu	addskilldamage1	yiye_zhiqiu	missle_speed_v	yiye_zhiqiu	skill_attackradius	yiye_zhiqiu	skill_cost_v	yiye_zhiqiu	seriesdamage_p	yiye_zhiqiu	addskilldamage2	yiye_zhiqiu	addskilldamage3	yiye_zhiqiu	addskilldamage4	yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		yiye_zhiqiu		S¬ cÊp vâ c«ng, B¨ng s¸t víi ®èi thñ ®¬n lÎ.
L­u Thñy 	Vßng trßn  håi phôc thuéc tÝnh	86	503	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr				39	2	1	2	0	180	0	0	0	2	7	206	-1	1	0	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\emei.lua	fastwalkrun_p	liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		Nga Mi §éc M«n T©m ph¸p, t¨ng tèc ®é di chuyÓn cho ®ång ®éi.
B¨ng T©m QuyÕt	Hç trî phßng ngù - bÞ  ®éng	87		3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_23.spr				0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\emei.lua	coldres_p																																									Néi c«ng b¨ng ph¸p, t¨ng kh¶ n¨ng phßng b¨ng cho m×nh.
