source_id,relation,target_id
OBJ-P1-001,has_requirement,FR-AUTH-001
FR-AUTH-001,verified_by,TEST-CONTRACT-001
OBJ-P1-001,has_requirement,FR-AUTH-002
FR-AUTH-002,verified_by,TEST-CONTRACT-001
OBJ-P1-001,has_requirement,FR-CHAR-001
FR-CHAR-001,verified_by,TEST-CONTRACT-001
OBJ-P1-001,has_requirement,FR-CHAR-002
FR-CHAR-002,verified_by,TEST-RESTORE-001
OBJ-P1-001,has_requirement,FR-SESS-001
FR-SESS-001,verified_by,TEST-RECONNECT-001
OBJ-P1-001,has_requirement,FR-WORLD-001
FR-WORLD-001,verified_by,TEST-MAP-001
OBJ-P1-001,has_requirement,FR-MOVE-001
FR-MOVE-001,verified_by,TEST-SIM-001
OBJ-P2-001,has_requirement,FR-MOVE-002
FR-MOVE-002,verified_by,TEST-CHANNEL-001
OBJ-P0-001,has_requirement,FR-TGT-001
FR-TGT-001,verified_by,TEST-TGT-001
OBJ-P0-001,has_requirement,FR-TGT-002
FR-TGT-002,verified_by,TEST-TGT-001
OBJ-P0-001,has_requirement,FR-CBT-001
FR-CBT-001,verified_by,TEST-SIM-001
OBJ-P0-001,has_requirement,FR-CBT-002
FR-CBT-002,verified_by,TEST-SIM-001
OBJ-P0-001,has_requirement,FR-CBT-003
FR-CBT-003,verified_by,TEST-UI-005
OBJ-P0-001,has_requirement,FR-CBT-004
FR-CBT-004,verified_by,TEST-TGT-001
OBJ-P0-001,has_requirement,FR-SKL-001
FR-SKL-001,verified_by,TEST-SKL-001
FR-SKL-001,verified_by,TEST-SKL-002
OBJ-P0-001,has_requirement,FR-SKL-002
FR-SKL-002,verified_by,TEST-SKL-001
FR-SKL-002,verified_by,TEST-SKL-002
OBJ-P0-001,has_requirement,FR-SKL-003
FR-SKL-003,verified_by,TEST-SKL-001
FR-SKL-003,verified_by,TEST-SKL-002
FR-SKL-003,verified_by,TEST-SKL-003
OBJ-P1-001,has_requirement,FR-PROG-001
FR-PROG-001,verified_by,TEST-SIM-001
OBJ-P2-001,has_requirement,FR-PROG-002
FR-PROG-002,verified_by,TEST-LUA-001
OBJ-P1-001,has_requirement,FR-ITEM-001
FR-ITEM-001,verified_by,TEST-ECON-001
