skillId	name	faction	style	radius	form	childId	childNum	cost	costType	wait	effect
1	Đòn dài	None	Missiles	100	Single	64	1	0	0	5	
2	Tấn công tầm xa	None	Missiles	320	Single	65	1	0	0	5	
53	Tấn công cận chiến	None	Missiles	75	Single	63	1	0	0	5	
196	Ném đá	None	Missiles	180	Single	87	1	0	0	5	
199	Nhổ độc	None	Missiles	180	Single	90	1	0	0	5	
210	Khinh công	None	InitiativeNpcState	400	None	0	0	0	0	0	
117	Ném Đá Hỏi Đường	CaiBang	Missiles	280	Single	44	1	0	0	5	VLTK.Model.SourceAssetId
118	Cô Mộc Độn Lôi	CaiBang	Missiles	400	Stance	49	1	0	0	5	VLTK.Model.SourceAssetId
119	Duyên Môn Thác Bát	CaiBang	Missiles	240	Single	45	1	0	0	5	VLTK.Model.SourceAssetId
120	Bôn Lưu Đáo Hải	CaiBang	Missiles	400	Stance	50	1	0	0	5	VLTK.Model.SourceAssetId
121	Diệu Thủ Không Không	CaiBang	InitiativeNpcState	180	Stance	0	0	0	0	0	
122	Kiến Nhân Thân Thủ	CaiBang	Missiles	300	Single	46	1	0	0	5	VLTK.Model.SourceAssetId
123	Khuê Mộc Tinh Chiếu	CaiBang	Missiles	400	Stance	51	1	0	0	5	VLTK.Model.SourceAssetId
125	Bổng Đả Ác Cẩu	CaiBang	Missiles	72	Surround	47	16	0	0	5	VLTK.Model.SourceAssetId
126	Kim Ô Ánh Tuyết	CaiBang	Missiles	400	Stance	52	1	0	0	5	VLTK.Model.SourceAssetId
127	Hoạt Bất Lưu Thủ	CaiBang	Missiles	0	Stance	0	0	0	0	5	VLTK.Model.SourceAssetId
128	Kháng Long Hữu Hối	CaiBang	Missiles	400	Fan	48	8	0	0	5	VLTK.Model.SourceAssetId
130	Túy Điệp Cuồng Vũ	CaiBang	InitiativeNpcState	0	Stationary	0	0	0	0	0	
277	Hoành Bách Lộ Thiên	CaiBang	Missiles	0	Stance	114	1	0	0	5	VLTK.Model.SourceAssetId
357	Phi Long Tại Thiên	CaiBang	Missiles	400	Single	166	3	0	0	5	VLTK.Model.SourceAssetId
359	Thiên Hạ Vô Cẩu (player)	CaiBang	Missiles	400	Single	168	16	0	0	5	VLTK.Model.SourceAssetId
358	Tiềm Long Tại Uyên	CaiBang	Missiles	570	Stationary	167	1	0	0	5	VLTK.Model.SourceAssetId
720	Hỗn Thiên Khí Công Quyết Chí	CaiBang	Missiles	440	Stance	275	1	0	0	0	
1073	Thời Thặng Lục Long	CaiBang	Missiles	400	Single	335	1	0	0	5	VLTK.Model.SourceAssetId
1074	Bổng Hoành Lược Mã	CaiBang	Missiles	400	Single	336	5	0	0	5	VLTK.Model.SourceAssetId
1539	Thiên Hạ Vô Cẩu	CaiBang	Missiles	400	None	168	16	0	0	5	VLTK.Model.SourceAssetId
1101	Thừa Lục Long (đa mục tiêu)	CaiBang	Missiles	400	Single	363	1	0	0	5	VLTK.Model.SourceAssetId
1103	Thừa Lục Long (không script)	CaiBang	Missiles	280	Stationary	344	1	0	0	1	VLTK.Model.SourceAssetId
1161	Thừa Lục Long (NPC)	CaiBang	Missiles	400	Single	335	1	0	0	5	VLTK.Model.SourceAssetId
1162	Cửu Cái Bang 150 (NPC)	CaiBang	Missiles	400	Single	336	5	0	0	5	VLTK.Model.SourceAssetId
389	Long Chiến Ư Dã	CaiBang	Missiles	570	Stationary	195	1	0	0	5	VLTK.Model.SourceAssetId
1072	Ngũ Diệu Càn Khôn	None	Missiles	570	Stationary	334	1	0	0	5	VLTK.Model.SourceAssetId
209	Đả Cẩu Trận Tử Đạn	CaiBang	Missiles	180	Surround	92	1	0	0	0	
153	Nộ Lôi Chỉ	WuDang	Missiles	400	Single	24	1	0	0	5	VLTK.Model.SourceAssetId
155	Thương Hải Minh Nguyệt	WuDang	Missiles	480	Single	25	1	0	0	5	VLTK.Model.SourceAssetId
157	Tọa Vọng Vô Ngã	WuDang	InitiativeNpcState	0	Stationary	0	0	0	0	0	
158	Kiếm Phi Kinh Thiên	WuDang	Missiles	400	Stance	26	1	0	0	5	VLTK.Model.SourceAssetId
159	Thất Tinh Trận	WuDang	InitiativeNpcState	180	Stationary	211	1	0	0	0	
162	Huyền Nhất Vô Tượng	WuDang	Missiles	520	Stance	27	1	0	0	5	VLTK.Model.SourceAssetId
163	Nhân Kiếm Hợp Nhất	WuDang	InitiativeNpcState	0	Stance	215	1	0	0	0	VLTK.Model.SourceAssetId
164	Bác Cấp Nhi Phục	WuDang	Missiles	470	Stance	28	1	0	0	5	VLTK.Model.SourceAssetId
165	Vô Ngã Vô Kiếm	WuDang	Missiles	400	Fan	29	16	0	0	5	VLTK.Model.SourceAssetId
10	Kim Cang Phục Ma	Shaolin	Melee	90	8	216	1	0	0	0	
11	Hoành Tảo Lục Hợp	Shaolin	Missiles	90	Stationary	86	1	0	0	0	
13	Lập Địa Thành Phật	Shaolin	Missiles	400	Surround	76	1	0	0	5	VLTK.Model.SourceAssetId
14	Hàng Long Bất Vũ	Shaolin	Missiles	90	Stationary	66	1	0	0	5	
15	Bất Động Minh Vương	Shaolin	Missiles	400	Surround	76	1	0	0	5	VLTK.Model.SourceAssetId
16	La Hán Trận	Shaolin	InitiativeNpcState	180	Stationary	202	1	0	0	0	
17	Long Trảo Hổ Trảo	Shaolin	Melee	90	8	218	1	0	0	0	
18	Huệ Nhãn Chú	Shaolin	Missiles	400	Surround	76	1	0	0	0	VLTK.Model.SourceAssetId
19	Ma Ha Vô Lượng	Shaolin	Missiles	200	Single	61	2	0	0	5	
20	Sư Tử Hống	Shaolin	Missiles	90	Stationary	77	1	0	0	2	VLTK.Model.SourceAssetId
45	Tích Lịch Đơn	TangMen	Missiles	400	Single	35	1	0	0	5	
47	Đoạt Hồn Tiêu	TangMen	Missiles	450	Single	116	1	0	0	5	
50	Truy Tâm Tiễn	TangMen	Missiles	360	Single	37	2	0	0	5	
54	Mạn Thiên Hoa Vũ	TangMen	Missiles	400	Stance	38	1	0	0	5	
58	Thiên La Địa Võng	TangMen	Missiles	520	Single	67	1	0	0	5	
249	Tiểu Lý Phi Đao	TangMen	Missiles	480	Stance	106	1	0	0	0	
302	Bạo Vũ Lê Hoa	TangMen	Missiles	470	Stance	96	1	0	0	5	
303	Độc Thích Cốt	TangMen	Missiles	50	Stationary	127	1	0	0	0	
339	Nhiếp Hồn Nguyệt Ảnh	TangMen	Missiles	360	Single	149	1	0	0	5	
341	Tán Hoa Tiêu	TangMen	Missiles	400	Fan	151	5	0	0	5	
342	Cửu Cung Phi Tinh	TangMen	Missiles	360	Fan	152	5	0	0	2	
343	Xuyên Tâm Thích	TangMen	Missiles	50	Stationary	153	1	0	0	0	
345	Hàn Băng Thích	TangMen	Missiles	50	Stationary	155	1	0	0	0	
347	Địa Diệm Hỏa	TangMen	Missiles	50	Stationary	157	1	0	0	0	
349	Lôi Kích Thuật	TangMen	Missiles	50	Stationary	159	1	0	0	0	
351	Loạn Hoàn Kích	TangMen	Missiles	50	Stationary	161	1	0	0	0	
710	Mê Ảnh Tung	TangMen	Melee	0	13	0	0	0	0	3	
1069	Vô Ảnh Xuyên	TangMen	Missiles	360	Single	331	1	0	0	3	
1070	Thiết Liên Tứ Sát	TangMen	Missiles	470	Stance	332	1	0	0	5	
1071	Càn Khôn Nhất Trịch	TangMen	Missiles	360	Fan	333	5	0	0	2	
1110	Tích Lịch Loạn Hoàn Kích	TangMen	Missiles	420	Single	374	1	0	0	0	
80	Phiêu Tuyết Xuyên Vân	EMei	Missiles	240	Single	68	1	0	0	5	VLTK.Model.SourceAssetId
81	Thu Phong Diệp	EMei	InitiativeNpcState	0	Stationary	204	1	0	0	0	
82	Tứ Tượng Đồng Quy	EMei	Missiles	570	Stance	101	1	0	0	5	
83	Vọng Nguyệt	EMei	InitiativeNpcState	180	Stationary	205	1	0	0	0	
84	Phong Vũ Phiêu Hương	EMei	InitiativeNpcState	180	Stance	0	0	0	0	0	
85	Nhất Diệp Tri Thu	EMei	Missiles	180	Single	2	1	0	0	5	
86	Lưu Thủy	EMei	InitiativeNpcState	180	Stationary	206	1	0	0	0	
88	Bất Diệt Bất Tuyệt	EMei	Missiles	360	Single	3	1	0	0	0	
89	Mộng Điệp	EMei	InitiativeNpcState	180	Stationary	207	1	0	0	0	
91	Phật Quang Phổ Chiếu	EMei	Missiles	400	Stationary	4	1	0	0	5	
92	Phật Tâm Từ Hữu	EMei	InitiativeNpcState	180	Stationary	208	1	0	0	0	
93	Từ Hàng Phổ Độ	EMei	Missiles	400	Stance	5	1	0	0	5	
29	Trảm Long Quyết	TianWang	Melee	72	12	405	1	0	2	0	
30	Hồi Phong Lạc Nhạn	TianWang	Melee	90	12	219	2	0	2	0	
31	Hành Vân Quyết	TianWang	Melee	72	12	406	1	0	2	0	
32	Vô Tâm Trảm	TianWang	Melee	90	12	220	1	0	2	0	
33	Tĩnh Tâm Quyết	TianWang	InitiativeNpcState	0	Stationary	0	0	0	2	0	
34	Kinh Lôi Trảm	TianWang	Melee	72	12	404	1	0	2	0	
35	Dương Quan Tam Điệp	TianWang	Melee	90	12	221	3	0	2	0	
37	Bát Phong Trảm	TianWang	Melee	90	12	222	1	0	2	0	
40	Đoạn Hồn Thích	TianWang	Melee	200	11	224	1	0	2	3	
41	Huyết Chiến Bát Phương	TianWang	Melee	90	12	225	4	0	2	0	
42	Kim Chung Tráo	TianWang	InitiativeNpcState	0	Stationary	0	0	0	2	0	
63	Độc Sa Chưởng	WuDu	Missiles	180	Single	30	1	0	0	5	
64	Băng Lam Huyền Tinh	WuDu	Missiles	440	Stance	20	1	0	0	0	
65	Huyết Đao Độc Sát	WuDu	Missiles	400	Single	31	1	0	0	5	
67	Cửu Thiên Cuồng Lôi	WuDu	Missiles	440	Stance	20	1	0	0	0	
68	U Minh Khô Lâu	WuDu	Missiles	400	Single	32	1	0	0	5	
69	Vô Hình Độc	WuDu	InitiativeNpcState	400	Stationary	203	1	0	0	0	
70	Chích Dương Thệ Thiên	WuDu	Missiles	440	Stance	20	1	0	0	0	
71	Thiên Cương Địa Sát	WuDu	Missiles	420	Stance	33	1	0	0	0	
72	Xuyên Tâm Độc Thích	WuDu	Missiles	440	Stance	20	1	0	0	0	
73	Vạn Độc Thực Tâm	WuDu	Missiles	440	Stance	20	1	0	0	0	
74	Chu Cáp Thanh Minh	WuDu	Missiles	400	Single	34	2	0	0	5	
76	Di Hoa Tiếp Ngọc	WuDu	InitiativeNpcState	0	Stationary	0	0	0	0	0	
99	Phong Hoa Tuyết Nguyệt	CuiYan	Missiles	360	Single	6	1	0	0	5	
100	Hộ Thể Hàn Băng	CuiYan	InitiativeNpcState	0	Stationary	0	0	0	0	0	
101	Trị Liệu Thuật	CuiYan	Missiles	400	Stance	13	1	0	0	5	
102	Phong Quyển Tàn Tuyết	CuiYan	Missiles	360	Single	7	1	0	0	5	
103	Thiên Lý Băng Phong	CuiYan	InitiativeNpcState	0	Stationary	0	0	0	0	0	
105	Vũ Đả Lê Hoa	CuiYan	Missiles	300	Stance	8	4	0	0	5	
108	Mục Dã Lưu Tinh	CuiYan	Missiles	420	Stance	9	1	0	0	0	
109	Tuyết Ảnh	CuiYan	InitiativeNpcState	0	Stationary	0	0	0	0	5	
111	Bích Hải Triều Sinh	CuiYan	Missiles	72	Stationary	10	1	0	0	0	
113	Phù Vân Tán Tuyết	CuiYan	Missiles	400	Stance	12	1	0	0	5	
135	Tàn Dương Như Huyết	TianRen	Missiles	270	Single	54	1	0	0	5	
136	Hỏa Liên Phần Hoa	TianRen	Missiles	440	Stance	20	1	0	0	0	
137	Ảo Ảnh Phi Hồ	TianRen	Missiles	440	Stance	20	1	0	0	0	
138	Thôi Sơn Điền Hải	TianRen	Missiles	400	Single	55	10	0	0	10	
139	Hỗn Thủy Mạc Ngư	TianRen	Missiles	60	Single	70	1	0	0	0	
140	Phi Hồng Vô Tích	TianRen	Missiles	440	Stance	20	1	0	0	0	
141	Liệt Hỏa Tình Thiên	TianRen	Missiles	72	Surround	56	16	0	0	5	
142	Thâu Thiên Hoán Nhật	TianRen	Missiles	60	Single	69	1	0	0	0	
143	Lịch Ma Đoạt Hồn	TianRen	Missiles	440	Stance	20	1	0	0	0	
145	Đơn Chỉ Liệt Diệm	TianRen	Missiles	280	Single	57	1	0	0	5	
146	Ngũ Hành Trận	TianRen	InitiativeNpcState	180	Stationary	226	1	0	0	0	
147	Huyền Minh Hấp Tinh	TianRen	Missiles	60	Single	71	1	0	0	0	
148	Ma Diệm Thất Sát	TianRen	Missiles	570	Stance	58	1	0	0	0	
149	Thực Cốt Huyết Nhận	TianRen	InitiativeNpcState	0	Stationary	0	0	0	0	0	
150	Thiên Ma Giải Thể	TianRen	InitiativeNpcState	0	Stationary	0	0	0	0	0	
361	Vân Long Kích	None	Missiles	60	Single	169	1	0	0	0	
362	Thiên Ngoại Lưu Tinh	None	Missiles	420	Stance	171	1	0	0	0	
363	Nghiệp Hỏa Phần Thành	None	Missiles	570	Surround	170	1	0	0	0	
364	Bi Tô Thanh Phong	None	Missiles	440	Stance	20	1	0	0	0	
1075	Giang Hải Não Lan	None	Missiles	60	Single	337	1	0	0	0	
1076	Tật Hỏa Liệu Nguyên	None	Missiles	570	Stance	366	1	0	0	0	
192	Ngự Phong Thuật	None	InitiativeNpcState	0	Surround	0	0	0	0	0	
371	Nhân Kiếm Hợp Nhất Start	None	InitiativeNpcState	0	Surround	0	0	0	0	0	
90	Mê Tung Ảo Ảnh	KunLun	Missiles	440	Stance	20	1	0	0	0	
169	Hô Phong Pháp	KunLun	Missiles	300	Single	14	1	0	0	5	
171	Thanh Phong Phù	KunLun	Missiles	440	Stance	19	1	0	0	5	
172	Thiên Tế Tấn Lôi	KunLun	Missiles	360	Single	15	1	0	0	5	
174	Ki Bán Phù	KunLun	Missiles	440	Stance	20	1	0	0	5	
175	Khi Hàn Ngạo Tuyết	KunLun	Missiles	440	Stance	20	1	0	0	0	
176	Cuồng Phong Sậu Điện	KunLun	Missiles	180	Single	16	1	0	0	5	
179	Cuồng Lôi Chấn Địa	KunLun	Missiles	400	Stance	17	1	0	0	5	
181	Khí Tâm Phù	KunLun	Missiles	440	Stance	22	1	0	0	2	
182	Ngũ Lôi Chánh Pháp	KunLun	Missiles	470	Stance	18	4	0	0	0	
372	KunLun 372	KunLun	Missiles	400	Single	178	1	0	0	5	
375	KunLun 375	KunLun	Missiles	470	Stance	181	4	0	0	2	
392	KunLun 392	KunLun	Missiles	470	Stance	290	1	0	0	0	
393	KunLun 393	KunLun	Missiles	440	Stance	20	1	0	0	0	
394	KunLun 394	KunLun	Missiles	440	Stance	20	1	0	0	0	
1080	KunLun 1080	KunLun	Missiles	400	Single	342	1	0	0	5	
1081	KunLun 1081	KunLun	Missiles	512	Stance	372	1	0	0	5	
55	Thối Độc Thuật	TangMen	Missiles	400	Surround	0	1	0	0	0	VLTK.Model.SourceAssetId
57	Băng Phách Hàn Quang	TangMen	Missiles	400	Surround	0	1	0	0	0	VLTK.Model.SourceAssetId
38	TM_Rel_38	None	Melee	0	10	223	1	0	0	0	
106	TM_Rel_106	None	Summon	0	Single	0	0	0	0	0	
227	TM_Rel_227	None	Missiles	0	Surround	36	3	0	0	0	
301	TM_Rel_301	None	Missiles	0	Surround	126	8	0	0	0	
304	TM_Rel_304	None	Missiles	0	Stance	128	4	0	0	0	
331	TM_Rel_331	None	Missiles	0	Surround	144	4	0	0	0	
332	TM_Rel_332	None	InitiativeNpcState	180	Stationary	333	1	0	0	0	
333	TM_Rel_333	None	Missiles	0	Surround	137	1	0	0	0	
340	TM_Rel_340	None	Missiles	0	Stationary	150	1	0	0	0	
344	TM_Rel_344	None	Missiles	0	Stance	154	4	0	0	0	
346	TM_Rel_346	None	Missiles	0	Stance	156	4	0	0	0	
348	TM_Rel_348	None	Missiles	0	Stance	158	4	0	0	0	
350	TM_Rel_350	None	Missiles	0	Stance	160	4	0	0	0	
352	TM_Rel_352	None	Missiles	0	Stance	162	4	0	0	0	
374	TM_Rel_374	None	Missiles	0	Stance	180	1	0	0	0	
1097	TM_Rel_1097	None	Missiles	0	Stationary	359	1	0	0	0	
1098	TM_Rel_1098	None	Missiles	0	Surround	360	8	0	0	0	
1113	TM_Rel_1113	None	Missiles	0	Stationary	161	1	0	0	0	
170	Đại Lãng Thực Không	KunLun	InitiativeNpcState	0	Stationary	0	0	0	0	0	
177	Bách Xuyên Nạp Hải	KunLun	InitiativeNpcState	440	Stationary	0	0	0	0	0	
180	Độc Tê Tị Tà	KunLun	InitiativeNpcState	0	Stationary	0	0	0	0	0	
183	Tuế Nguyệt Vô Tình	KunLun	Missiles	180	Stance	23	1	0	0	5	
184	Kim Thiền Thoát Xác	KunLun	InitiativeNpcState	0	Stationary	0	0	0	0	0	
22	KL_Rel_22	None	Missiles	0	None	0	0	0	0	0	
290	KL_Rel_290	None	Missiles	0	None	0	0	0	0	0	
387	KL_Rel_387	None	Missiles	0	None	0	0	0	0	0	
399	KL_Rel_399	None	Missiles	0	None	0	0	0	0	0	
1109	KL_Rel_1109	None	Missiles	0	None	0	0	0	0	0	
243	EM_Rel_243	None	Missiles	400	Surround	1	4	0	0	5	
329	EM_Rel_329	None	Missiles	400	Stationary	143	1	0	0	3	
1089	EM_Rel_1089	None	Missiles	800	Surround	325	8	0	0	0	
1115	EM_Rel_1115	None	Missiles	400	Stance	376	1	0	0	5	
398	CY_Rel_398	None	Missiles	360	Single	196	16	0	0	5	
112	CY_Rel_112	None	Missiles	0	Surround	11	16	0	0	0	
338	CY_Rel_338	None	Missiles	400	Stationary	148	1	0	0	5	
1064	CY_Rel_1064	None	Missiles	400	Fan	354	5	0	0	5	
1093	CY_Rel_1093	None	Missiles	400	Stationary	355	1	0	0	0	
1102	CY_Rel_1102	None	Missiles	240	None	362	3	0	0	2	
723	TR_Rel_723	None	14	180	Stationary	273	1	0	0	0	
1131	TR_Rel_1131	None	Missiles	60	Single	337	1	0	0	3	
337	TR_Rel_337	None	Missiles	240	Single	147	1	0	0	2	
354	WDU_Rel_354	None	Missiles	420	None	164	1	0	0	0	
383	WDU_Rel_383	None	Missiles	420	None	204	1	0	0	0	
1094	WDU_Rel_1094	None	Missiles	420	Stance	356	1	0	0	13	
1095	WDU_Rel_1095	None	Missiles	420	None	357	1	0	0	0	
738	WD_Rel_738	None	Missiles	0	Stationary	275	1	0	0	0	
1107	WD_Rel_1107	None	Missiles	470	Stationary	369	1	0	0	0	
1216	Đăng Điệp Đại Chiêu Âm Tào Địa Trảo	None	Missiles	420	Surround	400	16	0	0	0	VLTK.Model.SourceAssetId
1217	Kỹ năng Mod 1217	None	Missiles	420	None	400	1	0	0	0	VLTK.Model.SourceAssetId
1218	Kỹ năng Mod 1218	None	Missiles	420	Surround	400	10	0	0	0	VLTK.Model.SourceAssetId
1219	Kỹ năng Mod 1219	None	Missiles	420	None	401	1	0	0	54	VLTK.Model.SourceAssetId
1230	Minh Kính Vô Di	EMei	InitiativeNpcState	0	None	0	0	0	0	2	VLTK.Model.SourceAssetId
1231	Du Long Chân Khí	WuDang	Missiles	0	None	275	1	0	0	0	VLTK.Model.SourceAssetId
1232	Hồn ảnh Tùng Sanh	WuDu	Missiles	420	None	357	1	0	0	0	VLTK.Model.SourceAssetId
1233	Xác suất hóa giảI sát thương hoàn toàn	None	InitiativeNpcState	0	None	0	0	0	0	0	VLTK.Model.SourceAssetId
1234	Từ Hàng Phổ Độ	EMei	Missiles	400	None	5	1	0	0	5	VLTK.Model.SourceAssetId
1235	Dung Tuyết Vô Tung	EMei	InitiativeNpcState	0	None	0	0	0	0	2	VLTK.Model.SourceAssetId
1236	Ma Âm Phệ Phách	TianRen	InitiativeNpcState	0	None	0	0	0	0	0	VLTK.Model.SourceAssetId
1237	Thiên Hành Khí Công	EMei	InitiativeNpcState	0	None	0	0	0	0	2	VLTK.Model.SourceAssetId
1238	Âm Dương Khí Quyết	EMei	InitiativeNpcState	0	None	0	0	0	0	2	VLTK.Model.SourceAssetId
1239	Tiên Thiên Cương Khí	EMei	InitiativeNpcState	0	None	0	0	0	0	2	VLTK.Model.SourceAssetId
1240	Kỹ năng Mod 1240	None	InitiativeNpcState	0	None	0	0	0	0	0	
1241	Kỹ năng Mod 1241	None	InitiativeNpcState	0	None	0	0	0	0	0	
1242	Kỹ năng Mod 1242	None	InitiativeNpcState	0	None	0	0	0	0	0	
1243	Kỹ năng Mod 1243	None	InitiativeNpcState	0	None	0	0	0	0	0	
1244	Kỹ năng Mod 1244	None	InitiativeNpcState	0	None	0	0	0	0	0	
1245	Kỹ năng Mod 1245	None	InitiativeNpcState	0	None	0	0	0	0	0	
1246	Kỹ năng Mod 1246	None	InitiativeNpcState	0	None	0	0	0	0	0	
1247	Kỹ năng Mod 1247	None	InitiativeNpcState	0	None	0	0	0	0	0	
1248	Kỹ năng Mod 1248	None	InitiativeNpcState	0	None	0	0	0	0	0	
1250	ºÚẫủÍã¿ứìỗệọ	None	Missiles	440	None	275	1	0	0	0	
1252	ºÚẫủằÔÍúìỗệọ	None	Missiles	440	None	275	1	0	0	0	
1254	ºÚẫủàÀÅÛáăệỳ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1256	ºÚẫủÃÍềÂéơìểáăệỳ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1258	Kỹ năng Mod 1258	None	InitiativeNpcState	0	None	0	0	0	0	0	
1263	ẹèằăéƯểù	CuiYan	Missiles	800	None	108	1	0	0	0	VLTK.Model.SourceAssetId
1265	ằÔÍú7ºÅáăệỳ	None	Missiles	440	None	275	1	0	0	0	
1267	Kỹ năng Mod 1267	None	InitiativeNpcState	0	None	0	0	0	0	0	
1268	Íổẳềạõằã-200ẳả	None	InitiativeNpcState	0	None	0	0	0	0	0	
1269	Người Tuyết	None	Missiles	400	Single	402	1	0	0	5	
1270	Ông Già Noel	None	Missiles	400	Single	402	1	0	0	5	
1271	Thiên Sứ Giáng Sinh	None	Missiles	400	Single	402	1	0	0	5	
1272	Kỹ năng Mod 1272	None	Missiles	400	Single	402	1	0	0	5	
1273	Kỹ năng Mod 1273	None	Missiles	400	Single	402	1	0	0	5	
1274	Tinh Linh	None	Missiles	400	Single	402	1	0	0	5	
1275	Heo trắng	None	Missiles	400	Single	402	1	0	0	5	
1276	Bạch Hổ	None	Missiles	400	Single	402	1	0	0	5	
1278	Kỹ năng Mod 1278	None	Missiles	800	Surround	403	8	0	0	0	
1279	Kỹ năng Mod 1279	None	Missiles	800	Surround	403	4	0	0	0	
1280	Kỹ năng Mod 1280	None	Missiles	800	None	403	1	0	0	0	
1285	ậộạầéĐạỷ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1286	ềìậốéĐạỷ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1287	ễẵÄẽèỡẽÂẻịàéầ°ấđạõằã	None	InitiativeNpcState	0	None	0	0	0	0	0	
1288	ễẵÄẽàụầđẳẳÄĩ	CuiYan	Missiles	800	None	404	4	0	0	0	
1289	ễẵÄẽể°ẻốãỗầéÀâếạẳẳÄĩ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1291	ÄờấịÅÚ	TangMen	Missiles	800	Single	396	1	0	0	3	
1292	ÄờấịÅÚ±ơếă	TangMen	Missiles	800	None	398	1	0	0	6	VLTK.Model.SourceAssetId
1293	éÂÄờìÊáÊÊăạƠÊâ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1294	éÂÄờìÊáÊÊăãÀÊâ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1295	Kỹ năng Mod 1295	EMei	InitiativeNpcState	180	None	1170	1	0	0	0	
1297	°Áẩằếẵềõìểà¯	EMei	Missiles	440	Surround	92	1	0	0	0	
1298	Tăng Sinh lực (%)	None	InitiativeNpcState	0	None	0	0	0	0	0	
1299	Tăng Nội lực (%)	None	InitiativeNpcState	0	None	0	0	0	0	0	
1300	Giảm thọ thương	None	InitiativeNpcState	0	None	0	0	0	0	0	
1301	Giảm thời gian trúng độc	None	InitiativeNpcState	0	None	0	0	0	0	0	
1302	Giảm thời gian trì hoãn	None	InitiativeNpcState	0	None	0	0	0	0	0	
1303	ẳừẹÊễẻấ±ẳọ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1304	Tăng kháng hoàn toàn	None	InitiativeNpcState	0	None	0	0	0	0	0	
1305	ẹêÄÚẫẽẽịễửẳểÊă°Ùãệ±ẩÊâ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1306	Tăng tốc độ chạy	None	InitiativeNpcState	0	None	0	0	0	0	0	
1307	Tăng né tránh	None	InitiativeNpcState	0	None	0	0	0	0	0	
1308	Kỹ năng Mod 1308	None	InitiativeNpcState	0	None	0	0	0	0	0	
1309	ẳểạƠậÙ	None	InitiativeNpcState	0	None	0	0	0	0	0	
1310	Hợp thành kĩ năng công kích	None	InitiativeNpcState	0	None	0	0	0	0	0	
1311	Tăng tỉ lệ trọng kích	None	InitiativeNpcState	0	None	0	0	0	0	0	
1312	Kỹ năng Mod 1312	None	InitiativeNpcState	0	None	0	0	0	0	0	
1317	Sát khí quyết	None	InitiativeNpcState	0	None	0	0	0	0	0	
1318	Trường sinh quyết	None	InitiativeNpcState	0	None	0	0	0	0	0	
1320	Xuyên Thạch	None	InitiativeNpcState	600	None	275	1	0	0	0	
1322	Hư Nhược Vô Lực	None	InitiativeNpcState	400	None	273	1	0	0	0	
1324	Nhật Nhiên	None	InitiativeNpcState	440	None	275	1	0	0	0	
1326	Huyết Dũng	None	InitiativeNpcState	440	None	275	1	0	0	0	
1328	Tàn Phong Vân Quyền	None	Missiles	400	None	273	1	0	0	0	
1330	phiến	None	InitiativeNpcState	440	None	275	1	0	0	0	
