SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Thóy Yªn ®ao ph¸p	Hç trî bÞ ®éng	95	603	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_df.spr				0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua	addphysicsdamage_p	cuiyan_daofa	deadlystrikeenhance_p	cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		cuiyan_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
Thóy Yªn song ®ao	Hç trî bÞ ®éng	97	604	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_sd.spr				0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua	addcoldmagic_v	cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		cuiyan_shuangdao		T¨ng hiÖu qu¶ sö dông ®ao.
Phong Hoa TuyÕt NguyÖt	C«ng kÝch néi c«ng 	99	601	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_01.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k006.wav	0	0	0	0	0	360	15	0	0	2	1	6	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0	0	0	0				0	0	0	2	1	\script\skill\cuiyan.lua	physicsenhance_p	fenghua_xueyue	addskilldamage1	fenghua_xueyue	missle_speed_v	fenghua_xueyue	skill_attackradius	fenghua_xueyue	skill_cost_v	fenghua_xueyue	seriesdamage_p	fenghua_xueyue	colddamage_v	fenghua_xueyue	addskilldamage2	fenghua_xueyue	addskilldamage3	fenghua_xueyue	addskilldamage4	fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		fenghua_xueyue		Thóy Yªn nhËp m«n, dïng b¨ng s¸t th­¬ng ®èi ph­¬ng.
Hé ThÓ Hµn B¨ng 	Chñ ®éng hç trî chiÕn ®Êu	100	600	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_02.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr	\sound\skill\»¤Ìåº®±ù.wav	\sound\skill\sound_k017.wav	31	3	0	2	0	0	0	0	0	2	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0	0	0	0				0	0	0	-1	1	\script\skill\cuiyan.lua	meleedamagereturn_p	huti_hanbing	rangedamagereturn_p	huti_hanbing	skill_cost_v	huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		huti_hanbing		Thóy Yªn T©m ph¸p, ph¶n l¹i ®ßn s¸t th­¬ng cña ®èi ph­¬ng.
TrÞ liÖu thuËt	chñ ®éng håi phôc thuéc tÝnh	101		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_03.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k006.wav	0	0	0	2	0	400	0	0	0	2	6	13	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua	lifereplenish_v		skill_cost_v																																							S¬ cÊp y thuËt, gióp ®ång ®éi phôc håi chót Ýt sinh lùc.
Phong QuyÓn Tµn TuyÕt	C«ng kÝch néi c«ng 	102	602	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_11.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k007.wav	0	0	0	0	0	360	15	0	0	2	1	7	-1	1	1	11	1	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	398	0	0	0	0	0	0	0	10	20	-2	1	0	0	0	0	0	0				0	0	0	2	1	\script\skill\cuiyan.lua	physicsdamage_v	fengjuan_canxue	addskilldamage1	fengjuan_canxue	missle_speed_v	fengjuan_canxue	skill_attackradius	fengjuan_canxue	skill_cost_v	fengjuan_canxue	seriesdamage_p	fengjuan_canxue	addskilldamage2	fengjuan_canxue	addskilldamage3	fengjuan_canxue	addskilldamage4	fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		fengjuan_canxue		Thóy Yªn trung cÊp chiªu thøc,s¸t th­¬ng trªn diÖn réng.
Thiªn Lý B¨ng Phong 	Chñ ®éng hç trî chiÕn ®Êu	103		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_12.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k017.wav	32	3	0	2	0	0	0	0	0	2	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0	0	0	0				0	0	0	-1	1	\script\skill\cuiyan.lua	rangedamagereturn_v		skill_cost_v																																							§éc M«n Kú C«ng,  B¨ng s¸t cùc cao
Vò §¶ Lª Hoa	C«ng kÝch néi c«ng 	105	601	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\Óê´òÀæ»¨.wav	0	0	0	0	0	300	15	3	10	2	6	8	-1	4	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	1	1	0	0	0	0	0	0				0	0	0	2	1	\script\skill\cuiyan.lua	physicsenhance_p	yuda_lihua	addskilldamage1	yuda_lihua	skill_attackradiu	yuda_lihua	skill_cost_v	yuda_lihua	seriesdamage_p	yuda_lihua	colddamage_v	yuda_lihua	addskilldamage2	yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		yuda_lihua		Thóy Yªn trung cÊp chiªu thøc, B¨ng s¸t cùc cao.
Môc D· L­u Tinh	C«ng kÝch ngo¹i c«ng  	108	601	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_31.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k009.wav	0	0	0	0	0	420	0	0	0	2	6	9	-1	1	1	11	0	0	0		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	1	1	0	0	1	0	0	0				0	0	0	2	1	\script\skill\cuiyan.lua	physicsenhance_p	muye_liuxing	colddamage_v	muye_liuxing	addskilldamage1	muye_liuxing	skill_attackradius	muye_liuxing	skill_cost_v	muye_liuxing	seriesdamage_p	muye_liuxing	addskilldamage2	muye_liuxing	addskilldamage3	muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		Thóy Yªn Chiªu thøc cao cÊp, B¨ng s¸t cùc kú lîi h¹i
TuyÕt ¶nh	Chñ ®éng hç trî c«ng kÝch	109	600	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_32.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k017.wav	33	3	0	2	0	0	0	0	0	2	7	0	-1	0	0	11	0	0	5		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0	0	0	0				0	0	0	-1	1	\script\skill\cuiyan.lua	attackspeed_v	xueying	castspeed_v	xueying	skill_cost_v	xueying	fastwalkrun_p	xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		Thóy Yªn Cao cÊp Néi c«ng, t¨ng tèc ®é di chuyÓn vµ xuÊt chiªu.
BÝch H¶i TriÒu Sinh	C«ng kÝch néi c«ng 	111	602	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_41.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr	0	\sound\skill\sound_k010.wav	0	0	0	0	0	72	0	0	0	2	7	10	-1	1	1	11	1	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	112	0	0	0	0	0	0	0	60	20	-2	1	0	0	0		0					0	0	0	2	1	\script\skill\cuiyan.lua	physicsdamage_v	bihai_chaosheng	colddamage_v	bihai_chaosheng	addskilldamage1	bihai_chaosheng	skill_cost_v	bihai_chaosheng	addskilldamage2	bihai_chaosheng	seriesdamage_p	bihai_chaosheng	addskilldamage3	bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		Chiªu thøc cao cÊp (Song ®ao) , B¨ng s¸t cùc kú lîi h¹i.
Phï V©n T¸n TuyÕt	C«ng kÝch néi c«ng 	113	602	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_42.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k010.wav	0	0	0	0	0	400	0	0	0	2	6	12	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	0	0	0		0					0	0	0	2	1	\script\skill\cuiyan.lua	colddamage_v	fuyun_sanxue	addskilldamage1	fuyun_sanxue	skill_attackradius	fuyun_sanxue	skill_cost_v	fuyun_sanxue	seriesdamage_p	fuyun_sanxue	addskilldamage2	fuyun_sanxue	addskilldamage3	fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		Thóy Yªn trung cÊp chiªu thøc, B¨ng s¸t cùc kú lîi h¹i.
B¨ng Cèt TuyÕt T©m	Chñ ®éng hç trî c«ng kÝch	114	9999	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_43.spr				0	0	0	3	0	0	0	0	0	2	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua	addcoldmagic_v	binggu_xuexin	addcolddamage_v	binggu_xuexin	deadlystrikeenhance_p	binggu_xuexin	coldenhance_p	binggu_xuexin	addphysicsmagic_v	binggu_xuexin	lifemax_yan_p	binggu_xuexin	fasthitrecover_yan_v	binggu_xuexin	allres_yan_p	binggu_xuexin	me2firedamage_p	binggu_xuexin	fire2medamage_p	binggu_xuexin	anti_block_rate	binggu_xuexin	enhancehit_rate	binggu_xuexin	returnres_p	binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		Néi c«ng chÝ cao, dïng b¨ng baov©y khiÕn ®èi ph­¬ng kh«ng thÓ xoay së.
B¨ng T©m Tr¸i ¶nh	chñ ®éng håi phôc thuéc tÝnh	269	600	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_23.spr	\spr\skill\´äÑÌ\mag_cy_11_²¹ÑªÊõ.spr		\sound\skill\sound_k006.wav	0	0	0	2	0	0	0	0	0	2	6	111	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua	lifereplenish_v	bingxin_qianying	skill_cost_v	bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		S¬ cÊp trÞ  liÖu, tù m×nh håi phôc Sinh lùc.
