SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
C«ng kÝch vËt lý gÇn 	C«ng kÝch ngo¹i c«ng  	2	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_at.spr				0	0	0	0	0	320	0	0	0	0	1	65	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	0	-1	1	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					C«ng kÝch vËt lý 
ThiÕu L©m KiÕm ph¸p	Hç trî bÞ ®éng	3	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\½£·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\saolin\ÉÙÁÖ½£·¨.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																																					T¨ng hiÖu qu¶ sö dông kiÕm.
ThiÕu L©m c«n ph¸p	Hç trî bÞ ®éng	4	206	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_gf.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_gunfa	attackratingenhance_p	shaolin_gunfa	deadlystrikeenhance_p	shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		T¨ng hiÖu qu¶ sö dông c«n.
ThiÕu L©m th­¬ng ph¸p (##) 	Hç trî bÞ ®éng	5		3	\spr\Ui\¼¼ÄÜÍ¼±ê\Ç¹·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																																					T¨ng hiÖu qu¶ sö dông th­¬ng.
U Minh Kh« L©u	C«ng kÝch néi c«ng 	68	402	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_21.spr	\spr\skill\Îå¶¾½Ì\wdu_13_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	400	0	0	0	3	1	32	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	0	0	0		0					0	0	0	1	1	\script\skill\wudu.lua	poisondamage_v	youming_kulou	addskilldamage1	youming_kulou	missle_speed_v	youming_kulou	skill_attackradius	youming_kulou	skill_cost_v	youming_kulou	seriesdamage_p	youming_kulou	addskilldamage2	youming_kulou	addskilldamage3	youming_kulou	addskilldamage4	youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		trung cÊp chiªu thøc, Ho¶ s¸t cùc cao.
TrÞ liÖu thuËt	chñ ®éng håi phôc thuéc tÝnh	101		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_03.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k006.wav	0	0	0	2	0	400	0	0	0	2	6	13	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua	lifereplenish_v		skill_cost_v																																							S¬ cÊp y thuËt, gióp ®ång ®éi phôc håi chót Ýt sinh lùc.
Th©u Thiªn Ho¸n NhËt	C«ng kÝch ngo¹i c«ng  	142	801	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_22.spr	\spr\skill\ÌìÈÌ\mag_tr_09_ÍµÌì»»ÈÕ.spr	\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	60	0	0	0	4	1	69	-1	1	1	9	0	1	0		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	3	0	100	0	0		0					0	0	0	3	1	\script\skill\tianren.lua	physicsenhance_p	toutian_huanri	firedamage_v	toutian_huanri	addskilldamage1	toutian_huanri	steallife_p	toutian_huanri	stealmana_p	toutian_huanri	missle_speed_v	toutian_huanri	skill_attackradius	toutian_huanri	skill_cost_v	toutian_huanri	missle_lifetime_v	toutian_huanri	seriesdamage_p	toutian_huanri	deadlystrike_p	toutian_huanri	addskilldamage2	toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		MËt truyÒn kú c«ng, hót sinh lùc ®èi ph­¬ng vÒ m×nh.
Hång Ba 		186		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_42.spr				0	0	0	2	0	180	0	1	0	0	3	79	-1	32	1	11	0	0	0		1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\saolin\ÐÐÁú²»Óê.lua																																										
Quan ¢m T¸n TuyÕt 		191		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_42.spr				0	0	0	2	0	180	0	1	0	2	6	81	-1	7	1	11	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\chuiyang\¹ÛÒôÉ¢Ñ©.lua	colddamage_v		skill_cost_v																																							
L­u Thñy 		206		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr		0	0	39	2	0	2	0	180	0	0	0	2	3	92	-1	1	1	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\emei.lua	fastwalkrun_p	liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		liushui		
