SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
ThiÕu L©m KiÕm ph¸p	Hç trî bÞ ®éng	3	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\½£·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\saolin\ÉÙÁÖ½£·¨.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																																					T¨ng hiÖu qu¶ sö dông kiÕm.
ThiÕu L©m c«n ph¸p	Hç trî bÞ ®éng	4	206	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_gf.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_gunfa	attackratingenhance_p	shaolin_gunfa	deadlystrikeenhance_p	shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		T¨ng hiÖu qu¶ sö dông c«n.
ThiÕu L©m ®ao ph¸p	Hç trî bÞ ®éng	6	208	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_df.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_daofa	deadlystrikeenhance_p	shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
ThiÕu L©m quyÒn ph¸p	Hç trî bÞ ®éng	8	207	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_qf.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_quanfa	attackratingenhance_p	shaolin_quanfa	deadlystrikeenhance_p	shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		T¨ng hiÖu qu¶ c«ng kÝch tay kh«ng.
Hçn Nguyªn NhÊt KhÝ c«ng	T¨ng c­êng thuéc tÝnh - bÞ  ®éng	9		3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_01.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	staminamax_p																																									NhËp m«n chiªu thøc, t¨ng c­êng thÓ lùc cho ng­êi luyÖn.
Kim Cang Phôc Ma	C«ng kÝch ngo¹i c«ng  	10	204	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_02.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	1	90	5	1	5	1	8	216	-1	1	0	9	0	1	0		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	1	0	0	0		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	jingang_fumo	addskilldamage2	jingang_fumo	missle_speed_v	jingang_fumo	missle_lifetime_v	jingang_fumo	skill_attackradius	jingang_fumo	addskilldamage1	jingang_fumo	seriesdamage_p	jingang_fumo	addskilldamage3	jingang_fumo	addskilldamage4	jingang_fumo	skill_cost_v	jingang_fumo	addskilldamage5	jingang_fumo	addskilldamage6	jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		Vâ c«ng nhËp m«n, tÊn c«ng ng­êi ®¬n lÎ.
Hoµnh T¶o Lôc Hîp	C«ng kÝch ngo¹i c«ng  	11	201	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	1	90	5	1	6	1	7	86	-1	1	1	10	1	1	0		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	50	20	2	1	100	0	32		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	hengsao_liuhe	attackrating_p	hengsao_liuhe	deadlystrike_p	hengsao_liuhe	addskilldamage1	hengsao_liuhe	skill_attackradius	hengsao_liuhe	skill_cost_v	hengsao_liuhe	seriesdamage_p	hengsao_liuhe	colddamage_v	hengsao_liuhe	addskilldamage2	hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		hengsao_liuhe		Vâ c«ng cao cÊp, tÊn c«ng cïng lóc nhiÒu ®èi thñ.
Kim Cang Hé ThÓ 	Hç trî phßng ngù - bÞ  ®éng	12		3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_11.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	adddefense_v																																									Vâ c«ng trung cÊp, t¨ng kh¶ n¨ng phßng ngù.
LËp §Þa Thµnh PhËt  		13		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_13.spr	\spr\skill\ÉÙÁÖ\sl_02_ÇåÐÄèóÒô.spr	\sound\skill\sound_k011.wav	0	0	0	0	2	0	400	0	1	0	1	3	76	-1	1	1	11	1	0	5		0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	188	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	badstatustimereduce_v		skill_cost_v																																							ThiÒn ca, cã thÓ gi¶i trõ ®iÓm kinh nghiÖm ©m
Hµng Long BÊt Vò  	C«ng kÝch néi c«ng 	14	202	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	0	0	0	90	0	0	0	1	7	66	-1	1	1	11	1	1	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	40	0	0		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	xinglong_buyu	addskilldamage1	xinglong_buyu	skill_cost_v	xinglong_buyu	seriesdamage_p	xinglong_buyu	addskilldamage2	xinglong_buyu	addskilldamage3	xinglong_buyu	addskilldamage4	xinglong_buyu	addskilldamage5	xinglong_buyu	addskilldamage6	xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		Vâ c«ng nhËp m«n, s¸t thñ th­¬ngnhiÒu ®èi thñ trong ph¹m vÞ nhÊt ®Þnh
