SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Thiªn NhÉn ®ao ph¸p	Hç trî bŞ ®éng	131	805	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_df.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianren.lua	addfiremagic_v	tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
Thiªn NhÉn m©u ph¸p	Hç trî bŞ ®éng	132	804	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_mf.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianren.lua	addphysicsdamage_p	tianren_maofa	attackratingenhance_p	tianren_maofa	deadlystrikeenhance_p	tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		T¨ng hiÖu qu¶ sö dông Kİch.
Tµn D­¬ng Nh­ HuyÕt	C«ng kİch néi c«ng 	135	801	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_01.spr		\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	0	0	0	0	0	270	0	0	0	4	1	54	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					0	0	0	3	1	\script\skill\tianren.lua	physicsenhance_p	canyang_ruxue	firedamage_v	canyang_ruxue	addskilldamage1	canyang_ruxue	missle_speed_v	canyang_ruxue	skill_attackradius	canyang_ruxue	skill_cost_v	canyang_ruxue	seriesdamage_p	canyang_ruxue	addskilldamage2	canyang_ruxue	addskilldamage3	canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		Vâ c«ng nhËp m«n, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ.
Háa Liªn PhÇn Hoa	Chñ ®éng hç trî chiÕn ®Êu	136	803	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_02.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	22	3	0	2	0	440	0	0	0	4	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianren.lua	meleedamagereturn_p	huolian_fenhua	skill_cost_v	huolian_fenhua	skill_mintimepercast_v	huolian_fenhua	skill_desc	huolian_fenhua	anti_block_rate_buff	huolian_fenhua	skill_mintimepercastonhorse_v	huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		Thiªn NhÉn  tuyÖt kü, lµm gi¶m kh¶ n¨ng ph¶n ®ßn cña ®èi ph­¬ng 
¶o ¶nh Phi Hå 	Hç trî phßng ngù - chñ ®éng	137	803	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_03.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	26	3	0	2	0	440	0	0	0	4	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianren.lua	attackratingenhance_p	huanying_feihu	skill_cost_v	huanying_feihu	skill_mintimepercast_v	huanying_feihu	skill_desc	huanying_feihu	anti_block_rate_buff	huanying_feihu	skill_mintimepercastonhorse_v	huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		Thiªn NhÉn  dŞ thuËt, lµm gi¶m kh¶ n¨ng chiÕn ®Êu cña ®èi ph­ong
Th«i s¬n  §iÒn H¶i	C«ng kİch néi c«ng 	138	802	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_07.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	0	0	0	0	0	400	0	5	5	4	0	55	-1	10	1	11	0	0	10		0	0	0	40	40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	10	0	64		0					0	0	0	3	1	\script\skill\tianren.lua	firedamage_v	tuishan_tianhai	addskilldamage1	tuishan_tianhai	skill_cost_v	tuishan_tianhai	seriesdamage_p	tuishan_tianhai	addskilldamage2	tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		Thiªn NhÉn  trung cÊp chiªu thøc, t¨ng hiÖu qu¶ Ho¶ s¸t 
Hçn Thñy M¹c Ng­ 	C«ng kİch ngo¹i c«ng  	139		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_12.spr	\spr\skill\ÌìÈÌ\mag_tr_09_½èÁ¦´òÁ¦.spr	\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	60	0	0	0	4	1	70	-1	1	1	9	0	1	0		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianren.lua	physicsenhance_p		stealstamina_p		skill_cost_v																																					MËt truyÒn kú c«ng, hót thÓ lùc cña ®èi ph­¬ng vÒ m×nh.
Phi Hång V« Tİch 	Chñ ®éng hç trî c«ng kİch	140	803	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_13.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	27	3	0	2	0	440	0	0	0	4	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianren.lua	adddefense_v	feihong_wuji	skill_cost_v	feihong_wuji	skill_mintimepercast_v	feihong_wuji	skill_desc	feihong_wuji	anti_block_rate_buff	feihong_wuji	skill_mintimepercastonhorse_v	feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		feihong_wuji		Thiªn NhÉn  dŞ thuËt, lµm gi¶m kh¶ n¨ng phßng ngù cña ®èi ph­¬ng.
LiÖt Háa T×nh Thiªn 	C«ng kİch néi c«ng 	141	801	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_21.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	0	0	0	0	0	72	0	1	5	4	3	56	-1	16	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	3	0	0	0	0		0					0	0	0	3	1	\script\skill\tianren.lua	seriesdamage_p	liehuo_qingtian	firedamage_v	liehuo_qingtian	addskilldamage1	liehuo_qingtian	missle_speed_v	liehuo_qingtian	skill_attackradius	liehuo_qingtian	skill_cost_v	liehuo_qingtian	physicsenhance_p	liehuo_qingtian	addskilldamage2	liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		liehuo_qingtian		Thiªn NhÉn  trung cÊp chiªu thøc, s¸t th­¬ng trªn diÖn réng.
Th©u Thiªn Ho¸n NhËt	C«ng kİch ngo¹i c«ng  	142	801	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_22.spr	\spr\skill\ÌìÈÌ\mag_tr_09_ÍµÌì»»ÈÕ.spr	\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	60	0	0	0	4	1	69	-1	1	1	9	0	1	0		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	3	0	100	0	0		0					0	0	0	3	1	\script\skill\tianren.lua	physicsenhance_p	toutian_huanri	firedamage_v	toutian_huanri	addskilldamage1	toutian_huanri	steallife_p	toutian_huanri	stealmana_p	toutian_huanri	missle_speed_v	toutian_huanri	skill_attackradius	toutian_huanri	skill_cost_v	toutian_huanri	missle_lifetime_v	toutian_huanri	seriesdamage_p	toutian_huanri	deadlystrike_p	toutian_huanri	addskilldamage2	toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		toutian_huanri		MËt truyÒn kú c«ng, hót sinh lùc ®èi ph­¬ng vÒ m×nh.
