SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Håi Phong L¹c Nh¹n 		219		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_02.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	60	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	huifeng_luoyan	attackrating_p	huifeng_luoyan	addskilldamage2	huifeng_luoyan	missle_speed_v	huifeng_luoyan	skill_attackradius	huifeng_luoyan	skill_cost_v	huifeng_luoyan	missle_lifetime_v	huifeng_luoyan	seriesdamage_p	huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		C«ng kÝch vËt lý 
V« T©m Tr¶m  		220		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_12.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	40	0	0		0					0	0	0	0	0	\script\skill\tianwang.lua	physicsenhance_p	wuxin_zhan	seriesdamage_p	wuxin_zhan	deadlystrike_p	wuxin_zhan	addskilldamage2	wuxin_zhan	missle_speed_v	wuxin_zhan	skill_attackradius	wuxin_zhan	skill_cost_v	wuxin_zhan	missle_lifetime_v	wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		C«ng kÝch vËt lý 
D­¬ng Quan Tam §iÖp 		221		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_22.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	yangguan_sandie	attackrating_p	yangguan_sandie	addskilldamage2	yangguan_sandie	missle_speed_v	yangguan_sandie	skill_attackradius	yangguan_sandie	skill_cost_v	yangguan_sandie	missle_lifetime_v	yangguan_sandie	seriesdamage_p	yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		yangguan_sandie		C«ng kÝch vËt lý 
B¸t Phong Tr¶m 		222		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_31.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	pofeng_zhan	seriesdamage_p	pofeng_zhan	addskilldamage2	pofeng_zhan	missle_speed_v	pofeng_zhan	skill_attackradius	pofeng_zhan	skill_cost_v	pofeng_zhan	missle_lifetime_v	pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		pofeng_zhan		C«ng kÝch vËt lý 
§o¹n Hån ThÝch 		224		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_41.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	284	-1	1	1	9	0	1	3		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	duanhun_ci	stun_p	duanhun_ci	deadlystrike_p	duanhun_ci	missle_speed_v	duanhun_ci	skill_attackradius	duanhun_ci	skill_cost_v	duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		duanhun_ci		C«ng kÝch vËt lý 
HuyÕt ChiÕn B¸t Ph­¬ng 		225		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_42.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	60	0	0		0					0	0	0	0	0	\script\skill\tianwang.lua	physicsenhance_p	xuezhan_bafang	attackrating_p	xuezhan_bafang	deadlystrike_p	xuezhan_bafang	addskilldamage2	xuezhan_bafang	missle_speed_v	xuezhan_bafang	skill_attackradius	xuezhan_bafang	skill_cost_v	xuezhan_bafang	missle_lifetime_v	xuezhan_bafang	seriesdamage_p	xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		xuezhan_bafang		C«ng kÝch vËt lý 
Ph¸ Thiªn Tr¶m 		326		0	\spr\Ui\skill\ÆÆÌìÕ¶.spr		0	0	0	0	0	0	0	75	0	5	0	0	0	138	-1	3	1	9	0	1	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	40	0	32		65537					0	0	0	0	0	\script\skill\tianwang.lua	physicsenhance_p	potian_zhan	seriesdamage_p	potian_zhan	deadlystrike_p	potian_zhan	missle_speed_v	potian_zhan	skill_attackradius	potian_zhan	skill_cost_v	potian_zhan	addskillexp1	potian_zhan	skill_skillexp_v	potian_zhan	missle_lifetime_v	potian_zhan	attackrating_p	potian_zhan		potian_zhan		potian_zhan		potian_zhan		potian_zhan		potian_zhan		potian_zhan		potian_zhan		potian_zhan		potian_zhan		potian_zhan		C«ng kÝch vËt lý 
Truy Tinh Trôc NguyÖt 		327		0	\spr\Ui\skill\×·ÐÇÖðÔÂ.spr		0	0	0	0	0	0	0	75	0	2	1	0	1	139	-1	1	1	9	0	1	3		0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	60	0	30		0					0	0	0	0	0	\script\skill\tianwang.lua	physicsenhance_p	zhuixing_zhuyue	attackrating_p	zhuixing_zhuyue	deadlystrike_p	zhuixing_zhuyue	missle_speed_v	zhuixing_zhuyue	skill_attackradius	zhuixing_zhuyue	skill_cost_v	zhuixing_zhuyue	missle_lifetime_v	zhuixing_zhuyue	seriesdamage_p	zhuixing_zhuyue	addskillexp1	zhuixing_zhuyue	skill_skillexp_v	zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		zhuixing_zhuyue		C«ng kÝch vËt lý 
Kinh L«i Tr¶m  		404		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_22.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					0	0	0	0	0	\script\skill\tianwang.lua	physicsenhance_p	jinglei_zhan	attackrating_p	jinglei_zhan	addskilldamage2	jinglei_zhan	missle_speed_v	jinglei_zhan	skill_attackradius	jinglei_zhan	skill_cost_v	jinglei_zhan	missle_lifetime_v	jinglei_zhan	seriesdamage_p	jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		C«ng kÝch vËt lý 
Tr¶m Long quyÕt 		405		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_22.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	63	-1	1	1	9	0	1	5		0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					0	0	0	0	0	\script\skill\tianwang.lua	physicsenhance_p	zhanlong_jue		zhanlong_jue	deadlystrike_p	zhanlong_jue	addskilldamage1	zhanlong_jue	missle_speed_v	zhanlong_jue	skill_attackradius	zhanlong_jue	skill_cost_v	zhanlong_jue	missle_lifetime_v	zhanlong_jue	seriesdamage_p	zhanlong_jue	ignoredefense_p	zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		zhanlong_jue		C«ng kÝch vËt lý 
