SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Vâ §ang kiÕm ph¸p	Hç trî bÞ ®éng	151	903	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_jf.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudang.lua	addphysicsdamage_p	wudang_jianfa	attackratingenhance_p	wudang_jianfa	deadlystrikeenhance_p	wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		wudang_jianfa		T¨ng hiÖu qu¶ sö dông kiÕm.
Vâ §ang quyÒn ph¸p	Hç trî bÞ ®éng	152	904	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_qf.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudang.lua	addlightingmagic_v	wudang_quanfa		wudang_quanfa		wudang_quanfa	manashield_p	wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		wudang_quanfa		T¨ng hiÖu qu¶ c«ng kÝch tay kh«ng.
Né L«i ChØ 	C«ng kÝch néi c«ng 	153	902	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_01.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	400	0	0	0	5	1	24	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	4	1	\script\skill\wudang.lua	lightingdamage_v	nulei_zhi	addskilldamage1	nulei_zhi	missle_speed_v	nulei_zhi	skill_attackradius	nulei_zhi	skill_cost_v	nulei_zhi	seriesdamage_p	nulei_zhi	addskilldamage2	nulei_zhi	addskilldamage3	nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		nulei_zhi		Vâ §ang vâ c«ng nhËp m«n,tÊn c«ng ®èi ph­¬ng ®¬n lÎ.
¢m D­¬ng KhÝ (##) 		154		3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_02.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudang.lua	lightingres_p																																									S¬ cÊp t©m ph¸p, t¨ng kh¶ n¨ng phßng L«i.
Th­¬ng H¶i Minh NguyÖt	C«ng kÝch néi c«ng 	155	901	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_13.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	480	0	0	0	5	1	25	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	1	0	0	0		0					0	0	0	4	1	\script\skill\wudang.lua	physicsenhance_p	canghai_mingyue	lightingdamage_v	canghai_mingyue	addskilldamage1	canghai_mingyue	missle_speed_v	canghai_mingyue	skill_attackradius	canghai_mingyue	skill_cost_v	canghai_mingyue	seriesdamage_p	canghai_mingyue	addskilldamage2	canghai_mingyue	addskilldamage3	canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		canghai_mingyue		KiÕm ph¸p nhËp m«n, tÊn c«ng kÎ ®Þch ®¬n lÎ.
ThuÇn D­¬ng T©m ph¸p	T¨ng c­êng thuéc tÝnh - bÞ  ®éng	156		3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_11.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudang.lua	manamax_p																																									c¬ b¶n Néi c«ng, gia t¨ng Néi lùc.
Täa Väng V« Ng· 	Hç trî phßng ngù - chñ ®éng	157	900	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_12.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			19	3	0	2	0	0	0	0	0	5	7	0	-1	0	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudang.lua	manashield_p	zuowang_wuwo	skill_cost_v	zuowang_wuwo	do_stun_p	zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		zuowang_wuwo		§éc M«n T©m ph¸p, dïng Néi lùc bæ khuyÕt cho Sinh lùc.
KiÕm Phi Kinh Thiªn	C«ng kÝch néi c«ng 	158	901	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_22.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	2	0	400	0	0	0	5	6	26	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	0	1	0	0	0		0					0	0	0	4	1	\script\skill\wudang.lua	physicsenhance_p	jianfei_jingtian	lightingdamage_v	jianfei_jingtian	addskilldamage1	jianfei_jingtian	skill_attackradius	jianfei_jingtian	skill_cost_v	jianfei_jingtian	seriesdamage_p	jianfei_jingtian	addskilldamage2	jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		jianfei_jingtian		Trung cÊp chiªu thøc, s¸t th­¬ng trong ph¹m vi nhá.
ThÊt Tinh TrËn	Vßng trßn  hç trî c«ng kÝch	159	900	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_23.spr				20	2	1	2	0	180	0	0	0	5	7	211	-1	1	0	14	0	0	0		0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\wudang.lua	attackratingenhance_p	qingxing_zhen	adddefense_v	qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		qingxing_zhen		Kú m«n trËn ph¸p, t¨ng hiÖu qu¶ chiÕn ®Êu cho ®ång ®éi 
ThÕ V©n Tung	hç trî chiÕn ®Êu- bÞ ®éng	160	900	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_21.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudang.lua	fastwalkrun_p	tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		tiyun_zong		TuyÖt kü khinh c«ng, t¨ng kh¶ n¨ng di chuyÓn
