SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
S­ Tö Hèng 	C«ng kÝch néi c«ng 	20	200	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_42.spr	\spr\skill\ÉÙÁÖ\sl_06_Ê¨×Óºð.spr	\sound\skill\Ê¨×Óºð.wav	0	0	0	0	0	0	90	0	0	0	1	7	77	-1	1	1	11	1	0	2		0	0	0	54	54	0	0	1	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	stun_p	shizi_hou	physicsdamage_v	shizi_hou	skill_cost_v	shizi_hou	skill_eventskilllevel	shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		shizi_hou		ThiÒn ca, khiÕn ®èi ph­¬ng bÞ cho¸ng gi¶m kh¶ n¨ng chiÕn ®Êu.
Håi Phong L¹c Nh¹n	C«ng kÝch ngo¹i c«ng  	30	101	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_61.spr		\sound\skill\sound_k001.wav	0	0	0	0	0	0	90	0	1	10	1	12	219	-1	2	0	9	0	1	0		0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	3	1	60	0	10		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	huifeng_luoyan	attackrating_p	huifeng_luoyan	addskilldamage1	huifeng_luoyan	missle_speed_v	huifeng_luoyan	skill_attackradius	huifeng_luoyan	skill_cost_v	huifeng_luoyan	missle_lifetime_v	huifeng_luoyan	seriesdamage_p	huifeng_luoyan	addskilldamage2	huifeng_luoyan	addskilldamage3	huifeng_luoyan	addskilldamage4	huifeng_luoyan	addskilldamage5	huifeng_luoyan	addskilldamage6	huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		huifeng_luoyan		Th­¬ng ph¸p nhËp m«n, mét lÇn xuÊt liªn tôc 2 chiªu.
Hµng V©n QuyÕt	C«ng kÝch néi c«ng 	31	103	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_12.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	0	72	0	1	8	1	12	406	-1	1	0	9	0	1	0		0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	20	4	1	80	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	xingyun_jue		xingyun_jue	deadlystrike_p	xingyun_jue	addskilldamage1	xingyun_jue	missle_speed_v	xingyun_jue	skill_attackradius	xingyun_jue	skill_cost_v	xingyun_jue	missle_lifetime_v	xingyun_jue	seriesdamage_p	xingyun_jue	ignoredefense_p	xingyun_jue	addskilldamage2	xingyun_jue	addskilldamage3	xingyun_jue	addskilldamage4	xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		xingyun_jue		Chïy Ph¸ptrung cÊp, khiÕn ®èi ph­¬ng rÊt khã xoay së..
V« T©m Tr¶m 	C«ng kÝch ngo¹i c«ng  	32	102	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_11.spr		\sound\skill\sound_k002.wav	0	0	0	0	0	1	90	5	1	5	1	12	220	-1	1	0	9	0	1	0		0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	20	1	0	40	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	wuxin_zhan	seriesdamage_p	wuxin_zhan	deadlystrike_p	wuxin_zhan	addskilldamage1	wuxin_zhan	missle_speed_v	wuxin_zhan	skill_attackradius	wuxin_zhan	skill_cost_v	wuxin_zhan	missle_lifetime_v	wuxin_zhan	addskilldamage2	wuxin_zhan	addskilldamage3	wuxin_zhan	addskilldamage4	wuxin_zhan	addskilldamage5	wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		wuxin_zhan		§ao ph¸p cao cÊp, hiÖu qu¶ s¸t th­¬ng cùc cao.
TÜnh T©m QuyÕt	Chñ ®éng hç trî c«ng kÝch	33	100	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_13.spr		\sound\skill\sound_k002.wav		46	3	0	2	0	0	0	0	0	1	7	0	-1	0	0	11	0	0	0		0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang.lua	attackratingenhance_p	jingxin_jue	skill_cost_v	jingxin_jue	do_hurt_p	jingxin_jue	attackratingenhance_v	jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		jingxin_jue		S¬ cÊp t©m ph¸p, t¨ng ®é chÝnh x¸c c«ng kÝch.
Kinh L«i Tr¶m 	C«ng kÝch ngo¹i c«ng  	34	102	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_01.spr		\sound\skill\sound_k003.wav		0	0	0	0	0	72	0	1	10	1	12	404	-1	1	0	9	0	1	0		0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	1	0	60	0	0		0					0	0	0	0	1	\script\skill\tianwang.lua	physicsenhance_p	jinglei_zhan	seriesdamage_p	jinglei_zhan	addskilldamage1	jinglei_zhan	missle_speed_v	jinglei_zhan	skill_attackradius	jinglei_zhan	skill_cost_v	jinglei_zhan	missle_lifetime_v	jinglei_zhan	addskilldamage2	jinglei_zhan	addskilldamage3	jinglei_zhan	addskilldamage4	jinglei_zhan	addskilldamage5	jinglei_zhan	addskilldamage6	jinglei_zhan	addskilldamage7	jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		jinglei_zhan		§ao ph¸p nhËp m«n, hiÖu qu¶ s¸t th­¬ng kh«ng cao.
Nh©n KiÕm Hîp NhÊt (##) 		163		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_33.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			18	2	1	2	0	0	0	0	0	5	6	215	-1	1	0	11	0	0	0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\wudang.lua	physicsenhance_p	renjian_heyi	attackrating_p	renjian_heyi	stealmanaenhance_p	renjian_heyi	deadlystrike_p	renjian_heyi	stun_p	renjian_heyi	missle_speed_v	renjian_heyi	skill_attackradius	renjian_heyi	skill_cost_v	renjian_heyi	skill_eventskilllevel	renjian_heyi	skill_collideevent	renjian_heyi	skill_startevent	renjian_heyi	skill_showevent	renjian_heyi	addskillexp2	renjian_heyi	skill_skillexp_v	renjian_heyi		renjian_heyi		renjian_heyi		renjian_heyi		renjian_heyi		renjian_heyi		renjian_heyi		Cao cÊp KiÕm ph¸p, chiÕn ®Êu cùc kú lîi h¹i.
V« Ng· V« KiÕm  	C«ng kÝch néi c«ng 	165	902	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_43.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr	0	0	0	0	0	2	0	400	0	1	0	5	2	29	-1	16	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	1	0	0	1		0					0	0	0	4	1	\script\skill\wudang.lua	lightingdamage_v	wuwo_wujian	addskilldamage1	wuwo_wujian	missle_speed_v	wuwo_wujian	skill_attackradius	wuwo_wujian	skill_cost_v	wuwo_wujian	stun_p	wuwo_wujian	seriesdamage_p	wuwo_wujian	skill_misslenum_v	wuwo_wujian	addskilldamage2	wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		wuwo_wujian		QuyÒn Ph¸p cao cÊp, s¸t th­¬ng côc kú hiÖu qu¶.
Môc D· L­u Tinh 		190		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_42.spr				0	0	0	2	0	180	0	1	0	2	6	80	-1	1	1	11	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	1	0	0	0				0	0	0	2	1	\script\skill\cuiyan.lua	physicsenhance_p	muye_liuxing	colddamage_v	muye_liuxing	addskilldamage2	muye_liuxing	skill_attackradius	muye_liuxing	skill_cost_v	muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		muye_liuxing		
V« H×nh §éc 		203		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_22.spr				6	2	0	2	0	180	0	0	0	3	7	94	-1	1	1	14	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudu.lua	poisondamage_v	wuxing_gu		wuxing_gu	fastwalkrun_p	wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		
