SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	IsSaveCd	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
Ngò §éc ®ao ph¸p	Hç trî bÞ ®éng	60	404	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_df.spr				0	0	0	3	0	0	0	0	0	3	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudu.lua	addphysicsdamage_p	wudu_daofa	deadlystrikeenhance_p	wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		wudu_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
Ngò §éc ch­ëng ph¸p	Hç trî bÞ ®éng	62	405	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_zf.spr				0	0	0	3	0	0	0	0	0	3	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudu.lua	addpoisonmagic_v	wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		wudu_zhangfa		ch­ëng ph¸p nhËp m«n, t¨ng hiÖu qu¶ §éc s¸t.
§éc Sa ch­ëng	C«ng kÝch néi c«ng 	63	402	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	0	180	0	0	0	3	1	30	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	1	1	\script\skill\wudu.lua	poisondamage_v	dusha_zhang	addskilldamage1	dusha_zhang	missle_speed_v	dusha_zhang	skill_attackradius	dusha_zhang	skill_cost_v	dusha_zhang	seriesdamage_p	dusha_zhang	addskilldamage2	dusha_zhang	addskilldamage3	dusha_zhang	addskilldamage4	dusha_zhang	addskilldamage5	dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		dusha_zhang		Ngò §éc vâ c«ng nhËp m«n, s¸t th­¬ng ®èi ph­¬ng ®¬n lÎ.
B¨ng Lam HuyÒn Tinh	Chñ ®éng hç trî c«ng kÝch	64	403	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_02.spr	\spr\skill\Îå¶¾½Ì\wdu_13_Ä§·¨Ê©·Å.spr			8	3	0	2	0	440	0	0	0	3	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudu.lua	coldres_yan_p	binglan_xuanjing	skill_cost_v	binglan_xuanjing	coldresmax_p	binglan_xuanjing	skill_mintimepercast_v	binglan_xuanjing	skill_desc	binglan_xuanjing	anti_block_rate_buff	binglan_xuanjing	skill_mintimepercastonhorse_v	binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		binglan_xuanjing		MËt m«n ®éc d­îc, khiÕn ®èi ph­¬ng gi¶m kh¶ n¨ng phßng b¨ng.
HuyÕt §ao §éc S¸t	C«ng kÝch néi c«ng 	65	401	0	\spr\Ui\skill\Ñªµ¶¶¾É±.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	0	400	0	0	0	3	1	31	-1	1	1	11	0	0	5		0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	0	1	1	\script\skill\wudu.lua	physicsenhance_p	xuedao_dusha	poisondamage_v	xuedao_dusha	addskilldamage1	xuedao_dusha	missle_speed_v	xuedao_dusha	skill_attackradius	xuedao_dusha	skill_cost_v	xuedao_dusha	seriesdamage_p	xuedao_dusha	addskilldamage2	xuedao_dusha	addskilldamage3	xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		xuedao_dusha		Ngò §éc trung cÊp chiªu thøc,dïng ®éc t©n c«ng ®èi ph­¬ng ®¬n lÎ.
T¹p Nan D­îc Kinh	Hç trî phßng ngù - bÞ  ®éng	66	400	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_12.spr				0	0	0	3	0	0	0	0	0	3	7	0	-1	0	0	14	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudu.lua	poisonres_yan_p	zanan_yaojing	poisontimereduce_p	zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		zanan_yaojing		Dông ®éc t©m ph¸p, t¨ng hiÖu qu¶ kh¸ng ®éc.
Cöu Thiªn Cuång L«i 	Chñ ®éng hç trî c«ng kÝch	67	403	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_13.spr	\spr\skill\Îå¶¾½Ì\wdu_13_Ä§·¨Ê©·Å.spr			9	3	0	2	0	440	0	0	0	3	6	20	-1	1	1	0	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudu.lua	lightingres_yan_p	jiutian_kuanglei	skill_cost_v	jiutian_kuanglei	lightingresmax_p	jiutian_kuanglei	skill_mintimepercast_v	jiutian_kuanglei	skill_desc	jiutian_kuanglei	anti_block_rate_buff	jiutian_kuanglei	skill_mintimepercastonhorse_v	jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei		jiutian_kuanglei				Tµ m«n Chó thuËt, khiÕn ®èi ph­¬ng trªn diÖn réng gi¶m kh¶ n¨ng phßng L«i.
U Minh Kh« L©u	C«ng kÝch néi c«ng 	68	402	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_21.spr	\spr\skill\Îå¶¾½Ì\wdu_13_Ä§·¨Ê©·Å.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	0	400	0	0	0	3	1	32	-1	1	1	11	0	0	5		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	0	0	0		0					0	0	0	1	1	\script\skill\wudu.lua	poisondamage_v	youming_kulou	addskilldamage1	youming_kulou	missle_speed_v	youming_kulou	skill_attackradius	youming_kulou	skill_cost_v	youming_kulou	seriesdamage_p	youming_kulou	addskilldamage2	youming_kulou	addskilldamage3	youming_kulou	addskilldamage4	youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		youming_kulou		trung cÊp chiªu thøc, Ho¶ s¸t cùc cao.
V« H×nh §éc	Vßng trßn  hç trî c«ng kÝch	69	400	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_22.spr				6	2	1	2	0	400	0	0	0	3	7	203	-1	1	0	11	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\wudu.lua	poisondamage_v	wuxing_gu	fastwalkrun_p	wuxing_gu	anti_block_rate_buff	wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		wuxing_gu		§éc m«n t©m ph¸p, s¸t th­¬ng cïng lóc nhiÒu ®èi ph­¬ng.
XÝch DiÖm Thùc Thiªn	Chñ ®éng hç trî c«ng kÝch	70	403	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wd_23.spr	\spr\skill\Îå¶¾½Ì\wdu_13_Ä§·¨Ê©·Å.spr			10	3	0	2	0	440	0	0	0	3	6	20	-1	1	1	11	0	0	0		0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\wudu.lua	fireres_yan_p	chiyan_shitian	skill_cost_v	chiyan_shitian	fireresmax_p	chiyan_shitian	skill_mintimepercast_v	chiyan_shitian	skill_desc	chiyan_shitian	anti_block_rate_buff	chiyan_shitian	skill_mintimepercastonhorse_v	chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		chiyan_shitian		MËt m«n ®éc d­îc, khiÕn ®èi ph­¬ng gi¶m kh¶ n¨ng phßng háa.
